,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,5.07,-144.52,,,,,,,,SQ,SET,PROPCON,CONS
2Q2559,"1,365.43",,,134.53,0.18,2.90,16.66,89.95,9.20,9.85,4.46,-196.55,,,,,,,,SQ,SET,PROPCON,CONS
3Q2559,650.85,-88.89,,12.15,0.02,0.26,1.38,89.00,10.12,1.87,4.24,-244.16,,,,,,,,SQ,SET,PROPCON,CONS
4Q2559,895.21,850.00,,176.03,0.19,3.30,11.22,88.49,11.13,19.66,1.67,-255.22,4.12,"4,655.60",18.03,,0.00,0.00,4.04,SQ,SET,PROPCON,CONS
1Q2560,"1,023.87",5.26,,225.86,0.20,3.75,9.55,90.85,8.67,22.06,1.43,-376.63,5.90,"6,667.00",20.66,2.96,1.99,0.85,6.15,SQ,SET,PROPCON,CONS
2Q2560,917.42,-25.00,-16.67,165.53,0.15,2.51,6.52,90.91,8.60,18.04,1.75,-486.14,5.60,"6,328.00",13.24,2.55,2.20,0.89,7.21,SQ,SET,PROPCON,CONS
3Q2560,557.16,,,-42.38,-0.04,-0.53,-1.64,90.79,8.69,-7.61,2.44,-696.34,6.10,"6,893.00",11.89,2.66,2.30,0.82,9.12,SQ,SET,PROPCON,CONS
4Q2560,687.23,,-94.74,11.05,0.01,0.12,0.43,86.09,11.02,1.61,2.97,"-1,048.01",4.82,"5,446.60",10.37,2.13,2.26,1.04,10.79,SQ,SET,PROPCON,CONS
1Q2561,836.81,,,-38.52,-0.03,-0.36,-1.50,90.79,8.51,-4.60,3.41,"-1,108.89",3.64,"4,130.93",11.47,1.60,2.28,3.36,12.85,SQ,SET,PROPCON,CONS
2Q2561,819.32,-66.67,,-57.70,-0.05,-0.50,-2.36,90.02,8.45,-7.04,4.05,"-1,061.03",2.54,"2,882.57",30.13,1.13,2.24,4.81,16.50,SQ,SET,PROPCON,CONS
3Q2561,787.37,-260.00,-350.00,-199.14,-0.18,-1.65,-8.86,88.03,11.01,-25.29,4.70,-975.30,2.94,"3,337.07",N/A,1.42,2.07,4.16,17.92,SQ,SET,PROPCON,CONS
4Q2561,"1,180.60",,0.00,10.73,0.01,0.09,0.50,90.24,7.12,0.91,4.53,-886.09,2.08,"2,360.92",N/A,1.10,1.89,5.87,13.01,SQ,SET,PROPCON,CONS
1Q2562,"1,246.40",700.00,,92.30,0.08,0.78,4.17,92.95,6.54,7.41,4.19,"-1,047.17",2.26,"2,573.04",N/A,1.19,1.91,0.00,10.06,SQ,SET,PROPCON,CONS
2Q2562,"1,201.98",-37.50,,58.32,0.05,0.50,2.55,91.00,7.59,4.85,4.00,-900.10,2.70,"3,073.99",N/A,1.36,1.98,0.00,8.09,SQ,SET,PROPCON,CONS
3Q2562,891.31,,-27.78,-266.30,-0.23,-2.35,-12.20,86.67,10.73,-29.88,4.42,-593.27,2.40,"2,732.44",N/A,1.18,2.03,0.00,7.81,SQ,SET,PROPCON,CONS
4Q2562,"1,433.24",,910.00,116.14,0.10,1.05,5.51,91.78,5.65,8.10,4.13,-370.30,1.68,"1,912.71",N/A,0.93,1.80,0.00,6.74,SQ,SET,PROPCON,CONS
1Q2563,"1,306.64",-10.89,12.50,100.82,0.09,0.91,4.55,90.96,8.33,7.72,3.90,-159.02,1.06,"1,209.89",,,,0.00,6.31,SQ,SET,PROPCON,CONS
2Q2563,"1,132.19",-55.56,-20.00,50.46,0.04,0.46,2.20,91.90,6.72,4.46,3.73,-203.47,2.04,"2,328.48",217.14,1.03,1.99,0.00,7.06,SQ,SET,PROPCON,CONS
3Q2563,"1,088.45",-50.00,,16.79,0.02,0.16,0.72,89.04,9.96,1.54,3.37,-210.63,1.61,"1,837.67",608.61,0.79,2.03,0.00,5.46,SQ,SET,PROPCON,CONS
4Q2563,"1,248.24",205.00,-39.60,71.62,0.06,0.71,3.02,83.08,15.82,5.74,3.15,-128.03,1.72,"1,963.22",6.86,0.84,2.05,0.00,5.66,SQ,SET,PROPCON,CONS
1Q2564,"1,229.35",241.59,131.52,233.65,0.21,2.35,9.23,89.71,8.79,19.01,2.73,-126.11,2.34,"2,682.69",11.13,1.11,2.12,3.42,5.68,SQ,SET,PROPCON,CONS
2Q2564,"1,119.50",-79.70,5.73,48.20,0.04,0.50,1.83,91.38,7.48,4.31,2.62,-130.52,2.70,"3,095.41",8.19,1.17,2.32,2.96,5.91,SQ,SET,PROPCON,CONS
