,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,2.04,-91.16,,,,,,,,SR,mai,RESOURC,-
2Q2558,"1,010.70",,,79.12,0.34,6.79,19.34,86.82,6.54,7.83,1.69,-112.35,,,,,,,,SR,mai,RESOURC,-
3Q2558,409.45,,,-24.45,-0.22,-2.21,-5.62,86.80,10.18,-5.97,1.39,-118.76,,,,,,,,SR,mai,RESOURC,-
4Q2558,277.84,,,15.94,0.03,1.33,2.38,92.28,7.04,5.74,0.51,-126.34,4.30,"2,580.00",N/A,0.00,0.00,0.00,14.91,SR,mai,RESOURC,-
1Q2559,231.69,-65.66,,4.10,0.01,0.31,0.45,84.47,13.68,1.77,0.40,-143.62,3.14,"1,884.00",27.93,2.08,1.51,2.87,14.14,SR,mai,RESOURC,-
2Q2559,305.18,0.00,-97.02,7.68,0.01,0.60,0.85,86.32,11.11,2.52,0.41,-100.64,2.86,"1,716.00",23.96,1.89,1.51,3.15,38.82,SR,mai,RESOURC,-
3Q2559,444.65,900.00,,60.61,0.10,4.62,6.52,82.67,7.40,13.63,0.41,-137.27,2.26,"1,356.00",395.36,1.52,1.48,3.98,11.76,SR,mai,RESOURC,-
4Q2559,406.31,-50.00,71.70,31.88,0.05,2.34,3.34,87.31,11.41,7.85,0.45,-180.34,3.54,"2,124.00",24.48,2.24,1.58,2.54,16.81,SR,mai,RESOURC,-
1Q2560,184.64,,,-14.07,-0.02,-1.03,-1.49,74.28,21.80,-7.62,0.43,-142.18,3.32,"1,992.00",19.57,2.10,1.58,3.61,19.26,SR,mai,RESOURC,-
2Q2560,219.50,72.03,,-4.02,-0.01,-0.32,-0.44,79.72,18.42,-1.83,0.33,-120.09,2.82,"1,692.00",20.09,1.82,1.55,4.26,17.11,SR,mai,RESOURC,-
