,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,0.15,,,,,,,,,SRIPANWA,SET,PROPCON,PF&REIT
1Q2560,65.81,,,65.97,,1.83,2.09,,,100.24,0.14,,10.80,"3,013.89",,0.96,11.29,0.23,,SRIPANWA,SET,PROPCON,PF&REIT
2Q2560,66.53,,,35.74,,0.99,1.14,,,53.72,0.14,,10.70,"2,985.98",,0.95,11.30,0.23,,SRIPANWA,SET,PROPCON,PF&REIT
3Q2560,67.26,,,52.41,,1.45,1.66,,,77.92,0.14,,10.70,"2,985.98",,0.95,11.24,0.23,,SRIPANWA,SET,PROPCON,PF&REIT
4Q2560,78.55,,,84.61,,2.31,2.64,,,107.72,0.14,,10.70,"2,985.98",,0.94,11.43,0.23,,SRIPANWA,SET,PROPCON,PF&REIT
1Q2561,68.53,,,57.99,,1.59,1.82,,,84.62,0.14,,0.00,"3,153.42",,0.98,11.52,6.72,,SRIPANWA,SET,PROPCON,PF&REIT
2Q2561,69.27,,,35.41,,0.98,1.12,,,51.13,0.14,,0.00,"3,153.42",,0.99,11.36,6.72,,SRIPANWA,SET,PROPCON,PF&REIT
3Q2561,70.05,,,172.15,,4.65,5.30,,,245.77,0.14,,11.10,"3,097.61",,0.98,11.34,6.84,,SRIPANWA,SET,PROPCON,PF&REIT
4Q2561,70.83,,,58.98,,1.45,1.77,,,83.27,0.30,,10.80,"3,013.89",,0.90,11.95,7.03,,SRIPANWA,SET,PROPCON,PF&REIT
1Q2562,77.57,,,60.06,,1.39,1.81,,,77.42,0.30,,11.50,"3,209.24",,0.96,11.94,6.26,,SRIPANWA,SET,PROPCON,PF&REIT
2Q2562,78.71,,,60.48,,1.41,1.83,,,76.84,0.30,,11.50,"3,209.24",,0.97,11.81,6.26,,SRIPANWA,SET,PROPCON,PF&REIT
3Q2562,79.30,,,61.42,,1.42,1.84,,,77.45,0.29,,11.50,"3,209.24",,0.97,11.86,6.26,,SRIPANWA,SET,PROPCON,PF&REIT
4Q2562,79.29,,,-62.06,,-1.44,-1.87,,,-78.28,0.30,,11.20,"3,125.52",,0.93,12.08,6.43,,SRIPANWA,SET,PROPCON,PF&REIT
1Q2563,78.43,,,61.29,,1.44,1.88,,,78.15,0.30,,7.20,"2,009.26",,,,6.94,,SRIPANWA,SET,PROPCON,PF&REIT
2Q2563,78.46,,,62.44,,1.45,1.89,,,79.58,0.29,,8.05,"2,246.47",,0.68,11.75,6.21,,SRIPANWA,SET,PROPCON,PF&REIT
3Q2563,79.27,,,64.10,,1.47,1.90,,,80.87,0.29,,7.80,"2,176.70",,0.65,11.97,6.41,,SRIPANWA,SET,PROPCON,PF&REIT
4Q2563,79.26,,,-39.60,,-0.91,-1.17,,,-49.97,0.29,,7.95,"2,218.56",,0.65,12.20,6.29,,SRIPANWA,SET,PROPCON,PF&REIT
1Q2564,77.54,,,63.03,,1.44,1.85,,,81.29,0.29,,8.00,"2,232.51",,0.66,12.06,0.00,,SRIPANWA,SET,PROPCON,PF&REIT
2Q2564,78.40,,,63.54,,1.43,1.84,,,81.05,0.28,,7.90,"2,204.61",,0.64,12.29,0.00,,SRIPANWA,SET,PROPCON,PF&REIT
3Q2564,79.58,,,-296.45,,-6.85,-8.86,,,-372.52,0.31,,7.55,"2,106.93",,0.60,12.51,0.00,,SRIPANWA,SET,PROPCON,PF&REIT
4Q2564,80.24,,,66.40,,1.58,2.06,,,82.75,0.30,,6.85,"1,911.59",,0.60,11.45,0.00,,SRIPANWA,SET,PROPCON,PF&REIT
1Q2565,78.50,,,63.74,,1.49,1.93,,,81.20,0.30,,6.90,"1,925.54",,,,0.00,,SRIPANWA,SET,PROPCON,PF&REIT
2Q2565,79.36,,,64.25,,1.48,1.91,,,80.95,0.29,,7.75,"2,162.75",,0.65,11.92,0.00,,SRIPANWA,SET,PROPCON,PF&REIT
3Q2565,78.60,,,14.61,,0.33,0.43,,,18.59,0.29,,7.10,"2,023.21",,,12.15,0.00,,SRIPANWA,SET,PROPCON,PF&REIT
