,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"6,145.87",,202.22,361.51,1.36,2.71,4.04,84.80,14.36,5.88,0.50,85.19,0.00,"14,890.43",270.09,1.70,33.00,1.34,16.78,SSC,SET,AGRO,FOOD
2Q2555,"6,715.41",37.50,392.11,498.01,1.87,3.56,5.36,83.77,15.42,7.42,0.51,81.77,94.00,"24,994.65",84.52,2.74,34.37,0.80,17.83,SSC,SET,AGRO,FOOD
3Q2555,"5,965.90",,,-120.78,-0.45,-0.85,-1.28,79.49,18.21,-2.02,0.50,63.78,210.00,"55,839.10",80.48,5.91,35.56,0.36,42.49,SSC,SET,AGRO,FOOD
4Q2555,"4,379.31",-15.56,48.51,-142.60,-0.52,-1.03,-1.54,64.20,32.54,-3.26,0.48,49.44,196.00,"52,116.49",110.76,5.58,35.15,0.38,39.92,SSC,SET,AGRO,FOOD
1Q2556,"3,226.50",48.08,,-72.73,-0.27,-0.55,-0.82,66.16,32.48,-2.25,0.49,56.16,213.00,"56,636.80",94.30,6.17,34.53,1.17,74.17,SSC,SET,AGRO,FOOD
2Q2556,"3,443.93",,-98.93,5.04,0.02,0.04,0.06,64.86,32.09,0.15,0.53,70.94,143.50,"38,156.72",229.33,4.41,32.55,1.74,289.78,SSC,SET,AGRO,FOOD
3Q2556,"2,378.38",,28.89,-84.83,-0.32,-0.70,-1.07,62.00,37.20,-3.57,0.51,96.72,112.00,"29,780.85",N/A,3.73,30.02,2.23,498.20,SSC,SET,AGRO,FOOD
4Q2556,"2,408.71",-109.38,-28.85,-176.02,-0.67,-1.43,-2.16,56.23,38.90,-7.31,0.51,124.06,88.00,"23,399.24",N/A,2.96,29.72,2.84,272.08,SSC,SET,AGRO,FOOD
1Q2557,"2,452.86",32.84,-66.67,-119.14,-0.45,-0.92,-1.43,60.71,37.60,-4.86,0.58,134.53,84.75,"22,535.07",N/A,2.68,31.60,0.00,796.69,SSC,SET,AGRO,FOOD
2Q2557,"2,920.65",-24.44,,-149.11,-0.56,-1.14,-1.82,63.35,35.42,-5.11,0.61,130.95,77.00,"20,474.34",N/A,2.47,31.15,0.00,-170.71,SSC,SET,AGRO,FOOD
3Q2557,"2,507.73",-44.64,-153.13,-215.62,-0.81,-1.65,-2.69,61.52,37.90,-8.60,0.64,126.42,91.50,"24,329.89",N/A,2.99,30.58,0.00,-103.34,SSC,SET,AGRO,FOOD
4Q2557,"3,917.33",,,771.95,2.90,5.86,9.27,35.11,31.14,19.71,0.53,118.01,0.00,"21,537.94",N/A,2.72,29.77,0.00,45.18,SSC,SET,AGRO,FOOD
1Q2558,"2,697.78",,-33.33,-158.74,-0.60,-1.18,-1.83,64.18,32.85,-5.88,0.58,107.65,77.50,"20,607.29",71.53,2.36,32.89,0.00,47.79,SSC,SET,AGRO,FOOD
2Q2558,"2,807.53",,,202.56,0.76,1.55,2.33,70.47,29.29,7.21,0.42,74.50,71.00,"18,878.93",75.98,2.20,32.22,0.00,20.69,SSC,SET,AGRO,FOOD
3Q2558,"2,644.36",,40.63,-129.14,-0.48,-1.04,-1.48,67.05,30.82,-4.88,0.42,33.58,64.00,"17,017.63",28.36,1.93,33.20,0.00,16.71,SSC,SET,AGRO,FOOD
4Q2558,"2,621.47",-72.41,,-219.55,-0.83,-1.82,-2.57,62.77,32.91,-8.37,0.40,-25.73,51.25,"13,627.40",19.85,1.57,32.56,0.00,50.96,SSC,SET,AGRO,FOOD
1Q2559,"2,721.84",71.05,60.00,-63.50,-0.24,-0.54,-0.75,69.40,29.71,-2.33,0.41,-76.89,57.25,"15,222.80",N/A,1.80,31.77,0.00,38.03,SSC,SET,AGRO,FOOD
2Q2559,"2,938.49",,-98.68,3.48,0.01,0.03,0.04,66.25,31.14,0.12,0.42,-90.89,66.00,"17,549.43",N/A,2.09,31.53,0.00,119.72,SSC,SET,AGRO,FOOD
4Q2559,"2,648.03",,87.94,-28.72,-0.10,-0.23,-0.33,62.73,33.10,-1.08,0.42,-103.78,57.00,"15,156.33",N/A,1.81,31.55,0.00,64.25,SSC,SET,AGRO,FOOD
1Q2560,"2,471.06",-279.32,-58.05,-100.86,-0.38,-0.80,-1.14,61.83,35.03,-4.08,0.42,-104.49,0.00,"14,425.10",N/A,1.61,33.60,0.00,42.18,SSC,SET,AGRO,FOOD
2Q2560,"2,804.67",31.28,,-68.17,-0.26,-0.55,-0.77,64.64,32.06,-2.43,0.40,-95.94,55.00,"14,624.53",N/A,1.66,33.22,0.00,42.97,SSC,SET,AGRO,FOOD
3Q2560,"2,830.26",-35.22,26.70,-94.87,-0.35,-0.78,-1.09,65.92,32.98,-3.35,0.39,-85.42,0.00,"14,624.53",N/A,1.67,32.97,0.00,61.68,SSC,SET,AGRO,FOOD
4Q2560,"2,774.11",,,32.98,0.12,0.27,0.38,65.04,32.94,1.19,0.39,-75.33,0.00,"13,560.92",N/A,1.56,32.61,0.00,48.61,SSC,SET,AGRO,FOOD
1Q2561,"2,687.22",,13.14,-87.61,-0.33,-0.73,-1.01,63.31,34.12,-3.26,0.38,-64.21,0.00,"14,757.48",N/A,1.69,32.81,0.00,50.36,SSC,SET,AGRO,FOOD
2Q2561,"2,788.09",-12.46,-42.14,-97.73,-0.37,-0.82,-1.14,63.13,35.39,-3.51,0.41,-63.18,54.75,"14,558.05",N/A,1.69,32.47,0.00,55.06,SSC,SET,AGRO,FOOD
3Q2561,"2,900.97",24.43,20.56,-74.20,-0.28,-0.62,-0.87,64.86,33.83,-2.56,0.41,-65.24,42.25,"11,234.30",N/A,1.32,32.08,0.00,42.61,SSC,SET,AGRO,FOOD
4Q2561,"2,782.92",78.57,,-18.20,-0.06,-0.15,-0.21,62.40,30.73,-0.65,0.37,-64.86,39.50,"10,503.07",N/A,1.24,31.79,0.00,34.24,SSC,SET,AGRO,FOOD
1Q2562,"2,831.80",-533.33,-15.34,-100.44,-0.38,-0.87,-1.18,65.26,33.34,-3.55,0.36,-64.01,0.00,"8,907.67",N/A,1.04,32.12,0.00,32.12,SSC,SET,AGRO,FOOD
2Q2562,"2,935.49",81.58,81.11,-20.21,-0.07,-0.18,-0.24,68.04,31.01,-0.69,0.38,-64.86,0.00,"9,505.94",N/A,1.13,31.73,0.00,28.88,SSC,SET,AGRO,FOOD
3Q2562,"3,294.23",-114.29,46.43,-38.49,-0.15,-0.33,-0.46,70.38,28.73,-1.17,0.42,-67.84,0.00,"9,107.09",N/A,1.08,31.66,0.00,25.94,SSC,SET,AGRO,FOOD
4Q2562,"2,854.41",-633.33,"-1,733.33",-293.37,-1.10,-2.41,-3.43,66.05,32.00,-10.28,0.42,-64.82,0.00,"9,040.62",N/A,1.08,31.46,0.00,29.68,SSC,SET,AGRO,FOOD
1Q2563,"2,831.75",,,72.97,0.27,0.59,0.83,69.14,29.65,2.58,0.40,-61.79,0.00,"8,575.29",N/A,0.98,32.85,0.78,18.47,SSC,SET,AGRO,FOOD
2Q2563,"3,013.03",-22.22,,54.62,0.21,0.44,0.62,66.86,31.97,1.81,0.42,-57.88,0.00,"7,711.11",,,,0.86,14.55,SSC,SET,AGRO,FOOD
3Q2563,"2,468.32",-90.48,,4.84,0.02,0.04,0.06,67.64,31.27,0.20,0.40,-49.88,33.25,"8,841.19",N/A,1.01,33.06,0.75,14.89,SSC,SET,AGRO,FOOD
4Q2563,"2,680.72",600.00,,36.70,0.14,0.30,0.41,67.13,31.67,1.37,0.40,-53.25,0.00,"8,641.77",N/A,0.98,33.09,0.77,14.51,SSC,SET,AGRO,FOOD
1Q2564,"2,417.43",50.00,-22.22,55.21,0.21,0.44,0.62,67.74,31.14,2.28,0.41,-54.96,34.25,"9,107.09",53.85,1.02,33.46,0.93,16.60,SSC,SET,AGRO,FOOD
2Q2564,"2,527.63",-20.68,-20.68,44.92,0.17,0.35,0.50,67.95,30.78,1.78,0.43,-54.62,34.50,"9,173.57",60.60,1.02,33.88,0.93,17.42,SSC,SET,AGRO,FOOD
3Q2564,"2,592.22",-24.12,532.00,33.61,0.13,0.26,0.37,65.80,32.91,1.30,0.43,-57.71,32.25,"8,575.29",60.53,0.96,33.73,0.99,15.33,SSC,SET,AGRO,FOOD
4Q2564,"2,223.55",,,-50.51,-0.19,-0.39,-0.56,66.14,31.64,-2.27,0.42,-56.12,30.75,"8,176.44",47.97,0.91,33.85,1.04,13.47,SSC,SET,AGRO,FOOD
1Q2565,"2,407.40",,-41.74,32.53,0.12,0.26,0.36,67.67,31.23,1.35,0.40,-55.38,30.25,"8,043.49",96.64,0.89,33.85,1.12,13.82,SSC,SET,AGRO,FOOD
2Q2565,"2,589.17",-35.64,-52.73,20.94,0.08,0.16,0.23,67.57,30.42,0.81,0.42,-55.71,30.25,"8,043.49",,,,1.12,14.63,SSC,SET,AGRO,FOOD
3Q2565,"2,964.76",79.93,12.09,37.67,0.14,0.29,0.42,70.16,28.89,1.27,0.46,-61.20,28.00,"7,445.21",203.59,0.83,33.71,1.21,14.09,SSC,SET,AGRO,FOOD
4Q2565,"3,097.48",,-55.38,-78.48,-0.30,-0.59,-0.86,71.95,26.53,-2.53,0.47,-66.39,0.00,"7,910.54",194.69,0.88,33.85,1.14,14.68,SSC,SET,AGRO,FOOD
