,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,36.68,51.25,,-5.25,-0.04,-1.13,-1.93,54.47,44.21,-14.31,0.76,614.75,1.00,136.00,N/A,0.48,2.06,0.00,61.58,SSS,mai,PROPCON,-
2Q2555,34.72,-82.05,,-9.05,-0.07,-1.95,-3.56,51.69,48.04,-26.07,0.89,638.07,0.97,131.92,N/A,0.50,1.94,0.00,-121.60,SSS,mai,PROPCON,-
3Q2555,39.52,29.58,-42.45,-7.18,-0.05,-1.57,-3.05,59.61,40.23,-18.18,1.01,641.75,1.05,142.80,N/A,0.58,1.80,0.00,-112.12,SSS,mai,PROPCON,-
4Q2555,36.77,-60.00,0.00,-11.50,-0.08,-2.21,-3.96,51.38,45.91,-31.27,0.65,611.69,1.12,152.32,N/A,0.67,1.66,0.00,-122.32,SSS,mai,PROPCON,-
1Q2556,53.20,,,0.45,0.00,0.08,0.14,69.72,29.90,0.85,1.09,598.15,2.02,274.72,N/A,0.77,2.61,0.00,470.62,SSS,mai,PROPCON,-
2Q2556,44.16,-24.67,,0.26,0.00,0.05,0.10,59.33,40.15,0.59,1.14,572.60,4.32,587.52,N/A,2.09,2.07,0.00,100.48,SSS,mai,PROPCON,-
3Q2556,40.13,72.57,,0.53,0.00,0.09,0.20,70.70,29.18,1.32,1.23,576.44,3.50,476.00,N/A,1.78,1.97,0.00,52.68,SSS,mai,PROPCON,-
4Q2556,37.01,,5.45,-10.29,-0.08,-1.73,-3.76,44.77,53.78,-27.80,1.13,529.20,3.28,446.08,N/A,1.75,1.88,0.00,52.89,SSS,mai,PROPCON,-
1Q2557,49.19,,-16.33,0.34,0.00,0.06,0.12,62.30,37.26,0.70,1.23,480.32,2.88,391.68,N/A,1.34,2.15,0.00,52.04,SSS,mai,PROPCON,-
2Q2557,37.50,,,-13.46,-0.10,-2.22,-5.11,46.96,52.64,-35.88,1.37,440.44,2.02,274.72,N/A,0.99,2.03,0.00,423.29,SSS,mai,PROPCON,-
3Q2557,45.28,74.13,,-3.48,-0.03,-0.59,-1.44,61.68,37.98,-7.69,1.50,407.68,2.20,299.20,N/A,1.20,1.84,0.00,-318.29,SSS,mai,PROPCON,-
