,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,427.09,,,-56.48,-0.32,-1.45,-3.51,48.02,48.42,-13.22,1.78,,20.60,"3,104.05",7.43,2.01,11.94,0.11,12.00,SST,SET,AGRO,FOOD
2Q2555,493.53,83.03,,-10.40,-0.05,-0.22,-0.62,40.02,58.50,-2.11,1.87,,18.70,"3,381.29",9.92,2.02,9.24,0.10,20.81,SST,SET,AGRO,FOOD
3Q2555,673.28,,-92.68,12.70,0.07,0.27,0.76,58.64,38.71,1.89,1.74,,16.60,"3,001.58",18.78,1.81,9.17,0.11,25.59,SST,SET,AGRO,FOOD
4Q2555,602.14,,,-127.06,-0.71,-2.79,-7.87,51.27,47.27,-21.10,1.90,,13.30,"2,404.88",41.54,1.44,9.24,0.14,30.78,SST,SET,AGRO,FOOD
1Q2556,531.35,85.85,68.75,-23.54,-0.10,-0.53,-1.52,44.22,54.36,-4.43,1.90,,14.10,"2,549.53",N/A,1.64,8.59,0.20,25.45,SST,SET,AGRO,FOOD
2Q2556,536.53,-0.55,-85.11,-21.43,-0.10,-0.49,-1.41,40.33,55.82,-4.00,1.88,,16.60,"3,751.97",N/A,2.45,6.77,0.13,32.64,SST,SET,AGRO,FOOD
3Q2556,566.99,-162.29,,-59.45,-0.26,-1.38,-4.03,43.50,53.61,-10.49,1.98,,15.10,"3,412.94",N/A,2.27,6.65,0.15,53.02,SST,SET,AGRO,FOOD
4Q2556,552.78,95.36,98.27,-2.62,-0.01,-0.06,-0.18,44.28,53.44,-0.47,2.02,,13.00,"2,938.29",N/A,2.04,6.39,0.17,25.87,SST,SET,AGRO,FOOD
1Q2557,522.09,-554.13,20.00,-23.62,-0.08,-0.54,-1.65,38.93,59.91,-4.52,2.06,,16.50,"3,729.37",N/A,2.59,6.37,0.17,29.93,SST,SET,AGRO,FOOD
2Q2557,536.51,-8.06,14.02,-23.06,-0.09,-0.53,-1.64,42.71,55.15,-4.30,2.09,,22.00,"6,215.60",N/A,4.39,5.01,0.10,36.77,SST,SET,AGRO,FOOD
3Q2557,678.38,,,413.23,1.48,8.55,20.00,39.18,58.26,60.91,0.96,,28.00,"7,910.76",N/A,5.70,4.91,0.08,13.44,SST,SET,AGRO,FOOD
