,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"29,317.19",,-76.52,395.05,0.31,0.98,2.17,95.85,3.97,1.35,1.20,"1,349.86",20.90,"26,752.00",20.48,1.49,14.01,2.39,25.28,STA,SET,AGRO,AGRI
2Q2555,"24,877.46",,,-434.98,-0.34,-1.14,-2.44,95.52,3.44,-1.75,1.09,"1,230.08",14.10,"18,048.00",131.40,0.99,14.23,3.55,89.85,STA,SET,AGRO,AGRI
3Q2555,"22,982.83",,,783.63,0.61,2.21,4.45,95.78,4.12,3.41,0.93,"1,055.70",15.50,"19,840.00",N/A,1.15,13.43,3.23,18.93,STA,SET,AGRO,AGRI
4Q2555,"22,840.71",-18.03,,634.85,0.50,1.78,3.44,95.63,4.17,2.78,0.94,"1,051.48",17.50,"22,400.00",233.96,1.25,13.96,2.86,13.53,STA,SET,AGRO,AGRI
1Q2556,"24,294.43",32.00,112.90,852.57,0.66,2.22,4.42,95.70,4.08,3.51,1.05,"1,074.95",16.20,"20,736.00",15.04,1.10,14.73,3.09,11.87,STA,SET,AGRO,AGRI
2Q2556,"23,023.47",-62.90,,314.91,0.24,0.83,1.61,94.16,3.65,1.37,0.84,"1,017.74",12.50,"16,000.00",8.74,0.82,15.27,4.00,7.31,STA,SET,AGRO,AGRI
3Q2556,"21,435.05",-27.38,-70.85,234.08,0.18,0.63,1.20,96.02,4.26,1.09,0.99,"1,060.60",13.00,"16,640.00",6.45,0.86,15.18,3.85,8.86,STA,SET,AGRO,AGRI
4Q2556,"23,738.27",89.69,-32.54,426.99,0.34,1.03,2.15,97.25,3.56,1.80,1.21,"1,141.26",13.00,"16,640.00",8.23,0.85,15.22,3.85,10.28,STA,SET,AGRO,AGRI
1Q2557,"23,204.98",-6.90,-52.42,408.57,0.31,0.94,2.01,94.83,3.27,1.76,1.09,"1,210.76",15.30,"19,584.00",10.81,0.98,15.61,4.25,12.64,STA,SET,AGRO,AGRI
2Q2557,"18,736.09",-58.55,-46.85,160.93,0.13,0.41,0.80,93.38,4.87,0.86,0.84,"1,184.41",14.20,"18,176.00",13.33,0.89,16.00,4.58,10.84,STA,SET,AGRO,AGRI
3Q2557,"17,325.64",173.98,100.53,453.75,0.36,1.25,2.27,91.36,5.68,2.62,0.77,"1,058.78",13.90,"17,792.00",14.56,0.90,15.41,4.68,10.35,STA,SET,AGRO,AGRI
4Q2557,"17,568.79",-97.20,-97.04,12.99,0.01,0.04,0.06,93.23,6.62,0.07,0.84,847.67,12.80,"16,384.00",11.29,0.81,15.75,5.08,12.02,STA,SET,AGRO,AGRI
1Q2558,"14,655.28","2,227.25",-26.04,294.61,0.23,0.77,1.42,93.55,5.48,2.01,0.85,735.21,12.00,"15,360.00",14.80,0.75,16.01,3.33,11.50,STA,SET,AGRO,AGRI
2Q2558,"15,170.13",74.28,211.01,515.67,0.40,1.33,2.48,93.50,5.89,3.40,0.88,754.94,12.80,"16,384.00",17.56,0.79,16.17,3.13,10.70,STA,SET,AGRO,AGRI
3Q2558,"16,179.28",-32.57,-23.45,347.25,0.27,0.83,1.64,94.80,5.55,2.15,1.09,819.59,11.20,"14,336.00",11.16,0.69,16.23,3.57,10.42,STA,SET,AGRO,AGRI
4Q2558,"16,568.71",,,-45.77,-0.04,-0.10,-0.21,86.59,6.76,-0.28,1.06,922.88,10.10,"12,928.00",10.98,0.61,16.62,3.96,11.06,STA,SET,AGRO,AGRI
1Q2559,"16,755.51",-254.13,,-177.70,-0.13,-0.40,-0.84,93.27,6.37,-1.06,1.09,932.03,12.50,"16,000.00",14.31,0.75,16.59,3.20,15.52,STA,SET,AGRO,AGRI
2Q2559,"18,795.42",,55.49,793.17,0.63,1.80,3.73,93.47,6.29,4.22,1.05,869.94,12.60,"16,128.00",24.62,0.77,16.41,3.17,13.94,STA,SET,AGRO,AGRI
