,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,006.46",-34.27,-36.74,232.07,3.03,2.33,2.77,89.84,7.33,11.57,0.18,-143.48,166.50,"12,758.06",8.94,1.55,107.54,3.90,4.07,STANLY,SET,INDUS,AUTO
2Q2555,"2,611.05",91.09,21.38,443.71,5.79,4.38,5.24,89.00,6.32,16.99,0.21,-144.07,162.50,"12,451.56",9.63,1.47,110.92,4.00,4.25,STANLY,SET,INDUS,AUTO
3Q2555,"1,202.66",,,-366.92,-4.79,-3.67,-4.44,85.52,10.15,-30.51,0.21,-147.58,147.00,"11,263.88",8.22,1.33,110.22,4.42,6.03,STANLY,SET,INDUS,AUTO
4Q2555,"2,266.50",,18.27,417.72,5.45,4.22,5.04,88.88,8.71,18.43,0.18,-115.91,184.00,"14,099.00",21.29,1.75,105.43,3.53,8.09,STANLY,SET,INDUS,AUTO
1Q2556,"2,595.77",-21.50,41.25,328.23,4.28,3.21,3.84,91.16,6.68,12.64,0.21,-112.56,193.00,"14,788.63",20.35,1.74,110.88,1.55,8.41,STANLY,SET,INDUS,AUTO
2Q2556,"2,943.86",11.92,-17.27,366.80,4.79,3.44,4.18,90.38,7.04,12.46,0.21,-100.12,228.00,"17,470.50",21.23,2.03,112.19,1.32,10.40,STANLY,SET,INDUS,AUTO
3Q2556,"2,990.35",20.46,,442.46,5.77,4.04,4.82,91.99,6.41,14.80,0.17,-84.05,217.00,"16,627.63",22.29,1.86,116.98,1.38,6.09,STANLY,SET,INDUS,AUTO
4Q2556,"3,028.14",9.88,16.28,485.43,6.34,4.27,5.04,91.88,6.69,16.03,0.19,-92.96,243.00,"18,619.88",11.97,1.98,122.76,1.23,6.39,STANLY,SET,INDUS,AUTO
1Q2557,"2,893.66",-19.40,19.39,391.56,5.11,3.27,3.89,90.93,6.91,13.53,0.19,-102.29,252.00,"19,309.50",11.90,1.96,128.70,2.68,6.19,STANLY,SET,INDUS,AUTO
2Q2557,"2,671.42",-8.22,-2.09,359.13,4.69,3.00,3.53,89.87,6.91,13.44,0.17,-82.46,220.00,"16,857.50",10.00,1.64,133.85,3.07,5.38,STANLY,SET,INDUS,AUTO
3Q2557,"2,491.42",-6.82,-24.26,335.04,4.37,2.83,3.26,91.66,7.10,13.45,0.14,-70.85,208.00,"15,938.00",9.49,1.58,131.77,3.25,5.27,STANLY,SET,INDUS,AUTO
4Q2557,"2,564.04",19.91,-17.35,401.78,5.24,3.29,3.78,83.77,9.51,15.67,0.15,-61.06,203.00,"15,554.88",9.90,1.49,136.09,3.33,5.06,STANLY,SET,INDUS,AUTO
1Q2558,"2,078.34",-49.05,-47.75,204.48,2.67,1.63,1.87,90.51,7.91,9.84,0.14,-45.10,228.00,"17,470.50",11.74,1.61,141.36,2.63,6.01,STANLY,SET,INDUS,AUTO
2Q2558,"2,455.98",14.90,-34.59,235.17,3.07,1.88,2.15,89.49,7.58,9.58,0.14,-51.12,223.00,"17,087.38",13.14,1.55,144.04,2.69,6.37,STANLY,SET,INDUS,AUTO
3Q2558,"2,373.90",48.84,4.49,349.87,4.57,2.79,3.18,90.82,7.88,14.74,0.14,-46.88,202.00,"15,478.25",13.16,1.43,141.13,2.97,5.98,STANLY,SET,INDUS,AUTO
4Q2558,"2,786.04",5.26,-8.28,368.12,4.81,2.82,3.24,92.76,6.00,13.21,0.15,-42.79,199.50,"15,286.69",12.83,1.37,145.61,3.01,5.67,STANLY,SET,INDUS,AUTO
1Q2559,"2,452.81",-52.18,-13.92,176.11,2.30,1.32,1.52,90.67,7.81,7.18,0.14,-42.81,0.00,"15,784.75",13.64,1.37,150.59,2.33,5.78,STANLY,SET,INDUS,AUTO
2Q2559,"2,817.23",153.29,89.77,446.34,5.82,3.32,3.79,82.84,6.49,15.84,0.15,-54.29,0.00,"13,945.75",12.35,1.19,152.82,2.64,5.06,STANLY,SET,INDUS,AUTO
