,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2562,,,,,,,,,,,2.00,39.81,,,,,,,,STGT,SET,CONSUMP,PERSON
1Q2563,"3,779.21",,,421.89,0.43,3.12,9.14,93.90,5.60,11.16,1.86,38.87,,,,,,,,STGT,SET,CONSUMP,PERSON
2Q2563,"4,886.47",148.79,,"1,056.77",1.06,5.12,8.33,94.63,4.76,21.63,0.34,-0.55,,,,,,,,STGT,SET,CONSUMP,PERSON
3Q2563,"8,271.66",246.12,,"4,401.92",3.67,14.59,19.34,95.58,2.85,53.22,0.32,-6.81,76.75,"109,658.87",61.50,,0.00,0.00,11.13,STGT,SET,CONSUMP,PERSON
4Q2563,"13,755.06",-78.74,,"8,520.28",0.78,22.37,30.07,96.15,3.05,61.94,0.37,-70.81,76.00,"108,587.28",17.91,4.35,17.48,0.00,5.59,STGT,SET,CONSUMP,PERSON
1Q2564,"15,499.84",350.90,725.42,"10,051.57",3.52,20.63,27.55,96.69,2.89,64.85,0.31,0.43,41.00,"117,159.96",8.14,3.70,11.09,6.40,3.64,STGT,SET,CONSUMP,PERSON
2Q2564,"13,035.92",-27.57,140.30,"7,280.10",2.55,13.65,18.23,95.86,3.62,55.85,0.36,135.98,41.75,"119,303.13",4.96,2.89,14.44,6.29,3.12,STGT,SET,CONSUMP,PERSON
3Q2564,"11,096.17",-37.91,-56.89,"4,532.82",1.58,8.59,11.55,93.01,4.90,40.85,0.33,218.21,31.25,"89,476.92",2.96,2.32,13.51,8.38,2.22,STGT,SET,CONSUMP,PERSON
4Q2564,"8,387.88",-59.51,-17.90,"1,839.67",0.64,3.53,4.71,89.48,9.30,21.93,0.34,259.21,30.25,"86,613.66",2.85,2.17,13.93,8.66,2.89,STGT,SET,CONSUMP,PERSON
1Q2565,"7,179.06",-42.62,-89.55,"1,052.17",0.37,2.04,2.72,90.23,8.92,14.66,0.32,257.61,25.25,"72,297.35",,,,18.40,3.74,STGT,SET,CONSUMP,PERSON
2Q2565,"6,601.13",-41.41,-91.55,616.46,0.22,1.22,1.60,89.90,9.19,9.34,0.30,247.89,15.80,"46,671.16",3.17,1.19,13.69,28.51,4.20,STGT,SET,CONSUMP,PERSON
3Q2565,"5,037.68",-96.52,-99.53,21.80,0.01,0.04,0.06,86.28,10.67,0.43,0.33,245.28,11.00,"32,663.05",4.06,0.86,13.26,40.74,5.51,STGT,SET,CONSUMP,PERSON
