,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,192.97,73.41,,-4.78,-0.01,-0.67,-129.57,91.83,5.06,-2.48,523.36,"1,561.43",1.06,529.42,N/A,87.09,0.01,0.00,23.93,STHAI,SET,CONSUMP,PERSON
2Q2555,194.42,-312.50,,-19.81,-0.04,-3.03,230.19,96.12,4.49,-10.19,-34.94,"1,546.01",0.98,489.46,N/A,376.80,0.00,0.00,36.24,STHAI,SET,CONSUMP,PERSON
3Q2555,227.16,-177.07,"-2,338.22",-54.79,-0.11,-8.49,119.36,95.65,4.03,-24.12,-10.03,"1,303.01",1.00,499.45,N/A,0.00,-0.04,0.00,-70.64,STHAI,SET,CONSUMP,PERSON
4Q2555,210.12,-172.68,-728.75,-149.40,-0.30,-25.90,111.23,94.03,5.34,-71.10,-3.52,"1,150.53",0.00,474.48,N/A,0.00,-0.04,0.00,-7.81,STHAI,SET,CONSUMP,PERSON
1Q2556,213.53,84.51,-382.81,-28.14,-0.05,-5.92,13.27,90.38,6.59,-13.18,-3.01,599.62,0.00,454.50,N/A,0.00,-0.15,0.00,-6.68,STHAI,SET,CONSUMP,PERSON
2Q2556,165.75,50.40,41.94,-16.25,-0.02,-3.55,9.30,93.52,7.81,-9.80,-4.79,247.56,0.00,454.50,N/A,0.00,-0.15,0.00,-6.10,STHAI,SET,CONSUMP,PERSON
3Q2556,169.96,68.25,93.35,-13.94,-0.01,-3.08,10.95,91.88,7.19,-8.20,-4.36,90.56,0.00,454.50,N/A,0.00,-0.15,0.00,-7.96,STHAI,SET,CONSUMP,PERSON
4Q2556,216.70,-54.79,96.22,-13.87,-0.01,-2.96,9.82,90.64,7.59,-6.40,-4.27,-81.95,0.00,454.50,N/A,0.00,-0.15,0.00,253.02,STHAI,SET,CONSUMP,PERSON
1Q2557,202.05,11.50,78.43,-12.55,-0.01,-2.65,8.13,90.35,6.89,-6.21,-3.87,-135.72,0.00,454.50,N/A,0.00,-0.10,0.00,62.33,STHAI,SET,CONSUMP,PERSON
2Q2557,197.41,-107.70,9.66,-18.19,-0.02,-4.00,10.71,93.72,6.98,-9.21,-3.51,-191.64,0.00,454.50,N/A,0.00,-0.10,0.00,80.23,STHAI,SET,CONSUMP,PERSON
3Q2557,221.36,7.41,-163.42,-19.99,-0.02,-4.57,10.58,90.23,8.54,-9.03,-3.15,-207.19,0.00,454.50,N/A,0.00,-0.10,0.00,149.37,STHAI,SET,CONSUMP,PERSON
4Q2557,235.28,-56.01,-165.49,-27.10,-0.03,-6.46,12.76,91.42,7.55,-11.52,-2.82,-236.20,0.00,454.50,N/A,0.00,-0.15,0.00,-169.21,STHAI,SET,CONSUMP,PERSON
1Q2558,150.28,66.67,0.00,-20.88,-0.01,-4.17,24.11,88.22,9.98,-13.89,10.15,-324.92,0.00,454.50,N/A,0.00,-0.23,0.00,-61.70,STHAI,SET,CONSUMP,PERSON
2Q2558,204.37,,,22.82,0.01,2.74,6.27,90.60,8.28,11.17,0.59,-416.01,0.00,,,,0.01,,,STHAI,SET,CONSUMP,PERSON
3Q2558,243.07,-45.45,,36.74,0.01,2.49,3.33,85.79,11.29,15.12,0.23,-343.02,0.00,,,,0.07,,,STHAI,SET,CONSUMP,PERSON
4Q2558,176.16,,96.37,7.37,-0.00,0.44,0.52,87.84,10.83,4.18,0.11,-177.63,0.00,,,,0.08,,,STHAI,SET,CONSUMP,PERSON
1Q2559,186.95,,,0.69,0.00,0.05,0.05,86.47,10.00,0.37,0.09,23.01,0.00,,,,0.08,,,STHAI,SET,CONSUMP,PERSON
