,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,,,,,,,,,,,0.80,"1,376.75",,,,,,,,STOWER,mai,RESOURC,-
2Q2555,165.80,,,6.92,0.02,0.76,1.27,92.26,5.35,4.17,0.59,"1,293.38",,,,,,,,STOWER,mai,RESOURC,-
3Q2555,106.39,100.00,,10.36,0.04,1.03,1.63,85.13,8.21,9.74,0.56,"1,559.52",2.90,"1,015.00",42.53,0.00,0.00,0.00,35.99,STOWER,mai,RESOURC,-
4Q2555,173.34,-75.00,,3.22,0.01,0.31,0.48,90.42,5.71,1.86,0.54,"1,688.50",4.50,"1,575.00",59.44,2.45,1.84,0.00,44.66,STOWER,mai,RESOURC,-
1Q2556,212.51,0.00,,4.82,0.01,0.42,0.72,91.67,5.29,2.27,0.90,"1,725.22",3.20,"1,120.49",50.96,1.63,1.96,0.00,30.97,STOWER,mai,RESOURC,-
2Q2556,191.48,100.00,0.00,6.30,0.02,0.51,0.95,92.70,4.79,3.29,0.81,"2,112.72",3.34,"1,174.66",46.38,1.78,1.88,0.00,32.54,STOWER,mai,RESOURC,-
3Q2556,164.20,0.00,-50.00,5.45,0.02,0.46,0.81,87.13,9.34,3.32,0.71,"2,044.66",2.66,935.51,37.86,1.40,1.90,0.00,29.19,STOWER,mai,RESOURC,-
4Q2556,148.64,,,-76.75,-0.22,-6.85,-11.80,41.15,54.65,-51.64,0.74,883.73,2.26,867.10,43.81,1.29,1.91,0.00,-36.40,STOWER,mai,RESOURC,-
1Q2557,164.19,90.91,,-6.18,-0.02,-0.56,-0.99,83.66,11.31,-3.76,0.81,865.85,1.87,717.47,N/A,1.14,1.64,0.00,-25.76,STOWER,mai,RESOURC,-
2Q2557,193.51,,100.00,13.43,0.04,1.21,2.14,86.06,5.22,6.94,0.72,825.89,1.98,759.70,N/A,1.22,1.62,0.00,-29.25,STOWER,mai,RESOURC,-
3Q2557,177.01,-50.00,0.00,6.78,0.02,0.61,1.06,78.91,9.88,3.83,0.79,765.16,3.20,"1,227.97",N/A,1.93,1.66,0.00,-43.44,STOWER,mai,RESOURC,-
4Q2557,167.62,,86.36,30.12,-0.03,2.38,4.12,104.47,6.39,17.97,0.70,"1,581.53",37.00,"14,258.99",N/A,22.21,1.67,0.00,206.89,STOWER,mai,RESOURC,-
1Q2558,129.13,,,9.14,0.00,0.46,0.62,86.13,9.47,7.08,0.21,"1,853.13",1.20,"15,290.87",346.32,18.67,0.21,0.00,167.32,STOWER,mai,RESOURC,-
2Q2558,107.84,,-99.25,8.20,0.00,0.33,0.39,87.83,4.32,7.60,0.11,"2,229.26",0.66,"8,611.23",144.80,4.06,0.17,0.00,99.15,STOWER,mai,RESOURC,-
3Q2558,153.26,,-99.00,3.31,0.00,0.13,0.15,76.85,18.80,2.16,0.19,"2,267.30",0.42,"5,486.27",101.16,2.57,0.16,0.00,70.55,STOWER,mai,RESOURC,-
4Q2558,237.45,,97.00,-13.47,-0.00,-0.48,-0.60,86.43,10.10,-5.67,0.32,"2,227.13",0.20,"2,632.43",49.66,1.23,0.16,0.00,58.85,STOWER,mai,RESOURC,-
1Q2559,353.37,-44.44,,-22.20,-0.00,-0.66,-1.00,89.30,9.00,-6.28,0.72,"1,743.86",0.19,"2,500.80",195.36,1.17,0.16,1.05,92.36,STOWER,mai,RESOURC,-
2Q2559,256.06,-76.92,,-33.56,-0.00,-0.89,-1.54,84.49,13.08,-13.11,0.74,"1,319.68",0.18,"2,369.25",N/A,1.12,0.16,1.11,114.39,STOWER,mai,RESOURC,-
3Q2559,266.71,44.78,,-19.63,-0.00,-0.53,-0.92,79.42,12.86,-7.36,0.69,951.21,0.17,"2,237.62",N/A,1.08,0.16,1.18,77.56,STOWER,mai,RESOURC,-
4Q2559,265.26,,,19.35,0.00,0.54,0.90,66.73,30.20,7.30,0.68,532.31,0.17,"2,237.62",N/A,1.09,0.16,1.18,33.36,STOWER,mai,RESOURC,-
1Q2560,347.19,,23.08,-17.92,-0.00,-0.50,-0.84,83.25,13.37,-5.16,0.69,434.37,0.17,"2,237.62",N/A,1.08,0.16,0.00,28.95,STOWER,mai,RESOURC,-
