,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,543.21,,-61.47,133.13,0.37,3.28,4.11,90.57,4.16,24.51,0.36,142.50,31.25,"11,496.04",28.78,3.71,8.53,1.01,31.84,STPI,SET,PROPCON,CONS
2Q2555,686.42,27.87,290.00,172.15,0.47,3.48,5.04,93.76,3.31,25.08,0.53,-38.88,27.50,"10,117.03",54.31,2.99,9.19,1.15,20.21,STPI,SET,PROPCON,CONS
3Q2555,"1,028.21",133.55,"1,461.43",401.13,1.09,6.92,10.93,93.48,2.41,39.01,0.62,-317.56,46.00,"16,923.04",53.46,4.91,9.37,0.69,18.66,STPI,SET,PROPCON,CONS
4Q2555,"1,004.27",-4.57,,383.35,1.04,5.66,9.35,91.85,5.05,38.17,0.68,-508.53,62.75,"23,122.88",33.40,5.94,10.57,0.50,17.03,STPI,SET,PROPCON,CONS
1Q2556,"1,292.50",10.55,215.03,424.73,1.15,5.55,9.26,94.53,2.62,32.86,0.66,-705.89,93.25,"34,361.89",31.53,7.97,11.70,1.07,20.81,STPI,SET,PROPCON,CONS
2Q2556,"1,255.45",,,486.25,-0.54,5.94,9.91,93.05,2.29,38.73,0.68,-816.74,75.75,"27,979.10",20.25,5.75,13.21,1.32,14.34,STPI,SET,PROPCON,CONS
3Q2556,"1,348.48",,-76.12,386.79,0.26,4.53,7.54,94.50,3.11,28.68,0.65,-688.15,18.60,"27,480.46",16.21,5.55,3.35,1.34,14.23,STPI,SET,PROPCON,CONS
4Q2556,"1,963.58",58.62,-60.31,610.74,0.41,6.22,10.88,94.49,2.28,31.10,0.84,-644.30,15.70,"23,195.87",13.80,4.37,3.60,1.59,11.87,STPI,SET,PROPCON,CONS
1Q2557,"2,791.53",-19.01,-70.92,495.38,0.34,4.40,8.03,95.89,1.74,17.75,0.81,-586.60,21.70,"32,060.53",16.80,5.42,4.00,1.57,14.71,STPI,SET,PROPCON,CONS
2Q2557,"2,699.07",16.52,,576.53,0.39,4.93,8.90,96.25,0.68,21.36,0.80,-610.57,19.90,"29,401.14",14.86,4.57,4.35,1.71,12.96,STPI,SET,PROPCON,CONS
3Q2557,"3,037.57",33.86,100.38,773.46,0.52,6.62,11.19,98.70,1.18,25.46,0.60,-602.53,22.10,"32,651.51",15.78,5.00,4.42,1.54,12.07,STPI,SET,PROPCON,CONS
