,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,568.93",80.00,28.57,406.57,1.35,1.84,2.39,83.52,9.61,15.83,0.29,257.43,30.00,"9,000.00",12.19,0.58,51.36,5.00,5.48,SUC,SET,CONSUMP,FASHION
2Q2555,"2,513.22",-28.89,-26.72,286.45,0.96,1.28,1.67,83.03,9.94,11.40,0.31,149.92,30.25,"9,075.00",11.00,0.57,53.06,4.96,6.36,SUC,SET,CONSUMP,FASHION
3Q2555,"2,625.81",7.29,,333.90,1.03,1.49,1.94,79.27,9.48,12.72,0.29,50.70,40.00,"12,000.00",16.58,0.75,53.25,3.75,6.00,SUC,SET,CONSUMP,FASHION
4Q2555,"2,542.36",-12.62,20.00,267.81,0.90,1.17,1.53,77.17,12.24,10.53,0.32,14.62,40.00,"12,000.00",10.14,0.74,53.85,3.75,5.35,SUC,SET,CONSUMP,FASHION
1Q2556,"2,496.78",-12.22,-41.48,254.96,0.79,1.10,1.44,78.82,12.10,10.21,0.29,-58.12,44.25,"13,275.00",10.80,0.81,54.62,3.39,5.30,SUC,SET,CONSUMP,FASHION
2Q2556,"2,414.95",5.06,-13.54,248.10,0.83,1.09,1.40,81.23,10.02,10.27,0.27,-32.48,38.00,"11,400.00",10.70,0.70,54.57,3.95,4.48,SUC,SET,CONSUMP,FASHION
3Q2556,"2,902.12",65.06,33.01,450.09,1.37,2.06,2.49,80.36,7.83,15.51,0.14,-17.16,38.75,"11,625.00",11.30,0.70,55.08,3.87,4.10,SUC,SET,CONSUMP,FASHION
4Q2556,"2,505.25",-81.75,-72.22,129.37,0.25,0.61,0.70,84.92,10.28,5.16,0.14,-4.37,36.00,"10,800.00",9.57,0.64,56.58,4.17,3.84,SUC,SET,CONSUMP,FASHION
1Q2557,"2,557.10",92.00,-39.24,220.39,0.48,1.03,1.17,86.29,9.42,8.62,0.13,14.10,39.25,"11,775.00",12.55,0.68,57.95,5.10,4.37,SUC,SET,CONSUMP,FASHION
2Q2557,"2,419.05",104.17,18.07,293.00,0.98,1.37,1.57,85.38,8.86,12.11,0.15,-102.09,45.50,"13,650.00",16.08,0.79,57.76,4.40,7.35,SUC,SET,CONSUMP,FASHION
3Q2557,"2,558.01",12.24,-19.71,353.50,1.10,1.63,1.88,81.05,8.79,13.82,0.15,-209.35,42.75,"12,825.00",14.39,0.74,57.76,4.68,7.30,SUC,SET,CONSUMP,FASHION
4Q2557,"2,726.09",-18.18,260.00,287.05,0.90,1.30,1.50,87.38,10.22,10.53,0.15,-208.86,40.00,"12,000.00",14.71,0.68,59.05,5.00,6.08,SUC,SET,CONSUMP,FASHION
1Q2558,"2,519.06",-34.44,22.92,258.33,0.59,1.17,1.33,81.69,10.36,10.26,0.13,-194.32,38.50,"11,550.00",11.51,0.64,60.06,4.55,5.76,SUC,SET,CONSUMP,FASHION
2Q2558,"2,532.96",61.02,-3.06,304.65,0.95,1.38,1.56,84.41,9.55,12.03,0.13,-89.28,38.00,"11,400.00",11.02,0.63,60.36,4.61,5.60,SUC,SET,CONSUMP,FASHION
3Q2558,"2,674.92",-9.89,-22.18,322.16,0.86,1.43,1.62,79.75,9.19,12.04,0.14,-1.19,37.25,"11,175.00",10.87,0.62,60.40,4.70,5.58,SUC,SET,CONSUMP,FASHION
4Q2558,"3,167.77",-10.76,-15.12,323.45,0.76,1.39,1.60,87.73,8.22,10.21,0.16,-55.46,37.50,"11,250.00",11.79,0.61,61.63,4.67,5.57,SUC,SET,CONSUMP,FASHION
1Q2559,"2,909.86",29.59,67.80,352.01,0.99,1.47,1.72,83.73,8.97,12.10,0.19,-156.47,38.00,"11,400.00",12.43,0.61,62.41,3.95,5.25,SUC,SET,CONSUMP,FASHION
2Q2559,"2,940.97",33.33,38.95,454.95,1.32,1.85,2.23,86.80,8.01,15.47,0.22,-288.06,37.00,"11,100.00",10.74,0.59,63.19,4.05,4.85,SUC,SET,CONSUMP,FASHION
3Q2559,"3,132.65",96.97,203.72,811.15,2.60,3.34,3.94,82.98,7.89,25.89,0.14,-291.67,36.50,"10,950.00",9.59,0.59,62.39,4.11,3.35,SUC,SET,CONSUMP,FASHION
4Q2559,"2,709.27",,,-52.46,-0.35,-0.22,-0.25,85.88,10.36,-1.94,0.15,-244.37,39.25,"11,775.00",7.16,0.61,64.50,3.82,3.94,SUC,SET,CONSUMP,FASHION
1Q2560,"2,846.04",,50.51,491.36,1.49,2.04,2.33,83.69,9.47,17.26,0.14,-178.25,39.25,"11,775.00",8.90,0.61,64.35,5.10,3.79,SUC,SET,CONSUMP,FASHION
2Q2560,"2,563.40",-6.71,5.30,430.20,1.39,1.78,2.04,82.78,10.36,16.78,0.16,-36.64,40.25,"12,075.00",8.22,0.62,65.45,4.97,4.20,SUC,SET,CONSUMP,FASHION
3Q2560,"2,931.25",-12.95,-53.46,398.56,1.21,1.62,1.88,83.91,8.31,13.60,0.17,-121.02,41.00,"12,300.00",8.27,0.63,64.70,4.88,5.40,SUC,SET,CONSUMP,FASHION
4Q2560,"3,086.33",-54.55,,174.22,0.55,0.69,0.81,86.08,9.42,5.64,0.18,-130.06,43.50,"13,050.00",12.01,0.66,66.19,4.60,5.25,SUC,SET,CONSUMP,FASHION
1Q2561,"2,736.39",109.09,-22.82,367.73,1.15,1.44,1.69,86.37,9.78,13.44,0.17,-125.33,45.00,"13,500.00",10.04,0.68,66.26,4.44,5.30,SUC,SET,CONSUMP,FASHION
2Q2561,"2,783.15",10.43,-8.63,403.74,1.27,1.58,1.85,84.07,9.67,14.51,0.17,-145.33,43.00,"12,900.00",10.37,0.64,67.01,4.65,5.32,SUC,SET,CONSUMP,FASHION
3Q2561,"3,021.47",2.36,7.44,425.09,1.30,1.66,1.94,84.86,9.04,14.07,0.16,-143.01,45.00,"13,500.00",11.15,0.67,67.35,4.44,5.59,SUC,SET,CONSUMP,FASHION
4Q2561,"2,985.77",6.92,152.73,452.37,1.39,1.76,2.04,85.86,10.59,15.15,0.16,-127.08,45.75,"13,725.00",11.09,0.67,67.79,4.37,5.09,SUC,SET,CONSUMP,FASHION
1Q2562,"2,769.11",-20.86,-4.35,362.07,1.10,1.40,1.61,85.62,9.52,13.08,0.15,-118.45,48.75,"14,625.00",9.87,0.71,69.04,4.10,5.59,SUC,SET,CONSUMP,FASHION
2Q2562,"2,920.43",3.64,-10.24,329.74,1.14,1.28,1.48,83.55,9.85,11.29,0.16,-188.67,45.25,"13,575.00",9.25,0.65,69.97,4.42,5.63,SUC,SET,CONSUMP,FASHION
3Q2562,"2,437.74",-33.36,-41.56,235.03,0.76,0.93,1.07,82.00,10.61,9.64,0.14,-179.03,43.50,"13,050.00",9.12,0.64,67.93,4.60,5.63,SUC,SET,CONSUMP,FASHION
4Q2562,"2,588.02",9.91,-39.93,248.14,0.84,0.99,1.13,87.05,10.74,9.59,0.14,-283.05,43.25,"12,975.00",10.20,0.65,66.81,4.62,6.10,SUC,SET,CONSUMP,FASHION
1Q2563,"2,454.04",-79.64,-84.55,45.86,0.17,0.18,0.21,87.10,9.65,1.87,0.14,-304.36,33.50,"10,050.00",,,,4.48,5.79,SUC,SET,CONSUMP,FASHION
2Q2563,"2,119.82",282.35,-42.98,220.56,0.65,0.87,0.99,83.33,10.49,10.40,0.13,-321.58,35.75,"10,725.00",12.73,0.51,69.71,4.20,6.65,SUC,SET,CONSUMP,FASHION
3Q2563,"2,266.75",9.23,-6.55,215.55,0.71,0.86,0.97,77.73,10.00,9.51,0.13,-338.26,33.75,"10,125.00",14.47,0.50,67.89,4.44,5.81,SUC,SET,CONSUMP,FASHION
4Q2563,"2,527.33",94.37,65.26,385.32,1.38,1.51,1.70,84.45,9.56,15.25,0.13,-355.10,33.50,"10,050.00",14.64,0.48,69.28,4.48,5.31,SUC,SET,CONSUMP,FASHION
1Q2564,"2,383.29",-22.46,529.41,334.47,1.07,1.29,1.45,80.77,9.47,14.03,0.12,-364.13,36.00,"10,800.00",12.78,0.51,70.91,4.17,4.81,SUC,SET,CONSUMP,FASHION
2Q2564,"1,887.70",-57.01,-29.23,141.63,0.46,0.55,0.61,87.72,11.94,7.50,0.09,-264.85,37.00,"11,100.00",10.02,0.51,72.04,4.05,5.32,SUC,SET,CONSUMP,FASHION
3Q2564,"2,138.94",-53.79,-70.06,83.74,0.21,0.33,0.36,82.39,11.49,3.92,0.09,-235.89,32.50,"9,750.00",9.28,0.45,71.53,4.62,4.63,SUC,SET,CONSUMP,FASHION
4Q2564,"2,522.20",54.05,-76.27,144.61,0.33,0.55,0.61,83.93,9.69,5.73,0.11,-215.82,32.50,"9,750.00",10.74,0.44,73.33,4.62,5.50,SUC,SET,CONSUMP,FASHION
1Q2565,"2,479.58",214.56,-3.74,354.82,1.03,1.35,1.49,83.54,8.92,14.31,0.10,-211.59,31.75,"9,525.00",,,,4.72,5.45,SUC,SET,CONSUMP,FASHION
2Q2565,"2,213.09",-1.94,119.57,319.09,1.01,1.23,1.34,81.62,10.69,14.42,0.09,-295.94,29.75,"9,150.00",15.54,0.41,73.57,4.92,4.66,SUC,SET,CONSUMP,FASHION
3Q2565,"2,332.40",-92.08,-62.36,68.86,0.08,0.26,0.29,81.78,12.26,2.95,0.11,-209.24,28.00,"8,475.00",11.31,0.38,73.58,5.31,4.21,SUC,SET,CONSUMP,FASHION
