,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,4.15,-33.04,,,,,,,,SUN,SET,AGRO,FOOD
3Q2560,"1,255.31",,,111.49,0.44,12.05,55.89,86.37,12.34,8.88,3.33,-0.95,,,,,,,,SUN,SET,AGRO,FOOD
4Q2560,409.33,,,5.99,0.00,0.53,1.01,86.93,12.54,1.46,0.26,22.01,5.45,"2,343.50",17.64,,0.00,0.00,6.21,SUN,SET,AGRO,FOOD
1Q2561,428.58,,,5.26,0.01,0.42,0.56,86.71,12.91,1.23,0.40,12.84,4.66,"2,003.80",17.06,2.14,2.18,3.22,5.24,SUN,SET,AGRO,FOOD
2Q2561,474.54,400.00,,21.06,0.05,1.67,2.29,88.01,11.53,4.44,0.34,36.07,2.88,"1,238.40",12.32,1.32,2.19,5.21,5.74,SUN,SET,AGRO,FOOD
3Q2561,481.22,40.00,-84.09,28.95,0.07,2.36,3.17,89.04,10.54,6.02,0.35,64.46,3.58,"1,539.40",16.90,1.71,2.09,4.19,15.47,SUN,SET,AGRO,FOOD
4Q2561,454.05,,,1.14,0.00,0.09,0.12,88.62,10.62,0.25,0.40,107.78,2.90,"1,247.00",20.36,1.35,2.16,5.17,14.00,SUN,SET,AGRO,FOOD
1Q2562,437.63,,100.00,8.64,0.02,0.67,0.94,87.95,11.63,1.97,0.44,214.14,2.90,"1,247.00",22.11,1.37,2.11,3.45,13.55,SUN,SET,AGRO,FOOD
2Q2562,440.26,,,-42.32,-0.10,-3.37,-4.76,87.14,12.69,-9.61,0.38,288.05,2.36,"1,014.80",16.97,1.10,2.14,4.24,22.64,SUN,SET,AGRO,FOOD
3Q2562,513.46,,,0.95,0.00,0.08,0.11,89.80,9.98,0.19,0.56,267.12,1.68,722.40,N/A,0.84,1.99,5.95,35.31,SUN,SET,AGRO,FOOD
4Q2562,534.13,,,-9.15,-0.02,-0.68,-1.07,89.75,9.86,-1.71,0.58,179.39,1.72,739.60,N/A,0.86,2.00,5.81,51.81,SUN,SET,AGRO,FOOD
1Q2563,615.67,,0.00,10.44,0.02,0.82,1.22,90.70,9.00,1.69,0.39,59.62,1.35,580.50,N/A,0.68,1.98,0.00,38.35,SUN,SET,AGRO,FOOD
2Q2563,625.82,600.00,,56.50,0.14,4.66,6.35,91.72,8.13,9.03,0.34,-62.74,2.06,885.80,N/A,1.03,2.00,0.00,7.30,SUN,SET,AGRO,FOOD
3Q2563,741.40,42.86,,86.16,0.20,6.72,9.07,91.33,8.45,11.62,0.36,-126.51,2.94,"1,264.20",21.52,1.38,2.13,0.00,5.86,SUN,SET,AGRO,FOOD
4Q2563,634.87,-55.00,,39.81,0.09,3.03,3.97,90.25,9.31,6.27,0.27,-158.67,4.14,"1,780.20",12.37,1.81,2.28,0.00,6.14,SUN,SET,AGRO,FOOD
1Q2564,656.17,-22.22,250.00,30.56,0.07,2.25,2.95,90.51,9.13,4.66,0.36,-147.57,10.40,"4,472.00",23.18,4.38,2.38,0.96,15.18,SUN,SET,AGRO,FOOD
2Q2564,744.55,0.00,-50.00,59.37,0.07,4.13,5.55,91.47,8.36,7.97,0.33,-113.88,7.40,"4,772.98",22.40,4.54,1.63,0.90,16.38,SUN,SET,AGRO,FOOD
3Q2564,772.64,14.29,-60.00,53.20,0.08,3.60,4.91,91.06,8.70,6.89,0.40,-69.48,7.35,"4,740.73",21.96,4.35,1.69,0.91,18.78,SUN,SET,AGRO,FOOD
1Q2565,701.85,-41.14,-32.73,30.37,0.05,1.96,2.70,90.14,9.58,4.33,0.36,-69.99,6.10,"3,934.48",,,,4.10,15.82,SUN,SET,AGRO,FOOD
2Q2565,896.55,-14.61,-42.56,25.94,0.04,1.60,2.28,90.49,9.16,2.89,0.50,-104.44,4.94,"3,186.29",15.27,2.72,1.82,5.06,13.58,SUN,SET,AGRO,FOOD
3Q2565,822.46,31.06,-34.13,32.22,0.05,1.96,2.88,90.43,9.31,3.92,0.44,-131.88,4.62,"3,005.69",17.16,2.73,1.71,5.36,13.57,SUN,SET,AGRO,FOOD
