,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,916.60",71.14,26.24,269.23,2.55,4.22,5.48,77.66,20.62,14.05,0.30,-57.27,185.00,"18,500.00",24.11,4.13,44.84,2.16,11.87,SVH,SET,SERVICE,HELTH
2Q2555,"1,896.89",-11.76,23.63,240.58,2.25,3.69,4.78,76.89,21.14,12.68,0.29,-56.65,215.00,"21,500.00",26.23,4.54,47.39,1.86,13.67,SVH,SET,SERVICE,HELTH
3Q2555,"2,109.97",24.00,18.72,303.54,2.79,4.52,5.86,78.70,19.76,14.39,0.30,-53.01,238.00,"23,800.00",27.56,5.06,47.14,1.68,14.76,SVH,SET,SERVICE,HELTH
4Q2555,"2,164.10",-13.98,61.07,259.08,2.40,3.71,4.85,73.83,23.93,11.97,0.31,-51.05,227.00,"22,700.00",25.03,4.54,49.93,1.76,13.39,SVH,SET,SERVICE,HELTH
1Q2556,"2,120.29",18.33,11.37,304.04,2.84,4.22,5.67,77.40,20.76,14.34,0.38,-48.99,247.00,"24,700.00",24.73,4.95,50.05,1.72,14.40,SVH,SET,SERVICE,HELTH
2Q2556,"2,104.42",-23.94,-4.00,234.62,2.16,3.18,4.38,75.60,22.72,11.15,0.38,-47.89,232.00,"23,200.00",22.57,4.64,49.97,1.83,13.78,SVH,SET,SERVICE,HELTH
3Q2556,"2,298.55",26.39,-2.15,292.28,2.73,3.86,5.32,75.75,22.62,12.72,0.37,-45.32,213.00,"21,300.00",20.91,4.27,49.83,2.00,12.96,SVH,SET,SERVICE,HELTH
4Q2556,"2,315.03",-15.38,-3.75,244.79,2.31,3.10,4.25,73.96,23.95,10.57,0.37,-49.79,191.00,"19,100.00",18.84,3.63,52.57,2.23,11.94,SVH,SET,SERVICE,HELTH
1Q2557,"2,401.98",49.78,21.83,370.16,3.46,4.47,6.12,78.35,19.71,15.41,0.37,-54.02,0.00,"19,600.00",19.52,3.57,54.88,2.81,11.68,SVH,SET,SERVICE,HELTH
2Q2557,"2,331.95",-15.61,35.19,311.97,2.92,3.72,5.11,76.82,20.95,13.38,0.38,-55.83,264.00,"26,400.00",24.75,4.53,58.34,2.08,14.52,SVH,SET,SERVICE,HELTH
3Q2557,"2,523.14",16.78,24.91,361.60,3.41,4.25,5.87,78.24,20.01,14.33,0.38,-58.61,323.00,"32,300.00",28.26,5.79,55.76,1.70,16.72,SVH,SET,SERVICE,HELTH
4Q2557,"2,552.78",-11.44,30.74,317.52,3.02,3.43,4.69,76.66,21.08,12.44,0.35,-58.40,302.00,"30,200.00",24.97,5.10,59.16,1.82,15.01,SVH,SET,SERVICE,HELTH
1Q2558,"2,506.99",21.85,6.36,388.23,3.68,3.89,5.26,78.46,19.59,15.49,0.35,-56.83,297.00,"29,700.00",23.18,4.40,67.56,2.69,14.53,SVH,SET,SERVICE,HELTH
2Q2558,"2,424.09",-29.35,-10.96,277.46,2.60,2.79,3.81,76.62,21.38,11.45,0.38,-56.20,310.00,"31,000.00",23.80,4.35,71.23,2.58,15.28,SVH,SET,SERVICE,HELTH
3Q2558,"2,560.90",31.54,0.29,368.23,3.42,3.73,5.10,77.96,20.07,14.38,0.35,-54.39,303.00,"30,300.00",23.85,4.60,65.83,2.64,14.58,SVH,SET,SERVICE,HELTH
4Q2558,"2,555.34",13.16,28.15,408.32,3.87,4.08,5.56,79.29,19.29,15.98,0.37,-51.57,300.00,"30,000.00",23.58,4.33,69.27,2.67,13.63,SVH,SET,SERVICE,HELTH
1Q2559,"2,513.44",-9.04,-4.35,372.65,3.52,3.68,4.99,79.36,19.19,14.83,0.34,-49.92,349.00,"34,900.00",25.71,5.12,68.23,2.87,15.62,SVH,SET,SERVICE,HELTH
2Q2559,"2,394.21",-19.03,9.62,305.72,2.85,3.03,4.05,78.89,19.75,12.77,0.33,-49.05,365.00,"36,500.00",27.21,5.09,71.74,2.74,16.16,SVH,SET,SERVICE,HELTH
