,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,772.57",,31.67,303.57,0.16,6.75,21.67,84.99,4.75,17.13,2.25,-468.41,3.50,"6,828.03",N/A,5.38,0.65,0.00,-9.82,SVI,SET,TECH,ETRON
2Q2555,"2,128.38",-48.10,-31.67,154.07,0.08,2.96,9.48,93.08,4.25,7.24,2.15,-583.83,3.52,"6,867.04",N/A,4.36,0.81,0.00,-9.33,SVI,SET,TECH,ETRON
3Q2555,"2,575.76",253.66,163.64,569.01,0.29,10.55,28.46,80.23,3.09,22.09,1.37,-664.68,3.84,"7,530.62",N/A,4.36,0.89,0.00,-13.87,SVI,SET,TECH,ETRON
4Q2555,"2,008.11",-58.62,,219.81,0.12,4.24,9.13,91.58,2.84,10.95,0.96,-594.36,4.12,"8,079.73",N/A,3.46,1.19,0.00,6.85,SVI,SET,TECH,ETRON
1Q2556,"1,661.28",-15.83,-36.08,223.54,0.10,4.42,8.25,92.51,4.43,13.46,0.79,-478.09,4.64,"9,113.10",7.31,3.62,1.30,0.00,7.83,SVI,SET,TECH,ETRON
2Q2556,"1,974.02",-18.08,0.90,188.89,0.08,3.57,6.32,90.39,4.61,9.57,0.76,-422.27,3.44,"7,721.43",6.62,2.66,1.29,0.00,6.32,SVI,SET,TECH,ETRON
3Q2556,"2,204.78",11.65,-68.14,206.34,0.09,3.68,6.46,92.32,4.18,9.36,0.75,-387.87,3.44,"7,776.29",6.47,2.53,1.37,0.00,9.38,SVI,SET,TECH,ETRON
4Q2556,"3,296.77",380.49,269.90,"1,004.32",0.44,16.35,26.57,69.85,2.74,30.46,0.53,-415.28,4.14,"9,358.67",11.16,2.83,1.47,0.00,5.58,SVI,SET,TECH,ETRON
1Q2557,"2,235.68",-74.54,11.88,256.21,0.11,3.83,5.84,90.16,3.76,11.46,0.52,-449.98,4.34,"9,833.35",6.06,2.31,1.88,3.45,6.13,SVI,SET,TECH,ETRON
2Q2557,"2,373.66",3.54,41.41,254.52,0.12,3.71,5.54,91.42,3.61,10.72,0.47,-453.81,4.44,"10,059.93",6.08,2.22,2.00,3.37,5.92,SVI,SET,TECH,ETRON
