,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,282.68,138.23,119.90,43.13,0.29,6.04,9.15,89.10,10.56,15.26,0.54,-111.62,4.80,720.00,9.33,1.60,3.00,6.46,6.39,SWC,mai,INDUS,-
2Q2555,320.36,-20.18,75.52,34.59,0.23,4.39,6.97,85.69,14.09,10.80,0.63,-130.96,7.00,"1,050.00",10.39,2.13,3.29,4.43,8.16,SWC,mai,INDUS,-
3Q2555,252.70,-63.36,-35.68,13.10,0.08,1.67,2.67,76.90,22.37,5.18,0.56,-99.27,8.50,"1,275.00",11.14,2.56,3.33,3.65,10.26,SWC,mai,INDUS,-
4Q2555,210.69,-39.15,-57.60,3.77,0.05,0.52,0.78,74.21,25.86,1.79,0.40,-50.99,7.50,"1,125.00",10.45,2.34,3.21,4.13,9.05,SWC,mai,INDUS,-
1Q2556,275.14,514.47,9.36,48.24,0.31,6.72,9.43,88.62,11.16,17.53,0.40,-18.69,7.65,"1,147.50",11.80,2.35,3.26,5.49,9.15,SWC,mai,INDUS,-
2Q2556,298.26,-17.53,13.00,38.88,0.26,5.02,7.18,83.80,15.93,13.04,0.46,1.91,8.15,"1,222.50",12.07,2.27,3.59,5.15,9.20,SWC,mai,INDUS,-
3Q2556,273.76,-27.82,122.58,28.61,0.19,3.59,5.26,82.70,16.76,10.45,0.47,-7.23,7.70,"1,155.00",10.92,2.12,3.64,5.45,7.91,SWC,mai,INDUS,-
4Q2556,223.35,-85.00,-45.13,3.62,0.03,0.46,0.67,75.76,23.75,1.62,0.41,-32.15,7.85,"1,177.50",9.72,2.17,3.62,5.35,7.77,SWC,mai,INDUS,-
1Q2557,227.41,535.17,-43.28,28.46,0.18,3.69,5.08,78.98,20.08,12.52,0.35,-13.94,7.35,"1,102.50",9.37,2.02,3.64,5.99,8.62,SWC,mai,INDUS,-
2Q2557,307.57,9.67,-24.57,28.66,0.19,3.50,5.01,84.09,15.45,9.32,0.52,-16.22,7.25,"1,087.50",11.17,1.90,3.82,6.07,9.84,SWC,mai,INDUS,-
3Q2557,291.05,-48.74,-46.43,15.21,0.10,1.77,2.71,83.72,16.48,5.22,0.54,-38.94,7.20,"1,080.00",12.29,1.90,3.79,6.11,10.79,SWC,mai,INDUS,-
4Q2557,326.49,14.41,308.52,15.64,0.11,1.94,2.79,57.70,41.99,4.79,0.34,-9.39,7.05,"1,057.50",14.12,1.91,3.69,6.24,8.90,SWC,mai,INDUS,-
1Q2558,271.02,37.14,-11.80,25.03,0.16,3.13,4.30,73.25,26.30,9.24,0.40,-22.13,7.45,"1,117.50",12.72,1.96,3.80,5.91,9.90,SWC,mai,INDUS,-
2Q2558,317.71,69.10,36.00,39.22,0.26,4.62,6.53,79.59,20.15,12.34,0.42,-16.27,8.25,"1,237.50",14.61,2.08,3.96,4.85,10.07,SWC,mai,INDUS,-
3Q2558,306.21,17.45,211.63,46.52,0.31,5.41,7.61,79.65,20.17,15.19,0.39,8.74,8.30,"1,245.00",13.08,2.05,4.04,4.82,7.70,SWC,mai,INDUS,-
4Q2558,282.50,-73.53,-27.91,12.41,0.08,1.45,1.99,65.41,34.72,4.39,0.36,11.84,9.10,"1,365.00",10.76,2.22,4.11,4.40,8.27,SWC,mai,INDUS,-
1Q2559,317.61,344.56,133.70,56.43,0.37,6.27,8.58,81.49,17.87,17.77,0.38,16.81,9.20,"1,380.00",11.30,2.19,4.19,4.89,6.93,SWC,mai,INDUS,-
