,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,199.80,30.74,14.61,61.89,0.21,4.39,5.41,75.91,22.24,30.98,0.23,-167.91,11.30,"3,390.00",15.96,3.05,3.71,4.69,8.20,SYMC,SET,TECH,ICT
2Q2555,201.12,3.35,14.67,63.96,0.21,4.53,5.56,77.40,21.23,31.80,0.23,-188.98,12.90,"3,870.00",17.58,3.30,3.91,4.11,8.89,SYMC,SET,TECH,ICT
3Q2555,208.31,-2.94,12.44,62.09,0.21,4.47,5.48,77.01,21.49,29.81,0.22,-206.37,15.00,"4,500.00",19.70,4.00,3.75,3.53,9.81,SYMC,SET,TECH,ICT
4Q2555,210.34,-25.42,-2.18,46.31,0.15,3.18,3.98,71.97,27.04,22.01,0.27,-232.51,23.10,"6,930.00",29.54,6.07,3.81,2.29,14.73,SYMC,SET,TECH,ICT
1Q2556,225.45,15.68,-13.44,53.57,0.18,3.44,4.40,75.69,23.36,23.76,0.29,-268.87,20.60,"6,180.00",26.38,5.20,3.96,2.82,13.46,SYMC,SET,TECH,ICT
2Q2556,237.50,-6.75,-21.91,49.95,0.17,3.05,4.14,76.31,23.13,21.03,0.44,-283.94,17.70,"5,310.00",23.50,4.26,4.15,3.28,12.05,SYMC,SET,TECH,ICT
3Q2556,274.55,-18.97,-34.81,43.21,0.13,2.40,3.70,78.26,21.58,15.74,0.65,-333.24,13.50,"4,050.00",19.11,3.47,3.89,4.30,9.92,SYMC,SET,TECH,ICT
4Q2556,284.25,150.96,119.36,98.85,0.34,4.72,8.11,92.78,6.96,34.77,0.77,-517.04,13.60,"4,080.00",21.14,3.50,3.89,4.26,10.24,SYMC,SET,TECH,ICT
1Q2557,297.03,-51.38,-7.81,49.39,0.16,2.06,3.81,78.15,21.67,16.63,0.92,-578.60,17.10,"5,130.00",20.89,4.04,4.24,3.39,12.61,SYMC,SET,TECH,ICT
2Q2557,321.41,4.51,3.33,51.61,0.17,1.91,4.01,77.24,22.37,16.06,1.29,-629.23,17.50,"5,253.94",21.76,3.97,4.41,3.31,13.15,SYMC,SET,TECH,ICT
3Q2557,329.64,-26.25,-5.95,38.07,0.13,1.31,3.05,73.85,25.44,11.55,1.38,-574.27,17.70,"5,313.98",21.86,4.25,4.16,3.27,13.31,SYMC,SET,TECH,ICT
4Q2557,327.30,12.00,-58.03,42.64,0.14,1.41,3.36,75.08,24.09,13.03,1.40,-405.49,14.00,"4,205.10",17.67,3.38,4.15,4.14,10.85,SYMC,SET,TECH,ICT
1Q2558,334.74,2.50,-11.51,43.70,0.15,1.38,3.33,76.86,22.80,13.06,1.44,-343.40,14.00,"4,205.10",23.14,3.26,4.30,3.07,10.43,SYMC,SET,TECH,ICT
2Q2558,331.31,-23.97,-35.63,33.23,0.11,0.99,2.53,74.88,24.20,10.03,1.67,-309.38,13.10,"3,934.77",22.35,2.94,4.45,3.28,10.22,SYMC,SET,TECH,ICT
3Q2558,330.92,-36.85,-44.88,20.98,0.07,0.59,1.64,72.02,25.76,6.34,1.83,-307.67,9.85,"2,958.59",18.77,2.30,4.29,4.36,8.73,SYMC,SET,TECH,ICT
4Q2558,322.48,-23.81,-62.50,15.99,0.05,0.44,1.24,74.15,25.33,4.96,1.81,-310.62,8.95,"2,688.26",19.13,2.10,4.25,4.80,8.41,SYMC,SET,TECH,ICT
1Q2559,324.47,-49.43,-81.50,11.09,0.03,0.30,0.85,73.53,26.24,3.42,1.79,-289.81,8.35,"2,508.04",22.02,1.93,4.32,1.43,8.34,SYMC,SET,TECH,ICT
2Q2559,347.78,208.16,-25.01,25.64,0.08,0.67,1.94,77.07,22.44,7.37,1.97,-325.24,8.85,"2,879.73",35.43,2.20,4.02,1.24,9.26,SYMC,SET,TECH,ICT
3Q2559,352.95,-9.60,7.35,23.49,0.08,0.59,1.74,76.45,23.29,6.66,1.97,-334.37,8.45,"2,749.58",37.31,2.06,4.10,1.30,8.85,SYMC,SET,TECH,ICT
4Q2559,363.52,66.38,134.42,39.14,0.12,0.97,2.84,75.39,23.72,10.77,1.88,-302.87,8.25,"2,684.50",35.22,1.98,4.18,1.33,8.23,SYMC,SET,TECH,ICT
1Q2560,363.77,-26.09,242.60,27.70,0.09,0.68,1.96,74.99,24.85,7.61,1.89,-296.08,12.10,"3,937.26",39.63,2.81,4.30,0.00,9.91,SYMC,SET,TECH,ICT
2Q2560,359.81,-40.23,-33.55,20.30,0.06,0.49,1.41,75.06,24.78,5.64,1.88,-214.20,11.80,"3,839.65",33.11,2.69,4.39,0.00,9.84,SYMC,SET,TECH,ICT
3Q2560,343.94,-82.08,-86.83,3.22,0.01,0.08,0.22,73.41,26.02,0.94,1.88,-188.96,11.80,"3,839.65",34.71,2.65,4.46,0.00,10.02,SYMC,SET,TECH,ICT
4Q2560,345.51,,,-139.87,-0.43,-3.07,-7.55,19.81,79.72,-40.48,1.19,-120.92,9.40,"4,076.36",45.11,2.80,4.47,0.00,13.07,SYMC,SET,TECH,ICT
1Q2561,344.12,,-67.51,13.45,0.03,0.28,0.60,75.90,23.11,3.91,1.13,-138.87,8.90,"3,859.53",N/A,1.71,5.19,0.00,12.53,SYMC,SET,TECH,ICT
2Q2561,332.89,66.67,-9.40,20.19,0.05,0.43,0.89,76.37,21.15,6.06,1.02,-141.51,4.86,"2,107.56",N/A,0.93,5.22,0.00,7.97,SYMC,SET,TECH,ICT
3Q2561,327.49,-40.00,203.34,15.57,0.03,0.34,0.68,78.20,21.69,4.75,0.97,-129.53,5.75,"2,493.52",N/A,1.09,5.28,0.00,8.38,SYMC,SET,TECH,ICT
4Q2561,334.83,33.33,,15.60,0.04,0.35,0.67,75.42,22.94,4.66,0.93,-217.46,4.90,"2,124.91",N/A,0.92,5.31,0.00,5.26,SYMC,SET,TECH,ICT
