,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"5,128.81",9.09,-25.00,82.50,0.12,1.70,4.79,97.13,2.80,1.61,1.98,-21.24,6.10,"4,214.02",11.16,2.55,2.44,4.36,13.24,SYNEX,SET,TECH,ICT
2Q2555,"5,475.72",0.00,-25.00,80.15,0.12,1.42,4.55,97.26,2.68,1.46,2.46,-62.94,5.50,"3,799.53",10.83,2.12,2.60,4.83,14.74,SYNEX,SET,TECH,ICT
3Q2555,"5,187.39",50.00,38.46,128.51,0.18,2.14,7.18,97.14,2.80,2.48,2.25,-28.55,4.96,"3,439.51",10.63,1.99,2.50,5.33,12.94,SYNEX,SET,TECH,ICT
4Q2555,"4,800.37",-38.89,0.00,73.71,0.11,1.35,3.90,96.22,3.66,1.54,1.53,10.64,5.60,"3,883.32",10.65,2.10,2.67,4.72,11.85,SYNEX,SET,TECH,ICT
1Q2556,"4,685.70",45.45,33.33,121.07,0.16,2.44,6.01,96.39,3.48,2.58,1.40,43.03,5.95,"4,144.73",11.36,2.15,2.78,3.70,11.59,SYNEX,SET,TECH,ICT
2Q2556,"4,792.33",-68.75,-58.33,36.14,0.05,0.68,1.76,97.30,2.62,0.75,1.84,45.28,3.98,"3,049.68",7.56,1.45,2.74,5.03,12.42,SYNEX,SET,TECH,ICT
3Q2556,"5,084.69",100.00,-44.44,82.27,0.10,1.47,4.05,95.90,4.04,1.62,1.65,5.63,3.20,"2,465.05",6.86,1.24,2.60,6.22,12.23,SYNEX,SET,TECH,ICT
4Q2556,"4,210.65",,,-17.63,-0.02,-0.35,-0.85,95.56,4.40,-0.42,1.26,-62.28,3.04,"2,341.80",7.48,1.13,2.69,6.54,14.19,SYNEX,SET,TECH,ICT
1Q2557,"4,440.88",,-68.75,38.51,0.05,0.79,1.85,96.50,3.41,0.87,1.45,-78.35,2.74,"2,110.70",9.51,1.03,2.67,5.47,20.88,SYNEX,SET,TECH,ICT
2Q2557,"4,622.47",-40.00,-40.00,21.14,0.03,0.41,1.03,96.51,3.34,0.46,1.64,-55.29,2.96,"2,280.17",16.37,1.09,2.72,5.07,24.32,SYNEX,SET,TECH,ICT
3Q2557,"5,093.66",166.67,-20.00,61.53,0.08,1.12,3.03,97.00,2.74,1.21,1.75,-62.62,3.28,"2,526.68",20.33,1.26,2.60,4.57,31.42,SYNEX,SET,TECH,ICT
4Q2557,"4,956.78",0.00,,59.93,0.08,1.06,2.86,97.07,2.98,1.21,1.65,53.96,2.82,"2,172.33",20.98,1.05,2.68,5.32,19.42,SYNEX,SET,TECH,ICT
1Q2558,"5,094.56",25.08,100.12,77.08,0.10,1.31,3.55,96.91,2.95,1.51,1.76,87.11,2.92,"2,249.36",12.37,1.06,2.76,4.45,17.53,SYNEX,SET,TECH,ICT
2Q2558,"5,127.30",9.87,266.47,84.53,0.11,1.39,3.85,96.30,3.37,1.65,1.78,96.23,4.66,"3,589.73",16.08,1.63,2.86,2.79,17.26,SYNEX,SET,TECH,ICT
3Q2558,"5,902.65",18.25,62.50,90.40,0.13,1.42,4.10,95.89,3.93,1.53,2.01,4.99,4.16,"3,204.57",11.11,1.46,2.84,3.12,16.19,SYNEX,SET,TECH,ICT
4Q2558,"5,443.83",-7.69,50.00,99.15,0.12,1.63,4.37,96.05,3.61,1.82,1.37,-26.75,4.46,"3,435.67",10.72,1.55,2.88,2.91,12.62,SYNEX,SET,TECH,ICT
1Q2559,"5,286.39",8.33,29.92,99.00,0.13,1.75,4.18,96.31,3.26,1.87,1.42,-53.12,4.64,"3,574.32",9.97,1.54,3.01,6.47,12.82,SYNEX,SET,TECH,ICT
2Q2559,"5,225.29",-20.10,-5.52,81.15,0.10,1.34,3.42,96.81,3.27,1.55,1.71,-67.92,6.45,"4,968.62",13.15,2.06,3.14,4.65,16.76,SYNEX,SET,TECH,ICT
3Q2559,"6,161.97",35.70,8.42,108.58,0.14,1.65,4.63,97.03,2.80,1.76,1.91,-63.88,5.20,"4,005.71",10.75,1.72,3.03,5.77,15.20,SYNEX,SET,TECH,ICT
4Q2559,"7,191.23",8.86,27.87,118.20,0.15,1.64,4.88,97.17,2.65,1.64,2.05,-90.81,7.15,"5,507.85",14.21,2.33,3.06,4.20,18.22,SYNEX,SET,TECH,ICT
1Q2560,"8,180.98",25.73,48.40,148.61,0.19,1.76,5.81,98.70,1.19,1.82,2.55,39.77,10.00,"7,703.29",18.93,3.10,3.22,3.60,22.29,SYNEX,SET,TECH,ICT
2Q2560,"8,261.88",2.16,89.74,151.05,0.20,1.63,5.79,96.35,3.51,1.83,2.58,123.88,12.30,"9,475.04",20.75,3.60,3.42,2.93,21.65,SYNEX,SET,TECH,ICT
3Q2560,"8,084.23",4.96,46.76,160.12,0.21,1.73,6.17,97.22,2.57,1.98,2.54,166.95,14.20,"10,938.67",20.78,4.23,3.36,2.54,21.52,SYNEX,SET,TECH,ICT
4Q2560,"7,955.50",2.96,38.80,164.06,0.21,1.80,6.10,97.08,2.69,2.06,2.25,234.61,15.50,"11,940.09",20.66,4.58,3.39,2.32,20.76,SYNEX,SET,TECH,ICT
1Q2561,"8,927.03",27.91,41.21,209.85,0.27,2.19,7.29,97.39,2.43,2.35,2.41,121.79,13.10,"10,091.31",16.18,3.64,3.60,4.05,18.06,SYNEX,SET,TECH,ICT
2Q2561,"9,590.14",-23.19,6.18,161.19,0.21,1.50,5.50,97.63,2.20,1.68,2.94,81.82,13.70,"10,553.50",15.40,3.53,3.88,3.87,19.68,SYNEX,SET,TECH,ICT
3Q2561,"9,345.18",-0.25,0.90,160.78,0.21,1.44,5.58,97.48,2.38,1.72,2.79,112.69,15.50,"11,940.09",17.17,4.15,3.73,3.42,20.79,SYNEX,SET,TECH,ICT
4Q2561,"10,390.30",17.96,15.60,189.66,0.25,1.68,6.35,97.77,2.13,1.83,2.79,45.22,11.40,"8,781.75",12.62,3.04,3.74,4.65,17.26,SYNEX,SET,TECH,ICT
1Q2562,"9,570.35",-3.53,-12.81,184.14,0.24,1.53,5.79,97.53,2.29,1.92,2.79,81.54,11.90,"9,166.91",13.98,3.27,3.64,4.13,18.79,SYNEX,SET,TECH,ICT
2Q2562,"7,906.81",-40.01,-31.91,118.79,0.14,1.01,3.71,97.01,2.67,1.50,2.54,156.10,10.80,"9,151.50",13.15,2.79,4.25,4.55,18.37,SYNEX,SET,TECH,ICT
3Q2562,"7,938.73",-22.80,-47.30,93.71,0.11,0.85,3.02,96.94,2.78,1.18,2.52,108.92,8.60,"7,287.31",11.15,2.33,3.69,5.71,17.65,SYNEX,SET,TECH,ICT
4Q2562,"9,471.99",36.36,-39.08,127.29,0.15,1.15,4.04,97.88,1.92,1.34,2.53,197.93,7.50,"6,355.21",10.84,2.06,3.65,6.55,18.72,SYNEX,SET,TECH,ICT
1Q2563,"7,359.52",3.60,-34.57,131.68,0.16,1.26,4.03,96.77,2.83,1.79,1.89,205.84,3.86,"3,270.81",,,,12.18,13.62,SYNEX,SET,TECH,ICT
2Q2563,"8,716.48",26.15,37.59,166.11,0.20,1.65,5.07,97.21,2.53,1.91,2.26,-72.46,7.60,"6,439.95",13.66,1.94,3.92,6.18,18.26,SYNEX,SET,TECH,ICT
3Q2563,"7,460.49",2.84,83.27,170.83,0.20,1.73,5.24,96.65,3.02,2.29,1.79,-20.99,13.30,"11,269.90",21.72,3.49,3.81,3.53,20.78,SYNEX,SET,TECH,ICT
4Q2563,"8,707.96",1.46,36.37,173.33,0.20,1.92,5.13,97.52,2.26,1.99,1.56,-205.53,15.00,"12,710.42",21.33,3.86,3.88,3.13,21.00,SYNEX,SET,TECH,ICT
1Q2564,"8,662.51",6.82,40.60,185.15,0.22,2.05,5.18,97.12,2.58,2.14,1.50,-350.64,23.80,"20,167.20",31.42,5.81,4.10,2.27,27.68,SYNEX,SET,TECH,ICT
2Q2564,"8,401.00",14.03,27.09,211.12,0.25,2.24,5.81,97.26,2.52,2.51,1.68,-195.88,26.25,"22,243.23",31.99,6.04,4.34,2.06,29.04,SYNEX,SET,TECH,ICT
3Q2564,"8,913.18",-7.88,13.84,194.48,0.23,1.97,5.39,96.95,2.87,2.18,1.77,-316.96,23.20,"19,658.78",26.55,5.47,4.24,2.33,26.24,SYNEX,SET,TECH,ICT
4Q2564,"11,183.39",38.55,55.45,265.79,0.32,2.49,7.02,97.14,2.74,2.38,1.86,-226.99,36.50,"30,928.68",40.48,8.56,4.26,1.48,34.24,SYNEX,SET,TECH,ICT
1Q2565,"9,965.74",-18.92,18.00,218.47,0.26,1.85,5.40,97.50,2.43,2.19,1.97,-101.04,26.50,"22,455.07",,,,2.64,26.14,SYNEX,SET,TECH,ICT
2Q2565,"9,618.98",-13.13,-10.10,189.79,0.22,1.50,4.75,97.45,2.27,1.97,2.36,-71.14,18.10,"15,421.97",17.19,3.73,4.88,3.85,21.17,SYNEX,SET,TECH,ICT
3Q2565,"10,112.74",16.84,14.02,213.60,0.26,1.62,5.51,97.68,2.20,2.11,2.44,9.95,16.60,"14,235.67",16.21,3.71,4.53,4.17,19.89,SYNEX,SET,TECH,ICT
