,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,124.68",,,-49.94,-0.03,-1.17,-2.21,94.74,4.46,-4.44,0.86,-364.03,0.89,"1,424.00",14.64,0.62,1.43,2.25,23.81,SYNTEC,SET,PROPCON,CONS
2Q2555,"1,120.12",-66.67,,-70.51,-0.05,-1.68,-3.19,95.26,4.46,-6.29,0.94,-473.78,0.76,"1,216.00",117.62,0.54,1.40,2.63,70.29,SYNTEC,SET,PROPCON,CONS
3Q2555,"1,256.04",60.00,,-35.13,-0.02,-0.81,-1.62,95.73,4.09,-2.80,1.04,-613.40,0.83,"1,328.00",N/A,0.62,1.34,2.41,-57.55,SYNTEC,SET,PROPCON,CONS
4Q2555,"1,373.66",,,23.39,0.02,0.53,1.07,91.16,8.60,1.70,0.97,-543.47,1.04,"1,664.00",N/A,0.79,1.32,1.92,"-1,030.70",SYNTEC,SET,PROPCON,CONS
1Q2556,"1,309.37",,79.73,-9.74,-0.01,-0.22,-0.43,94.55,5.28,-0.74,0.94,-573.05,1.94,"3,104.00",N/A,1.44,1.35,0.00,156.24,SYNTEC,SET,PROPCON,CONS
2Q2556,"1,422.31",,,28.82,0.02,0.62,1.22,95.23,4.63,2.03,1.02,-564.68,1.08,"1,728.00",N/A,0.74,1.45,0.00,24.18,SYNTEC,SET,PROPCON,CONS
3Q2556,"1,733.51",244.90,,84.86,0.06,1.74,3.54,96.27,3.58,4.90,1.04,-572.86,1.09,"1,744.00",234.16,0.75,1.44,0.00,12.69,SYNTEC,SET,PROPCON,CONS
4Q2556,"1,747.26",,,-24.84,-0.02,-0.48,-0.99,94.32,5.32,-1.42,1.12,-701.60,1.09,"1,744.00",13.61,0.74,1.48,0.00,15.56,SYNTEC,SET,PROPCON,CONS
1Q2557,"1,669.87",,,76.19,0.05,1.38,2.94,94.15,5.45,4.56,1.14,-697.31,1.27,"2,032.00",25.21,0.82,1.55,3.94,11.90,SYNTEC,SET,PROPCON,CONS
2Q2557,"1,578.11",-3.70,186.19,73.78,0.05,1.31,2.76,95.14,4.53,4.68,1.07,-730.57,1.86,"2,976.00",17.84,1.18,1.58,2.69,12.29,SYNTEC,SET,PROPCON,CONS
3Q2557,"1,857.81",61.13,33.70,118.08,0.07,2.02,4.20,95.23,4.28,6.36,1.09,-712.08,2.56,"4,096.00",19.37,1.55,1.65,1.95,12.68,SYNTEC,SET,PROPCON,CONS
4Q2557,"1,940.22",7.80,,126.13,0.08,2.06,4.25,93.55,4.84,6.50,1.04,-722.74,2.68,"4,288.00",17.53,1.54,1.74,1.87,10.24,SYNTEC,SET,PROPCON,CONS
1Q2558,"1,865.70",-22.88,28.98,94.43,0.06,1.51,3.09,94.44,5.11,5.06,1.04,-703.22,3.22,"5,152.00",12.99,1.76,1.83,2.17,10.99,SYNTEC,SET,PROPCON,CONS
2Q2558,"1,641.81",6.62,42.81,104.58,0.07,1.67,3.33,94.12,5.41,6.37,0.96,-625.37,2.96,"4,736.00",11.31,1.59,1.86,2.36,9.58,SYNTEC,SET,PROPCON,CONS
3Q2558,"1,729.92",132.26,105.85,234.42,0.15,3.72,7.16,94.62,4.95,13.55,0.89,-590.56,2.84,"4,544.00",10.09,1.51,1.88,2.46,9.11,SYNTEC,SET,PROPCON,CONS
4Q2558,"2,124.59",-21.29,50.31,194.15,0.12,2.97,5.57,87.15,5.86,9.14,0.86,-594.52,2.86,"4,576.00",8.03,1.44,1.99,2.45,7.82,SYNTEC,SET,PROPCON,CONS
1Q2559,"1,806.57",19.98,133.84,230.31,0.14,3.34,6.16,89.48,5.83,12.75,0.83,-626.71,2.94,"4,704.00",7.35,1.37,2.15,3.74,6.67,SYNTEC,SET,PROPCON,CONS
2Q2559,"1,873.13",-13.49,89.74,194.91,0.12,2.44,4.71,91.04,6.91,10.41,1.03,-668.10,3.04,"4,864.00",6.30,1.32,2.30,3.62,7.55,SYNTEC,SET,PROPCON,CONS
3Q2559,"2,061.30",38.74,13.35,274.24,0.17,3.01,6.08,93.80,6.16,13.30,1.00,-673.21,3.54,"5,664.00",6.54,1.48,2.40,3.11,6.85,SYNTEC,SET,PROPCON,CONS
4Q2559,"2,246.14",-40.96,-14.97,152.63,0.10,1.63,3.24,92.10,7.00,6.80,0.98,-660.56,5.20,"8,320.00",9.19,2.05,2.53,2.12,9.16,SYNTEC,SET,PROPCON,CONS
1Q2560,"2,109.81",54.01,9.14,246.21,0.16,2.63,4.99,92.05,7.01,11.67,0.82,-597.21,4.60,"7,360.00",8.46,1.73,2.65,3.26,7.88,SYNTEC,SET,PROPCON,CONS
2Q2560,"2,309.95",3.41,30.46,261.42,0.16,2.84,5.16,92.49,6.54,11.32,0.81,-551.94,5.00,"8,000.00",8.97,1.78,2.82,3.00,7.52,SYNTEC,SET,PROPCON,CONS
3Q2560,"2,414.94",-1.65,-7.52,244.03,0.16,2.61,4.68,92.26,6.57,10.10,0.77,-513.58,6.05,"9,680.00",10.14,2.12,2.86,2.48,8.91,SYNTEC,SET,PROPCON,CONS
4Q2560,"2,322.00",-6.09,47.10,233.49,0.15,2.40,4.28,90.29,8.77,10.06,0.79,-460.67,5.55,"8,880.00",9.55,1.85,3.00,2.70,7.59,SYNTEC,SET,PROPCON,CONS
1Q2561,"1,682.59",-38.61,-41.36,137.67,0.09,1.40,2.45,88.35,10.75,8.18,0.72,-429.82,5.00,"8,000.00",7.93,1.59,3.14,3.40,7.45,SYNTEC,SET,PROPCON,CONS
2Q2561,"1,493.01",49.32,-15.32,217.51,0.14,2.24,3.81,89.25,9.49,14.57,0.68,-389.75,3.88,"6,208.00",6.86,1.21,3.21,4.38,6.57,SYNTEC,SET,PROPCON,CONS
3Q2561,"1,967.81",-34.66,-43.75,125.71,0.09,1.28,2.16,90.15,8.55,6.39,0.69,-336.98,3.94,"6,304.00",7.28,1.22,3.24,4.31,7.21,SYNTEC,SET,PROPCON,CONS
4Q2561,"2,143.42",-23.47,-54.16,109.96,0.07,1.08,1.84,96.29,2.85,5.13,0.70,-365.94,2.72,"4,352.00",5.82,0.82,3.33,6.26,6.74,SYNTEC,SET,PROPCON,CONS
1Q2562,"1,991.47",-41.93,-56.64,57.50,0.04,0.56,0.94,89.44,7.62,2.89,0.69,-366.17,2.70,"4,320.00",6.93,0.78,3.44,4.82,7.31,SYNTEC,SET,PROPCON,CONS
2Q2562,"2,002.89",0.00,-70.96,52.61,0.04,0.51,0.86,91.40,7.73,2.63,0.66,-370.35,2.52,"4,032.00",7.41,0.72,3.49,5.17,8.52,SYNTEC,SET,PROPCON,CONS
3Q2562,"2,317.83",150.00,11.11,140.35,0.10,1.36,2.27,93.34,5.92,6.06,0.68,-423.27,2.02,"3,232.00",8.37,0.58,3.50,6.45,6.99,SYNTEC,SET,PROPCON,CONS
4Q2562,"2,240.40",,,-3.19,0.00,-0.03,-0.05,90.29,6.31,-0.14,0.64,-359.19,1.88,"3,008.00",7.53,0.53,3.53,6.93,7.45,SYNTEC,SET,PROPCON,CONS
1Q2563,"2,102.43",,25.00,71.87,0.05,0.69,1.16,92.97,6.48,3.42,0.74,-368.28,1.00,"1,600.00",,,,9.00,5.52,SYNTEC,SET,PROPCON,CONS
2Q2563,"1,813.22",-40.00,-25.00,19.73,0.03,0.19,0.32,90.56,8.18,1.09,0.70,-375.38,1.51,"2,416.00",7.69,0.43,3.48,5.96,6.63,SYNTEC,SET,PROPCON,CONS
3Q2563,"1,909.57",-66.67,-90.00,5.37,0.01,0.05,0.09,95.63,3.55,0.28,0.70,-438.25,1.36,"2,176.00",7.64,0.39,3.52,6.62,9.00,SYNTEC,SET,PROPCON,CONS
4Q2563,"2,161.22",500.00,,86.82,0.06,0.83,1.42,97.23,2.57,4.02,0.72,-613.38,1.46,"2,336.00",15.02,0.42,3.47,6.16,8.63,SYNTEC,SET,PROPCON,CONS
1Q2564,"1,596.20",-50.00,-40.00,40.31,0.03,0.38,0.65,93.28,6.37,2.53,0.66,-714.67,2.06,"3,296.00",13.67,0.59,3.52,3.88,10.86,SYNTEC,SET,PROPCON,CONS
2Q2564,"1,500.66",0.00,0.00,19.54,0.03,0.19,0.31,92.02,6.58,1.30,0.66,-828.74,2.08,"3,328.00",15.74,0.58,3.57,3.85,11.32,SYNTEC,SET,PROPCON,CONS
3Q2564,"1,033.14",,,-53.72,-0.03,-0.53,-0.87,89.47,10.10,-5.20,0.64,-695.00,1.98,"3,168.00",15.27,0.56,3.52,4.04,12.73,SYNTEC,SET,PROPCON,CONS
4Q2564,"1,180.05",,-23.33,57.79,0.05,0.58,0.94,88.72,7.52,4.90,0.60,-517.90,1.95,"3,120.00",20.25,0.56,3.49,4.10,14.06,SYNTEC,SET,PROPCON,CONS
1Q2565,945.50,,,-83.01,-0.05,-0.83,-1.36,89.22,9.66,-8.78,0.65,-419.33,1.92,"3,072.00",,,,3.12,20.72,SYNTEC,SET,PROPCON,CONS
2Q2565,902.12,-120.00,,-195.72,-0.11,-1.96,-3.27,88.40,10.61,-21.70,0.68,-340.88,1.71,"2,768.00",N/A,0.50,3.47,3.45,69.35,SYNTEC,SET,PROPCON,CONS
3Q2565,"1,695.82",,,7.25,0.01,0.07,0.12,92.32,7.19,0.43,0.68,-302.08,1.59,"2,577.35",N/A,0.48,3.36,3.70,52.85,SYNTEC,SET,PROPCON,CONS
