,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,2.27,-33.50,,,,,,,,TACC,mai,AGRO,-
3Q2558,745.42,,,54.29,0.21,17.75,49.87,78.46,21.34,7.28,1.50,-41.90,,,,,,,,TACC,mai,AGRO,-
4Q2558,260.94,-98.47,,13.67,0.00,2.41,3.66,75.60,24.23,5.24,0.31,-55.49,4.98,"3,027.84",40.09,0.00,0.00,0.00,16.07,TACC,mai,AGRO,-
1Q2559,284.46,"1,161.83",,23.92,0.04,2.88,3.81,79.23,20.34,8.41,0.34,-69.40,6.20,"3,769.60",55.47,6.13,1.01,0.65,18.84,TACC,mai,AGRO,-
2Q2559,298.37,0.00,,27.08,0.04,3.14,4.23,79.60,19.77,9.08,0.35,-113.35,5.90,"3,587.20",47.50,5.61,1.05,0.68,22.22,TACC,mai,AGRO,-
3Q2559,292.95,0.95,-80.48,22.19,0.04,2.56,3.50,77.84,21.51,7.58,0.39,-172.87,9.05,"5,502.40",68.78,8.57,1.06,0.44,46.14,TACC,mai,AGRO,-
4Q2559,308.16,16.64,"1,385.80",28.64,0.05,3.17,4.46,80.96,18.41,9.29,0.42,-205.71,9.45,"5,745.60",66.15,9.16,1.03,0.42,42.01,TACC,mai,AGRO,-
1Q2560,287.08,-15.07,0.00,25.82,0.04,2.80,3.86,77.16,21.53,9.00,0.34,-195.56,8.55,"5,198.40",51.05,7.92,1.08,1.64,37.54,TACC,mai,AGRO,-
2Q2560,331.51,25.00,25.00,31.14,0.05,3.41,4.63,79.04,20.44,9.39,0.37,-183.84,6.35,"3,860.80",37.22,5.66,1.12,2.20,27.20,TACC,mai,AGRO,-
3Q2560,309.46,-19.86,-0.77,22.11,0.04,2.46,3.41,78.50,21.12,7.14,0.41,-173.07,6.40,"3,891.20",36.10,5.86,1.09,2.19,27.29,TACC,mai,AGRO,-
4Q2560,361.43,37.06,16.60,33.39,0.05,3.64,5.15,83.11,16.58,9.24,0.42,-157.08,5.25,"3,192.00",29.63,5.05,1.04,2.67,21.45,TACC,mai,AGRO,-
1Q2561,283.29,-53.51,-36.18,15.52,0.03,1.66,2.31,80.49,19.07,5.48,0.35,-159.81,4.82,"2,930.56",26.06,4.41,1.09,3.73,21.25,TACC,mai,AGRO,-
2Q2561,328.59,35.02,-31.06,21.43,0.03,2.40,3.22,76.72,22.05,6.52,0.33,-146.05,4.10,"2,492.80",24.40,3.66,1.12,4.39,19.62,TACC,mai,AGRO,-
3Q2561,313.26,7.19,-7.79,21.99,0.04,2.50,3.39,78.19,21.58,7.02,0.39,-147.08,4.16,"2,529.28",27.36,3.89,1.07,4.33,20.12,TACC,mai,AGRO,-
4Q2561,370.45,-57.94,-71.70,9.45,0.02,1.02,1.45,76.46,23.55,2.55,0.46,-133.81,2.52,"1,532.16",16.59,2.37,1.07,7.14,15.73,TACC,mai,AGRO,-
1Q2562,354.71,253.93,115.43,33.44,0.06,3.50,4.96,82.17,17.34,9.43,0.37,-134.12,3.80,"2,310.40",33.78,3.52,1.08,3.42,18.54,TACC,mai,AGRO,-
2Q2562,404.18,27.35,103.19,42.58,0.07,4.45,6.22,80.95,18.59,10.54,0.42,-156.89,4.98,"3,027.84",35.08,4.38,1.14,2.61,20.69,TACC,mai,AGRO,-
1Q2563,329.20,-8.45,27.51,42.64,0.07,4.13,6.39,80.68,19.01,12.95,0.68,-126.15,3.00,"1,824.00",11.25,2.61,1.15,8.00,9.31,TACC,mai,AGRO,-
2Q2563,322.60,12.05,12.19,47.77,0.08,4.60,7.03,84.61,15.03,14.81,0.39,-119.23,4.76,"2,894.08",16.90,4.41,1.08,5.04,12.47,TACC,mai,AGRO,-
3Q2563,345.79,-2.21,18.29,46.72,0.08,4.80,6.79,83.86,15.95,13.51,0.45,-182.44,6.70,"4,073.60",23.08,5.79,1.16,3.58,16.96,TACC,mai,AGRO,-
4Q2563,321.14,9.70,10.04,51.24,0.08,5.17,7.35,85.01,14.63,15.96,0.40,-258.63,6.10,"3,708.80",20.40,5.52,1.10,3.93,14.65,TACC,mai,AGRO,-
1Q2564,325.90,-8.90,9.50,46.69,0.08,4.52,6.26,81.10,18.70,14.33,0.37,-221.89,7.95,"4,833.60",25.66,6.69,1.19,3.77,18.76,TACC,mai,AGRO,-
2Q2564,353.96,16.94,14.28,54.59,0.09,5.26,7.33,79.63,19.79,15.42,0.42,-214.65,6.95,"4,225.60",21.96,5.49,1.27,4.32,15.89,TACC,mai,AGRO,-
3Q2564,311.21,3.01,20.38,56.24,0.09,5.63,8.00,81.76,17.81,18.07,0.42,-204.39,7.35,"4,468.80",22.51,6.21,1.18,4.08,15.92,TACC,mai,AGRO,-
1Q2565,338.99,7.54,29.54,60.48,0.10,5.82,8.12,82.81,16.70,17.84,0.37,-177.68,7.50,"4,560.00",21.28,6.14,1.22,4.40,15.88,TACC,mai,AGRO,-
2Q2565,385.53,13.66,25.90,68.74,0.11,6.27,8.77,84.25,15.61,17.83,0.42,-192.03,6.70,"4,073.60",17.89,5.08,1.32,4.93,13.01,TACC,mai,AGRO,-
3Q2565,383.54,-9.07,11.15,62.51,0.10,5.79,8.41,83.48,16.00,16.30,0.48,-212.65,6.70,"4,134.40",17.07,5.43,1.25,4.85,12.95,TACC,mai,AGRO,-
