,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,117.93,-48.24,-47.16,6.58,0.07,1.22,2.58,79.23,20.71,5.58,1.10,63.84,3.20,295.12,7.41,1.15,2.78,7.81,5.26,TAPAC,mai,PROPCON,-
2Q2555,150.86,103.62,60.16,13.35,0.14,2.50,5.31,84.75,15.14,8.85,1.15,57.58,3.12,289.81,8.51,1.15,2.71,7.96,5.03,TAPAC,mai,PROPCON,-
3Q2555,162.16,31.50,158.76,17.53,0.19,3.13,6.89,86.07,13.67,10.81,1.25,58.46,3.28,304.67,7.79,1.23,2.67,7.57,4.74,TAPAC,mai,PROPCON,-
4Q2555,142.52,-46.79,-26.26,9.45,0.10,1.63,3.54,84.46,15.38,6.63,1.09,65.36,3.88,360.40,7.22,1.40,2.77,6.40,5.03,TAPAC,mai,PROPCON,-
1Q2556,114.74,,,-1.41,-0.02,-0.25,-0.51,81.38,18.30,-1.22,1.00,69.75,4.04,386.57,8.28,1.42,2.86,6.62,5.33,TAPAC,mai,PROPCON,-
2Q2556,123.92,-44.65,,-2.13,-0.02,-0.38,-0.77,81.78,18.08,-1.72,1.05,79.85,3.40,336.22,8.69,1.20,2.82,7.61,5.75,TAPAC,mai,PROPCON,-
3Q2556,138.81,,-58.92,7.99,0.08,1.28,2.52,83.78,16.01,5.75,0.92,89.92,2.50,344.34,14.84,1.26,2.61,7.43,6.34,TAPAC,mai,PROPCON,-
4Q2556,157.81,33.19,2.83,14.26,0.10,2.05,3.91,84.71,14.96,9.04,0.89,78.54,2.24,339.39,24.89,0.95,2.36,7.54,6.59,TAPAC,mai,PROPCON,-
1Q2557,139.02,-86.87,,2.02,0.01,0.28,0.54,81.61,18.22,1.45,1.02,71.34,2.32,351.51,19.05,0.95,2.44,7.28,6.89,TAPAC,mai,PROPCON,-
2Q2557,149.45,-17.11,,1.70,0.01,0.21,0.46,82.83,17.11,1.14,1.29,72.60,2.16,327.26,14.89,0.87,2.47,5.10,7.44,TAPAC,mai,PROPCON,-
3Q2557,179.99,976.33,56.00,18.50,0.12,2.13,4.98,85.70,13.87,10.28,1.38,42.80,2.28,345.45,13.36,0.96,2.38,4.83,7.44,TAPAC,mai,PROPCON,-
4Q2557,181.56,-41.84,-31.88,10.75,0.07,1.18,2.80,83.06,14.57,5.92,1.35,26.58,3.12,472.79,13.04,1.25,2.50,3.53,8.23,TAPAC,mai,PROPCON,-
1Q2558,175.01,1.69,427.65,10.84,0.07,1.18,2.77,84.15,15.51,6.19,1.34,13.88,3.18,481.89,14.71,1.26,2.53,3.77,7.32,TAPAC,mai,PROPCON,-
2Q2558,167.33,-86.14,-11.74,1.53,0.01,0.17,0.39,82.21,17.58,0.92,1.40,5.51,3.90,591.97,14.25,1.50,2.60,3.07,7.79,TAPAC,mai,PROPCON,-
3Q2558,178.77,383.77,-60.33,7.35,0.05,0.80,1.90,85.02,14.84,4.11,1.37,26.10,6.30,956.25,23.13,2.49,2.53,1.90,10.84,TAPAC,mai,PROPCON,-
4Q2558,168.40,-3.02,-33.85,7.16,0.05,0.76,1.80,84.66,15.20,4.25,1.38,42.13,14.50,"2,200.90",72.63,5.70,2.54,0.83,20.93,TAPAC,mai,PROPCON,-
