,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"4,298.31",50.00,50.00,205.54,0.33,1.98,3.83,96.12,3.56,4.78,1.25,"1,133.46",15.80,"9,238.48",9.14,1.76,8.99,6.33,7.38,TCCC,SET,INDUS,PETRO
2Q2555,"7,229.62",215.15,36.84,616.43,1.04,5.32,11.27,97.54,2.11,8.53,1.00,"1,186.64",15.70,"9,180.01",8.51,1.89,8.32,6.37,6.35,TCCC,SET,INDUS,PETRO
3Q2555,"6,900.11",-28.85,39.62,438.76,0.74,3.91,7.33,97.21,2.53,6.36,0.76,969.87,20.80,"12,162.05",9.79,2.22,9.36,4.81,6.89,TCCC,SET,INDUS,PETRO
4Q2555,"3,917.09",-45.95,81.82,236.51,0.40,2.25,3.74,93.21,5.91,6.04,0.57,"1,074.35",21.80,"12,746.77",9.37,2.16,10.10,4.59,6.35,TCCC,SET,INDUS,PETRO
1Q2556,"4,497.48",7.50,30.30,260.30,0.43,2.36,4.23,94.00,5.72,5.79,1.04,959.74,22.50,"13,156.07",8.97,2.14,10.50,6.22,7.50,TCCC,SET,INDUS,PETRO
2Q2556,"6,996.89",232.56,37.50,841.34,1.43,7.10,13.43,96.38,3.23,12.02,0.76,903.23,22.90,"13,389.95",8.78,2.42,9.46,6.11,6.32,TCCC,SET,INDUS,PETRO
3Q2556,"6,967.45",5.95,104.75,895.46,1.52,7.71,12.57,96.35,3.39,12.85,0.52,881.95,26.00,"15,202.57",8.68,2.39,10.89,5.38,4.98,TCCC,SET,INDUS,PETRO
4Q2556,"4,003.84",-68.00,21.22,280.59,0.48,2.43,3.64,91.66,7.28,7.01,0.48,702.18,30.25,"17,687.60",8.01,2.44,12.40,4.63,5.35,TCCC,SET,INDUS,PETRO
1Q2557,"4,042.16",21.68,37.21,347.90,0.59,2.75,4.71,94.97,4.33,8.61,0.97,680.67,25.50,"14,910.21",6.62,1.98,12.88,8.63,5.47,TCCC,SET,INDUS,PETRO
2Q2557,"6,213.47",89.83,-21.68,663.84,1.12,5.22,9.17,95.86,3.61,10.68,0.56,678.52,28.25,"16,518.17",7.05,2.51,11.27,7.79,6.09,TCCC,SET,INDUS,PETRO
3Q2557,"7,640.97",23.21,-8.92,820.11,1.38,6.75,10.29,96.54,3.15,10.73,0.50,626.15,29.75,"17,395.24",8.03,2.40,12.39,7.39,5.78,TCCC,SET,INDUS,PETRO
4Q2557,"3,731.83",-81.39,-47.02,151.99,0.26,1.22,1.80,92.69,6.14,4.07,0.45,741.79,28.50,"16,664.35",7.99,2.07,13.77,7.72,5.86,TCCC,SET,INDUS,PETRO
1Q2558,"1,758.09",-32.22,-70.49,120.12,0.17,0.96,1.52,91.96,6.63,6.83,0.73,803.94,27.75,"16,225.82",8.29,1.98,14.02,8.29,7.60,TCCC,SET,INDUS,PETRO
2Q2558,"4,176.09",459.77,-12.99,572.89,0.97,5.05,7.69,96.16,3.28,13.72,0.32,842.80,24.40,"14,267.02",8.32,2.05,11.90,9.43,5.91,TCCC,SET,INDUS,PETRO
3Q2558,"4,594.53",0.47,-29.05,574.99,0.98,5.68,7.28,94.92,4.71,12.51,0.24,955.56,25.25,"14,764.03",9.07,1.96,12.87,9.11,6.27,TCCC,SET,INDUS,PETRO
4Q2558,"2,164.05",-78.93,-19.69,123.11,0.21,1.25,1.49,90.01,8.77,5.69,0.16,962.57,25.50,"14,910.21",10.71,1.84,13.85,9.02,5.96,TCCC,SET,INDUS,PETRO
1Q2559,"1,619.98",-7.90,9.13,111.91,0.19,1.13,1.41,92.32,6.65,6.91,0.34,846.00,23.70,"13,857.72",10.15,1.69,14.06,6.33,6.38,TCCC,SET,INDUS,PETRO
2Q2559,"3,898.83",468.42,10.82,635.14,1.08,6.17,8.09,95.06,4.30,16.29,0.28,594.88,23.30,"13,623.84",9.93,1.83,12.75,6.44,6.07,TCCC,SET,INDUS,PETRO
3Q2559,"4,986.78",64.81,81.79,"1,044.08",1.78,9.59,12.02,95.46,3.89,20.94,0.23,512.37,29.25,"17,102.89",11.92,2.12,13.83,5.13,5.49,TCCC,SET,INDUS,PETRO
4Q2559,"2,174.44",-49.83,332.88,524.91,0.89,4.64,5.54,76.58,8.50,24.14,0.16,472.83,34.50,"20,172.64",10.60,2.21,15.61,4.35,5.14,TCCC,SET,INDUS,PETRO
1Q2560,"2,028.37",-38.41,189.47,322.40,0.55,2.72,3.60,93.35,5.66,15.89,0.52,514.14,49.00,"28,650.99",12.43,2.97,16.51,6.53,8.25,TCCC,SET,INDUS,PETRO
