,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,364.82,,400.63,23.22,0.40,1.15,2.29,90.21,8.71,6.37,0.99,340.71,7.75,490.77,14.63,0.66,11.80,0.00,6.63,TCJ,SET,INDUS,IMM
2Q2555,402.23,-32.05,13.39,19.84,0.27,0.99,1.92,89.32,9.27,4.93,0.89,395.87,7.80,493.93,9.21,0.64,12.20,0.00,6.16,TCJ,SET,INDUS,IMM
3Q2555,437.27,49.81,27.41,39.29,0.41,1.97,3.70,86.12,7.34,8.99,0.87,367.65,9.70,614.25,10.71,0.78,12.47,0.00,6.20,TCJ,SET,INDUS,IMM
4Q2555,413.67,-47.85,,18.42,0.21,0.92,1.69,85.83,10.39,4.45,0.82,339.33,11.90,753.57,11.88,0.92,12.88,0.00,6.09,TCJ,SET,INDUS,IMM
1Q2556,311.18,62.93,-13.51,21.85,0.35,1.09,1.96,81.53,10.89,7.02,0.77,299.29,14.90,943.54,11.52,1.14,13.09,0.34,6.69,TCJ,SET,INDUS,IMM
2Q2556,397.95,-26.76,-6.78,22.76,0.25,1.01,1.76,88.09,11.70,5.72,0.73,239.54,15.50,"1,326.67",16.91,1.55,13.28,0.24,7.51,TCJ,SET,INDUS,IMM
3Q2556,381.32,45.80,-9.27,31.90,0.37,1.28,2.18,90.69,7.42,8.36,0.68,305.77,11.90,"1,018.54",12.94,0.87,13.71,0.31,6.62,TCJ,SET,INDUS,IMM
4Q2556,351.81,-75.67,-57.67,4.36,0.09,0.17,0.29,85.23,12.37,1.24,0.71,358.55,11.80,"1,009.98",11.95,0.84,14.00,0.31,7.23,TCJ,SET,INDUS,IMM
1Q2557,326.09,133.33,-39.38,16.10,0.21,0.62,1.08,87.24,11.19,4.94,0.76,378.75,10.10,864.47,10.74,0.71,14.16,0.00,7.19,TCJ,SET,INDUS,IMM
2Q2557,514.68,14.29,-5.40,20.94,0.24,0.78,1.38,90.54,6.93,4.07,0.81,373.83,12.50,"1,069.89",13.91,0.87,14.38,0.00,8.45,TCJ,SET,INDUS,IMM
3Q2557,392.01,8.33,-29.71,26.90,0.26,0.97,1.75,87.21,9.29,6.86,0.80,345.98,14.30,"1,223.96",15.33,0.98,14.62,0.00,9.23,TCJ,SET,INDUS,IMM
4Q2557,361.27,-65.38,0.00,4.96,0.09,0.18,0.32,85.70,11.93,1.37,0.83,317.40,11.40,975.74,13.83,0.77,14.88,0.00,8.20,TCJ,SET,INDUS,IMM
1Q2558,333.44,122.22,-4.76,17.51,0.20,0.61,1.12,87.17,11.03,5.25,0.82,277.29,12.00,"1,027.10",14.97,0.80,14.97,0.42,8.38,TCJ,SET,INDUS,IMM
2Q2558,360.04,-40.00,-50.00,12.52,0.12,0.43,0.79,85.08,12.76,3.48,0.86,280.86,11.80,"1,035.22",15.42,0.80,14.80,0.41,9.05,TCJ,SET,INDUS,IMM
3Q2558,496.00,75.00,-19.23,17.07,0.21,0.57,1.07,88.52,10.67,3.44,0.90,220.25,10.70,938.72,16.10,0.72,14.88,0.46,9.06,TCJ,SET,INDUS,IMM
4Q2558,329.89,-80.95,-55.56,3.20,0.04,0.11,0.20,83.33,14.41,0.97,0.87,215.06,9.75,855.38,15.87,0.65,15.09,0.50,8.90,TCJ,SET,INDUS,IMM
1Q2559,281.31,-50.00,-90.00,0.49,0.02,0.02,0.03,83.50,14.95,0.17,0.94,209.43,7.90,693.07,13.88,0.52,15.12,0.00,9.15,TCJ,SET,INDUS,IMM
2Q2559,337.17,300.00,-33.33,11.70,0.08,0.37,0.73,83.81,12.82,3.47,0.96,205.43,11.00,965.36,27.56,0.73,15.14,0.00,10.57,TCJ,SET,INDUS,IMM
