,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,233.97,60.53,56.41,7.81,0.61,1.24,1.79,94.23,5.25,3.34,0.47,"1,351.67",15.80,165.90,13.01,0.41,38.55,3.16,7.02,TCOAT,SET,INDUS,PKG
2Q2555,208.62,-55.74,3.85,3.11,0.27,0.49,0.71,94.12,5.98,1.49,0.42,"1,417.49",0.00,169.05,11.21,0.41,39.16,3.11,6.77,TCOAT,SET,INDUS,PKG
3Q2555,166.92,51.85,127.78,5.30,0.41,0.88,1.20,92.80,6.48,3.17,0.32,"1,437.81",17.40,182.70,12.05,0.45,38.93,2.87,5.89,TCOAT,SET,INDUS,PKG
4Q2555,190.15,24.39,34.21,6.01,0.51,0.97,1.35,93.59,6.08,3.16,0.47,"1,488.95",17.50,183.75,10.47,0.44,39.34,2.86,7.42,TCOAT,SET,INDUS,PKG
1Q2556,245.58,-11.76,-26.23,5.13,0.45,0.75,1.13,94.85,4.52,2.09,0.53,"1,533.05",21.40,224.70,11.92,0.54,39.84,2.34,8.41,TCOAT,SET,INDUS,PKG
2Q2556,195.84,11.11,85.19,5.40,0.50,0.81,1.18,94.29,5.73,2.76,0.37,"1,468.38",18.10,190.05,11.04,0.45,40.60,2.76,6.00,TCOAT,SET,INDUS,PKG
3Q2556,182.63,4.93,27.97,5.62,0.52,0.91,1.22,93.33,6.11,3.08,0.32,"1,399.78",18.40,193.20,9.83,0.45,40.60,2.72,5.95,TCOAT,SET,INDUS,PKG
4Q2556,211.57,-36.09,-34.25,3.54,0.34,0.56,0.76,91.27,7.66,1.68,0.42,"1,237.92",20.00,210.00,10.10,0.49,41.12,2.50,7.52,TCOAT,SET,INDUS,PKG
1Q2557,224.53,-67.51,-75.79,0.29,0.11,0.05,0.06,94.79,5.18,0.13,0.38,"1,130.95",0.00,205.80,10.85,0.47,41.45,3.32,7.63,TCOAT,SET,INDUS,PKG
2Q2557,212.14,131.30,-49.60,2.71,0.25,0.42,0.58,93.51,5.94,1.28,0.40,"1,052.83",22.00,231.00,15.06,0.53,41.56,2.95,9.13,TCOAT,SET,INDUS,PKG
