,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,0.14,4.30,,,,,,,,TFMAMA,SET,AGRO,FOOD
1Q2561,"5,291.43",,,928.40,2.09,3.11,3.55,80.92,16.85,17.55,0.14,11.10,181.50,"59,841.28",20.97,3.01,60.29,0.90,8.89,TFMAMA,SET,AGRO,FOOD
2Q2561,"5,643.02",22.97,,"1,081.96",2.57,3.56,4.06,81.96,16.19,19.17,0.14,10.66,151.50,"49,950.16",17.46,2.43,62.29,1.08,5.99,TFMAMA,SET,AGRO,FOOD
3Q2561,"5,804.73",4.67,,"1,147.35",2.69,3.68,4.26,83.18,15.06,19.77,0.18,9.00,160.00,"52,752.64",17.41,2.54,62.91,1.02,5.29,TFMAMA,SET,AGRO,FOOD
4Q2561,"6,127.58",10.78,,"1,184.81",2.98,3.78,4.39,82.81,15.48,19.34,0.15,11.54,160.00,"52,752.64",16.73,2.51,63.82,1.02,8.57,TFMAMA,SET,AGRO,FOOD
1Q2562,"5,735.31",-11.74,25.84,"1,096.32",2.63,3.50,4.00,82.11,15.83,19.12,0.14,7.16,160.50,"52,917.49",15.54,2.53,63.39,2.44,8.46,TFMAMA,SET,AGRO,FOOD
2Q2562,"6,059.40",12.17,14.79,"1,310.91",2.95,4.06,4.66,80.67,17.13,21.63,0.15,13.38,175.00,"57,698.20",16.11,2.65,66.12,2.24,8.90,TFMAMA,SET,AGRO,FOOD
3Q2562,"6,407.39",9.49,20.07,"1,397.43",3.23,4.21,4.89,83.37,14.62,21.81,0.17,19.81,180.50,"59,511.57",16.04,2.69,67.08,2.17,8.76,TFMAMA,SET,AGRO,FOOD
4Q2562,"6,316.26",-2.48,5.70,"1,338.75",3.15,3.94,4.55,82.88,14.92,21.20,0.14,23.65,183.00,"60,335.83",15.54,2.69,67.99,2.14,8.64,TFMAMA,SET,AGRO,FOOD
1Q2563,"6,052.28",-3.17,15.97,"1,306.31",3.05,3.74,4.25,82.63,15.04,21.58,0.13,27.28,189.00,"62,314.06",,,,2.36,8.49,TFMAMA,SET,AGRO,FOOD
2Q2563,"6,325.09",13.44,17.29,"1,450.62",3.46,4.06,4.58,83.43,14.36,22.93,0.12,36.25,198.00,"65,281.39",15.99,2.67,74.15,2.25,8.76,TFMAMA,SET,AGRO,FOOD
3Q2563,"5,864.82",-13.29,-7.12,"1,271.70",3.00,3.50,3.97,82.46,15.25,21.68,0.15,42.16,197.50,"65,116.54",15.32,2.62,75.51,2.26,8.84,TFMAMA,SET,AGRO,FOOD
4Q2563,"5,596.35",-3.33,-7.94,"1,223.50",2.90,3.30,3.74,86.75,16.05,21.86,0.12,41.68,192.50,"63,468.02",15.20,2.54,75.66,2.32,9.22,TFMAMA,SET,AGRO,FOOD
1Q2564,"5,915.98",-11.62,-15.96,"1,086.54",2.56,2.86,3.20,81.48,16.41,18.37,0.12,39.29,193.00,"63,632.87",15.56,2.45,78.78,2.47,9.56,TFMAMA,SET,AGRO,FOOD
2Q2564,"5,951.68",3.88,-23.04,"1,160.68",2.66,3.01,3.36,81.59,15.29,19.50,0.12,35.54,190.00,"62,643.76",15.94,2.34,81.36,2.51,9.76,TFMAMA,SET,AGRO,FOOD
3Q2564,"6,570.20",12.12,-0.48,"1,320.40",2.99,3.35,3.78,82.45,15.19,20.10,0.14,29.83,193.50,"63,797.73",17.40,2.36,82.05,2.47,9.87,TFMAMA,SET,AGRO,FOOD
1Q2565,"6,316.62",-38.16,-27.97,876.31,1.85,2.15,2.43,81.87,15.59,13.87,0.12,46.35,208.00,"68,578.43",,,,1.96,10.83,TFMAMA,SET,AGRO,FOOD
2Q2565,"6,697.51",-8.63,-36.64,821.75,1.69,1.98,2.23,81.93,15.70,12.27,0.12,47.66,200.00,"66,270.51",19.85,2.31,87.16,2.03,11.06,TFMAMA,SET,AGRO,FOOD
3Q2565,"7,080.33",41.98,-19.77,"1,123.68",2.40,2.70,3.04,83.86,13.68,15.87,0.13,52.07,200.00,"65,940.80",21.86,2.31,86.52,2.04,11.01,TFMAMA,SET,AGRO,FOOD
