,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,144.36,-4.12,,-17.68,-0.07,-1.27,-4.78,74.54,24.90,-12.25,2.85,"2,278.93",1.67,417.50,45.30,1.10,1.52,4.79,372.70,THANA,mai,PROPCON,-
2Q2555,203.18,,-87.72,2.07,0.01,0.15,0.57,79.40,18.24,1.02,2.72,"2,549.77",1.47,367.79,N/A,1.02,1.44,5.44,-156.21,THANA,mai,PROPCON,-
3Q2555,163.17,,-2.08,-8.58,-0.03,-0.63,-2.39,76.90,22.41,-5.26,2.91,"2,687.46",1.74,435.34,N/A,1.20,1.45,4.59,-249.09,THANA,mai,PROPCON,-
4Q2555,220.39,,,6.81,0.03,0.50,1.90,82.39,17.52,3.09,2.73,"2,572.29",0.00,425.79,N/A,1.20,1.42,4.70,64.53,THANA,mai,PROPCON,-
1Q2556,168.09,-22.43,,5.27,0.02,0.40,1.44,79.79,19.94,3.14,2.52,"2,699.57",1.95,488.40,N/A,1.35,1.45,0.00,33.58,THANA,mai,PROPCON,-
2Q2556,271.14,292.89,898.80,20.82,0.08,1.65,5.45,84.29,15.35,7.68,2.10,"2,520.69",1.75,438.83,78.65,1.18,1.48,0.00,19.55,THANA,mai,PROPCON,-
3Q2556,156.91,-69.84,,6.24,0.03,0.51,1.58,77.20,22.65,3.97,2.05,"2,439.80",2.00,501.52,20.62,1.28,1.56,0.00,16.33,THANA,mai,PROPCON,-
4Q2556,133.27,-32.00,-37.50,4.29,0.02,0.35,1.06,60.93,38.71,3.22,2.08,"2,122.73",1.98,497.28,12.70,1.25,1.59,0.00,17.44,THANA,mai,PROPCON,-
1Q2557,98.62,,,-7.51,-0.03,-0.57,-1.86,65.22,34.77,-7.62,2.50,"2,077.58",1.80,452.07,12.34,1.11,1.63,0.00,24.21,THANA,mai,PROPCON,-
2Q2557,190.47,,-62.85,7.74,0.03,0.56,1.91,79.10,20.82,4.06,2.37,"2,193.45",1.90,478.08,20.06,1.19,1.60,0.00,33.24,THANA,mai,PROPCON,-
3Q2557,150.97,-94.81,-93.60,0.41,0.00,0.03,0.10,74.15,25.82,0.27,2.25,"2,227.35",4.10,"1,031.64",95.91,2.52,1.63,0.00,50.11,THANA,mai,PROPCON,-
4Q2557,221.22,"1,493.75",50.00,6.52,0.03,0.50,1.56,75.74,23.90,2.95,2.00,"2,235.99",3.08,779.89,158.31,1.90,1.63,0.00,36.72,THANA,mai,PROPCON,-
1Q2558,145.04,,-92.31,-14.64,-0.06,-1.10,-3.44,62.75,37.18,-10.09,2.24,"2,007.64",3.40,860.92,118.20,2.06,1.65,0.00,44.20,THANA,mai,PROPCON,-
2Q2558,287.41,,163.64,20.28,0.08,1.53,4.61,78.09,21.68,7.06,1.81,"1,783.90",3.08,779.89,"3,224.30",1.93,1.59,0.00,24.76,THANA,mai,PROPCON,-
3Q2558,210.28,-72.29,"1,306.25",6.06,0.02,0.48,1.32,68.18,28.36,2.88,1.75,"1,618.00",2.68,678.61,51.98,1.60,1.68,0.00,21.83,THANA,mai,PROPCON,-
4Q2558,204.66,-3.11,-14.51,3.89,0.02,0.31,0.84,76.15,25.44,1.90,1.66,"1,623.41",1.83,463.38,23.09,1.08,1.70,0.00,19.55,THANA,mai,PROPCON,-
1Q2559,206.55,16.06,,4.85,0.03,0.37,1.04,72.24,27.64,2.35,1.97,,2.12,536.81,31.02,1.23,1.72,3.77,17.73,THANA,mai,PROPCON,-
2Q2559,136.78,,,-6.50,-0.02,-0.46,-1.42,60.00,38.57,-4.75,2.22,,1.87,473.51,12.38,1.07,1.74,4.28,38.66,THANA,mai,PROPCON,-
3Q2559,218.48,,27.56,8.33,0.03,0.58,1.86,74.23,25.70,3.81,2.24,,1.70,430.46,35.04,1.04,1.64,4.71,34.55,THANA,mai,PROPCON,-
4Q2559,228.29,26.83,66.97,8.94,0.04,0.61,1.96,76.89,22.81,3.91,2.19,,1.74,440.59,36.24,1.04,1.67,4.60,31.00,THANA,mai,PROPCON,-
1Q2560,268.19,79.95,158.89,15.65,0.07,1.09,3.34,77.85,22.09,5.83,1.96,"1,948.79",1.83,463.38,26.41,1.07,1.71,0.00,22.99,THANA,mai,PROPCON,-
2Q2560,178.23,-92.52,,1.92,0.00,0.14,0.40,70.66,29.02,1.08,1.80,"1,933.66",2.84,719.12,25.92,1.60,1.77,0.00,22.10,THANA,mai,PROPCON,-
3Q2560,215.45,981.63,84.67,14.31,0.05,1.10,2.95,73.00,23.61,6.64,1.56,"1,913.13",2.78,703.93,20.46,1.56,1.78,0.00,18.60,THANA,mai,PROPCON,-
4Q2560,174.88,-80.72,-71.92,1.62,0.01,0.13,0.33,72.00,27.79,0.92,1.39,"1,837.39",2.30,582.39,14.37,1.26,1.83,0.00,18.03,THANA,mai,PROPCON,-
1Q2561,149.36,,,-2.26,-0.00,-0.19,-0.46,68.30,31.08,-1.51,1.34,"1,806.18",2.02,511.49,15.12,1.10,1.83,0.00,24.60,THANA,mai,PROPCON,-
2Q2561,147.39,,120.41,1.52,0.01,0.14,0.31,71.19,28.58,1.03,1.22,"1,774.87",2.00,506.42,31.36,1.09,1.83,0.00,23.77,THANA,mai,PROPCON,-
3Q2561,132.09,,,-8.48,-0.03,-0.80,-1.74,67.16,32.47,-6.42,1.12,"1,746.78",2.76,698.87,39.60,1.50,1.84,0.00,74.00,THANA,mai,PROPCON,-
4Q2561,127.83,-45.19,,-11.94,-0.05,-1.19,-2.50,64.12,35.83,-9.34,1.08,"1,666.26",1.97,498.83,N/A,1.09,1.81,0.00,"-1,488.31",THANA,mai,PROPCON,-
1Q2562,137.54,,,1.05,0.01,0.11,0.22,71.41,28.44,0.76,0.98,"1,628.71",2.18,552.00,N/A,1.24,1.76,0.00,310.04,THANA,mai,PROPCON,-
2Q2562,50.65,,,-21.20,-0.08,-2.29,-4.59,33.29,66.54,-41.85,1.03,"1,624.11",1.95,493.76,N/A,1.10,1.77,0.00,-37.20,THANA,mai,PROPCON,-
3Q2562,130.39,28.18,-84.62,-15.92,-0.06,-1.82,-3.59,69.12,30.81,-12.21,0.92,"1,538.76",1.69,427.93,N/A,1.00,1.69,0.00,-26.57,THANA,mai,PROPCON,-
4Q2562,74.91,-88.72,-139.96,-28.63,-0.11,-3.42,-6.80,78.59,20.13,-38.21,1.06,"1,786.34",1.21,306.39,N/A,0.74,1.63,0.00,-19.53,THANA,mai,PROPCON,-
1Q2563,65.96,69.37,,-9.01,-0.03,-1.10,-2.24,58.05,41.06,-13.65,1.01,"1,869.63",0.79,200.04,N/A,0.52,1.52,0.00,-11.94,THANA,mai,PROPCON,-
2Q2563,104.40,33.33,72.32,-8.67,-0.02,-1.13,-2.20,69.03,27.10,-8.31,0.89,"1,828.72",0.00,227.89,N/A,0.60,1.49,0.00,-19.98,THANA,mai,PROPCON,-
3Q2563,130.35,,,5.32,0.02,0.76,1.36,80.77,18.87,4.08,0.69,"1,988.27",0.91,230.42,N/A,0.62,1.47,0.00,-52.33,THANA,mai,PROPCON,-
4Q2563,44.15,,66.70,-9.14,-0.04,-1.38,-2.34,44.55,51.74,-20.70,0.70,"1,759.38",0.88,222.83,N/A,0.59,1.49,0.00,"1,691.66",THANA,mai,PROPCON,-
1Q2564,42.36,80.94,79.28,-2.78,-0.01,-0.38,-0.72,44.35,51.28,-6.56,1.12,"1,921.74",1.58,400.07,N/A,1.08,1.46,0.00,173.22,THANA,mai,PROPCON,-
2Q2564,76.51,,,4.51,0.02,0.55,1.17,64.82,30.39,5.90,1.11,"2,114.03",1.57,397.54,N/A,1.08,1.45,0.00,69.66,THANA,mai,PROPCON,-
3Q2564,45.59,,,-9.33,-0.03,-1.09,-2.44,46.13,49.70,-20.45,1.36,"2,374.64",1.37,346.90,275.61,0.93,1.47,0.00,-264.70,THANA,mai,PROPCON,-
1Q2565,150.26,,,16.00,0.07,1.83,3.98,74.98,22.26,10.65,1.00,"2,198.62",3.26,825.47,35.88,2.07,1.57,0.00,48.13,THANA,mai,PROPCON,-
2Q2565,163.95,-17.77,148.14,12.60,0.05,1.50,2.91,78.42,20.50,7.68,0.89,"1,843.31",2.44,622.90,14.97,1.50,1.64,0.00,21.61,THANA,mai,PROPCON,-
3Q2565,154.50,-12.81,,11.00,0.05,1.14,2.51,74.52,24.45,7.12,1.52,"1,792.81",2.54,663.42,13.29,1.54,1.70,0.00,24.60,THANA,mai,PROPCON,-
