,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,283.50,,-25.00,86.93,0.06,0.67,4.01,,,30.66,5.18,,1.64,"2,201.45",10.75,1.04,1.58,4.88,,THANI,SET,FINCIAL,FIN
2Q2555,317.36,16.67,16.67,89.97,0.07,0.62,4.09,,,28.35,5.91,,1.67,"2,241.72",10.39,1.01,1.65,4.79,,THANI,SET,FINCIAL,FIN
3Q2555,364.64,66.23,66.23,153.80,0.12,0.95,6.78,,,42.18,6.33,,2.96,"3,973.36",15.44,1.81,1.63,2.70,,THANI,SET,FINCIAL,FIN
4Q2555,506.68,1.57,,158.65,0.12,0.87,6.54,,,31.31,6.67,,3.94,"5,288.86",15.34,2.25,1.75,2.03,,THANI,SET,FINCIAL,FIN
1Q2556,455.70,26.91,150.00,199.40,0.15,0.97,7.65,,,43.76,7.02,,6.45,"8,658.16",21.23,4.15,1.55,0.39,,THANI,SET,FINCIAL,FIN
2Q2556,510.01,-33.33,42.86,198.23,0.10,0.86,7.11,,,38.87,7.43,,5.85,"9,423.29",15.66,3.48,2.02,0.43,,THANI,SET,FINCIAL,FIN
3Q2556,556.91,30.00,11.72,211.98,0.13,0.84,7.13,,,38.06,7.51,,4.98,"8,021.88",11.30,2.80,1.78,0.50,,THANI,SET,FINCIAL,FIN
4Q2556,769.71,-30.77,-23.85,144.63,0.09,0.54,4.59,,,18.79,7.47,,4.68,"7,538.64",9.81,2.45,1.91,0.53,,THANI,SET,FINCIAL,FIN
1Q2557,652.67,11.11,-33.33,200.66,0.10,0.73,6.04,,,30.74,7.16,,4.04,"6,507.71",10.79,2.52,1.60,0.59,,THANI,SET,FINCIAL,FIN
2Q2557,650.69,-20.00,-20.00,167.32,0.08,0.60,4.80,,,25.71,6.93,,4.10,"8,255.44",10.93,2.41,2.13,0.59,,THANI,SET,FINCIAL,FIN
3Q2557,651.47,25.00,-23.08,192.85,0.10,0.69,5.30,,,29.60,6.48,,3.82,"7,691.66",10.62,2.17,1.76,0.63,,THANI,SET,FINCIAL,FIN
4Q2557,639.58,-30.00,-22.22,143.26,0.07,0.51,3.76,,,22.40,6.18,,3.34,"6,725.17",9.53,1.80,1.86,0.72,,THANI,SET,FINCIAL,FIN
1Q2558,640.05,2.81,-28.03,173.89,0.07,0.62,4.38,,,27.17,5.96,,3.34,"6,725.17",11.46,2.08,1.61,0.75,,THANI,SET,FINCIAL,FIN
