,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,1.03,-57.13,,,,,,,,THG,SET,SERVICE,HELTH
3Q2560,"4,962.83",,,401.37,0.52,3.60,7.60,83.92,14.30,8.09,1.19,1.30,,,,,,,,THG,SET,SERVICE,HELTH
4Q2560,"1,766.22",-61.51,,163.57,0.20,1.27,2.32,81.63,16.75,9.26,0.62,18.25,30.00,"25,472.40",50.73,,0.00,0.00,13.32,THG,SET,SERVICE,HELTH
1Q2561,"1,731.45",-4.77,,160.78,0.19,1.12,1.84,78.58,18.63,9.29,0.67,37.19,34.50,"29,293.26",52.89,3.49,9.90,1.16,13.25,THG,SET,SERVICE,HELTH
2Q2561,"1,716.35",-57.89,,71.87,0.08,0.47,0.82,78.76,18.80,4.19,0.78,103.71,31.25,"26,533.75",42.99,3.10,10.09,1.28,18.81,THG,SET,SERVICE,HELTH
3Q2561,"1,884.50",37.50,-78.78,104.43,0.11,0.64,1.18,80.75,17.61,5.54,0.90,151.60,31.75,"26,958.29",48.25,3.28,9.69,1.26,28.17,THG,SET,SERVICE,HELTH
4Q2561,"1,963.48",-72.73,-84.96,29.60,0.03,0.17,0.34,75.46,20.44,1.51,1.05,153.16,33.00,"28,019.64",57.90,3.34,9.87,1.21,33.28,THG,SET,SERVICE,HELTH
1Q2562,"1,891.63",-66.67,-94.74,11.39,0.01,0.06,0.13,79.01,19.96,0.60,1.13,183.54,31.75,"26,958.29",77.56,3.28,9.68,1.10,38.64,THG,SET,SERVICE,HELTH
2Q2562,"2,338.91","2,532.00",229.00,218.74,0.26,1.14,2.52,71.50,14.38,9.35,1.28,215.00,27.75,"23,561.97",118.81,2.85,9.74,1.26,29.22,THG,SET,SERVICE,HELTH
3Q2562,"2,267.86",-33.97,58.00,149.43,0.17,0.75,1.73,81.65,16.91,6.59,1.32,221.97,23.60,"20,038.29",57.30,2.47,9.55,1.48,24.13,THG,SET,SERVICE,HELTH
4Q2562,"2,150.21",-40.74,243.33,80.21,0.10,0.40,0.92,84.49,13.95,3.73,1.31,291.84,26.75,"22,712.89",56.58,2.77,9.66,1.31,23.59,THG,SET,SERVICE,HELTH
1Q2563,"1,993.77",-5.83,870.00,71.33,0.10,0.35,0.82,78.22,19.10,3.58,1.39,346.66,17.90,"15,198.53",,,,2.23,17.49,THG,SET,SERVICE,HELTH
2Q2563,"1,608.46",,,-145.35,-0.15,-0.70,-1.72,76.86,21.36,-9.04,1.51,416.74,20.00,"16,981.60",31.50,2.06,9.67,2.01,24.13,THG,SET,SERVICE,HELTH
3Q2563,"1,935.47",,-49.23,69.64,0.09,0.34,0.84,81.59,17.23,3.60,1.51,495.01,18.60,"15,792.89",83.95,2.02,9.21,2.16,23.33,THG,SET,SERVICE,HELTH
4Q2563,"1,908.70",-62.60,-67.96,27.21,0.03,0.13,0.33,80.43,18.18,1.43,1.43,521.40,25.75,"21,863.81",190.34,2.77,9.29,1.56,28.80,THG,SET,SERVICE,HELTH
1Q2564,"1,584.14",,,-223.02,-0.25,-1.10,-2.71,76.16,22.71,-14.08,1.49,537.60,26.25,"22,288.35",354.81,2.81,9.36,1.14,34.91,THG,SET,SERVICE,HELTH
2Q2564,"1,946.95",,,72.42,0.10,0.35,0.90,80.33,17.58,3.72,1.58,529.94,27.75,"23,561.97",N/A,3.04,9.13,1.08,28.62,THG,SET,SERVICE,HELTH
3Q2564,"3,880.72",936.84,"1,016.27",833.41,0.98,3.75,9.90,88.39,11.09,21.48,1.69,380.33,32.75,"27,807.37",N/A,3.65,8.97,0.92,20.03,THG,SET,SERVICE,HELTH
4Q2564,"3,563.11",-23.86,"2,172.73",674.02,0.75,2.83,7.30,86.47,12.16,18.92,1.47,231.91,37.25,"31,628.23",42.90,3.72,10.01,0.80,14.89,THG,SET,SERVICE,HELTH
1Q2565,"3,557.99",-17.33,,551.69,0.62,2.35,5.64,86.84,12.37,15.51,1.34,125.74,83.25,"70,551.66",,,,1.08,21.09,THG,SET,SERVICE,HELTH
2Q2565,"2,753.85",-23.94,396.42,412.08,0.47,1.78,4.13,82.49,14.59,14.96,1.30,42.95,60.25,"52,119.25",25.07,5.51,11.16,1.46,14.85,THG,SET,SERVICE,HELTH
3Q2565,"3,169.17",9.71,-47.47,453.16,0.52,1.97,4.43,78.73,14.49,14.30,1.19,91.12,64.00,"54,873.51",22.93,5.74,11.27,1.39,16.55,THG,SET,SERVICE,HELTH
