,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,222.63,,-82.04,12.23,0.02,0.63,-23.59,49.08,49.63,5.50,-42.64,182.95,0.00,348.19,16.17,0.00,-0.17,0.00,15.01,THL,SET,RESOURC,MINE
2Q2555,331.93,,-45.07,-30.04,-0.04,-1.56,49.43,63.00,36.56,-9.05,-26.73,178.64,0.00,348.19,16.17,0.00,-0.17,0.00,16.96,THL,SET,RESOURC,MINE
3Q2555,346.38,,153.42,42.55,0.06,2.18,-78.04,62.12,34.72,12.28,-59.74,169.81,0.00,348.19,16.17,0.00,-0.17,0.00,14.30,THL,SET,RESOURC,MINE
4Q2555,92.85,,-528.94,-255.64,-0.34,-13.72,158.72,-17.71,116.31,-275.33,-7.14,238.86,0.00,348.19,16.17,0.00,-0.17,0.00,360.65,THL,SET,RESOURC,MINE
1Q2556,26.70,88.73,,-31.26,-0.04,-1.77,10.40,-215.88,297.22,-117.11,-6.63,251.54,0.00,348.19,16.17,0.00,-0.17,0.00,-61.34,THL,SET,RESOURC,MINE
2Q2556,14.76,73.51,73.97,-51.47,-0.01,-2.87,15.23,-413.56,490.39,-348.61,-6.04,310.57,0.00,348.19,16.17,0.00,-0.17,0.00,37.98,THL,SET,RESOURC,MINE
4Q2556,46.09,"-4,215.19",-28.82,-251.20,-0.44,-14.14,53.16,-235.00,332.97,-545.04,-3.96,355.55,0.00,348.19,N/A,0.00,-0.48,0.00,-11.75,THL,SET,RESOURC,MINE
4Q2557,95.33,-26.76,-26.76,-442.48,-0.56,-28.31,55.13,-214.06,275.06,-464.16,-2.37,308.24,0.00,348.19,N/A,0.00,-0.94,0.00,-7.94,THL,SET,RESOURC,MINE
3Q2558,252.49,81.47,,-84.22,-0.10,-6.25,7.92,18.48,67.19,-33.36,-2.17,235.16,0.00,,,,-1.51,,,THL,SET,RESOURC,MINE
4Q2558,51.72,47.09,90.20,-46.37,-0.06,-3.59,4.12,-34.14,124.72,-89.64,-2.13,232.12,0.00,,,,-1.60,,,THL,SET,RESOURC,MINE
1Q2559,121.99,99.95,99.92,-190.18,-0.00,-16.05,134.13,20.08,44.63,-155.90,0.25,254.56,0.00,,,,-1.66,,,THL,SET,RESOURC,MINE
2Q2559,18.15,,,14.16,0.00,1.40,1.62,-15.70,169.48,78.03,0.07,396.31,0.00,,,,0.04,,,THL,SET,RESOURC,MINE
3Q2559,73.81,,,-22.13,0.00,-2.37,-2.55,-7.61,38.87,-29.98,0.08,779.92,0.00,,,,0.04,,,THL,SET,RESOURC,MINE
4Q2559,51.11,,,-13.48,0.00,-1.47,-1.58,32.37,58.67,-26.37,0.07,958.87,0.00,,,,0.04,,,THL,SET,RESOURC,MINE
1Q2560,53.04,,,-14.00,,-1.55,-1.67,51.80,47.53,-26.39,0.08,"1,181.82",0.00,,,,0.04,,,THL,SET,RESOURC,MINE
