,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,645.57",36.38,,"-1,671.47",-1.10,-5.40,-49.20,,,-101.57,4.97,,3.72,"13,066.48",N/A,17.95,0.61,1.82,,THRE,SET,FINCIAL,INSUR
2Q2555,"1,617.22",41.44,,"-2,717.15",-0.64,-7.60,-57.97,,,-168.01,9.64,,3.44,"12,082.98",N/A,2.00,1.72,1.97,,THRE,SET,FINCIAL,INSUR
3Q2555,"1,755.64",,161.90,-112.18,0.17,-0.33,-3.39,,,-6.39,9.08,,4.12,"14,471.48",N/A,4.37,0.94,1.64,,THRE,SET,FINCIAL,INSUR
4Q2555,"1,652.62",-15.76,,159.88,0.14,0.48,4.71,,,9.67,8.64,,4.98,"17,492.22",N/A,5.33,0.93,1.36,,THRE,SET,FINCIAL,INSUR
1Q2556,"1,640.42",-46.76,,263.07,0.07,0.80,7.15,,,16.04,7.35,,5.15,"18,089.35",N/A,5.20,0.99,0.00,,THRE,SET,FINCIAL,INSUR
2Q2556,"1,687.48",-73.46,,70.75,0.02,0.23,1.84,,,4.19,6.73,,4.98,"17,492.22",N/A,4.54,1.10,0.00,,THRE,SET,FINCIAL,INSUR
3Q2556,"1,683.62",,,"-3,223.92",-0.92,-10.46,-97.69,,,-191.49,10.54,,4.58,"16,087.23",43.21,4.23,1.08,0.00,,THRE,SET,FINCIAL,INSUR
4Q2556,"1,624.82",,-79.78,136.46,0.03,0.45,4.86,,,8.40,8.93,,3.80,"13,347.48",N/A,6.05,0.63,0.00,,THRE,SET,FINCIAL,INSUR
1Q2557,"1,699.95",97.33,-25.07,252.91,0.06,0.93,8.42,,,14.88,7.28,,3.16,"11,099.48",N/A,4.88,0.65,0.00,,THRE,SET,FINCIAL,INSUR
2Q2557,"1,659.41",-19.66,126.83,201.45,0.04,0.78,6.18,,,12.14,6.55,,3.62,"12,715.23",N/A,4.98,0.73,0.00,,THRE,SET,FINCIAL,INSUR
3Q2557,"1,829.15",,39.04,"-1,972.99",-0.56,-8.53,-58.08,,,-107.86,5.09,,3.50,"14,752.48",N/A,5.38,0.78,0.00,,THRE,SET,FINCIAL,INSUR
4Q2557,"1,770.28",89.29,,-232.93,-0.06,-1.30,-6.44,,,-13.16,2.88,,3.14,"13,235.08",N/A,4.60,0.68,0.00,,THRE,SET,FINCIAL,INSUR
1Q2558,"4,050.84",,873.85,"2,319.25",0.54,15.50,50.80,,,57.25,1.85,,2.84,"11,970.58",N/A,3.92,0.72,0.00,,THRE,SET,FINCIAL,INSUR
