,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,0.87,,,,,,,,,THREL,SET,FINCIAL,INSUR
1Q2556,313.45,,,109.50,0.22,7.48,13.40,,,34.93,0.73,,,,,,,,,THREL,SET,FINCIAL,INSUR
2Q2556,333.62,-32.80,,74.41,0.15,4.99,8.60,,,22.30,0.72,,,,,,,,,THREL,SET,FINCIAL,INSUR
3Q2556,401.70,58.89,,126.78,0.23,7.79,12.72,,,31.56,0.57,,,,,,,,,THREL,SET,FINCIAL,INSUR
4Q2556,361.44,-52.81,,72.31,0.11,4.01,6.46,,,20.01,0.65,,14.00,"8,400.00",22.94,0.00,0.00,0.00,,THREL,SET,FINCIAL,INSUR
1Q2557,372.89,66.70,-16.00,110.87,0.18,5.87,9.54,,,29.73,0.60,,13.80,"8,280.00",21.62,7.59,1.82,3.26,,THREL,SET,FINCIAL,INSUR
2Q2557,390.40,-19.02,1.22,89.78,0.15,4.67,7.45,,,23.00,0.59,,15.60,"9,360.00",24.35,7.59,2.06,2.88,,THREL,SET,FINCIAL,INSUR
3Q2557,456.38,-36.59,-59.60,56.93,0.09,3.05,4.96,,,12.47,0.66,,16.80,"10,080.00",25.22,8.57,1.96,2.68,,THREL,SET,FINCIAL,INSUR
4Q2557,483.92,100.48,71.60,114.13,0.19,5.95,9.88,,,23.59,0.66,,13.90,"8,340.00",25.28,7.44,1.87,3.24,,THREL,SET,FINCIAL,INSUR
1Q2558,457.04,9.27,12.48,124.71,0.21,6.08,9.96,,,27.29,0.62,,13.30,"7,980.00",21.47,6.71,1.98,3.38,,THREL,SET,FINCIAL,INSUR
