,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,18.70,,,18.05,,1.90,1.99,,,96.56,0.04,,8.15,733.50,,0.80,10.16,5.72,,TIF1,SET,PROPCON,PF&REIT
2Q2555,18.69,,,15.76,,1.69,1.75,,,84.32,0.03,,0.00,729.00,,0.81,10.21,5.75,,TIF1,SET,PROPCON,PF&REIT
3Q2555,17.10,,,-0.78,,-0.08,-0.09,,,-4.55,0.03,,0.00,720.00,,0.80,10.19,5.83,,TIF1,SET,PROPCON,PF&REIT
4Q2555,19.05,,,16.42,,1.78,1.84,,,86.20,0.03,,7.85,706.50,,0.80,10.02,5.94,,TIF1,SET,PROPCON,PF&REIT
1Q2556,17.40,,,7.24,,0.78,0.81,,,41.61,0.05,,0.00,684.00,,0.76,10.20,6.51,,TIF1,SET,PROPCON,PF&REIT
2Q2556,16.64,,,11.30,,1.22,1.28,,,67.90,0.04,,0.00,688.50,,0.78,9.98,6.47,,TIF1,SET,PROPCON,PF&REIT
3Q2556,15.24,,,27.95,,3.01,3.12,,,183.38,0.04,,7.60,684.00,,0.77,9.85,6.51,,TIF1,SET,PROPCON,PF&REIT
4Q2556,14.44,,,10.49,,1.11,1.16,,,72.62,0.04,,7.40,666.00,,0.74,10.05,6.69,,TIF1,SET,PROPCON,PF&REIT
1Q2557,18.15,,,13.20,,1.39,1.46,,,72.72,0.05,,6.80,612.00,,0.68,10.06,6.47,,TIF1,SET,PROPCON,PF&REIT
2Q2557,21.40,,,15.23,,1.60,1.67,,,71.16,0.04,,0.00,612.00,,0.67,10.09,6.47,,TIF1,SET,PROPCON,PF&REIT
3Q2557,17.18,,,18.14,,1.91,1.98,,,105.58,0.03,,6.85,616.50,,0.67,10.15,6.42,,TIF1,SET,PROPCON,PF&REIT
4Q2557,17.13,,,13.66,,1.44,1.49,,,79.74,0.03,,6.90,621.00,,0.68,10.19,6.38,,TIF1,SET,PROPCON,PF&REIT
1Q2558,18.76,,,16.14,,1.70,1.76,,,86.06,0.03,,7.35,661.50,,0.72,10.18,7.91,,TIF1,SET,PROPCON,PF&REIT
2Q2558,15.94,,,9.82,,1.03,1.07,,,61.57,0.03,,7.55,679.50,,0.74,10.21,7.70,,TIF1,SET,PROPCON,PF&REIT
3Q2558,18.24,,,12.36,,1.31,1.35,,,67.79,0.03,,7.00,630.00,,0.69,10.19,8.30,,TIF1,SET,PROPCON,PF&REIT
4Q2558,18.92,,,15.02,,1.58,1.63,,,79.40,0.04,,7.05,634.50,,0.69,10.21,8.25,,TIF1,SET,PROPCON,PF&REIT
1Q2559,17.16,,,11.11,,1.16,1.21,,,64.72,0.04,,7.45,670.50,,0.73,10.25,7.18,,TIF1,SET,PROPCON,PF&REIT
2Q2559,18.07,,,12.53,,1.31,1.36,,,69.34,0.03,,0.00,652.50,,0.71,10.22,7.38,,TIF1,SET,PROPCON,PF&REIT
3Q2559,16.84,,,30.16,,3.14,3.24,,,179.07,0.03,,7.30,657.00,,0.71,10.23,7.33,,TIF1,SET,PROPCON,PF&REIT
4Q2559,18.06,,,10.97,,1.13,1.17,,,60.70,0.04,,7.40,666.00,,0.71,10.44,7.23,,TIF1,SET,PROPCON,PF&REIT
1Q2560,18.84,,,15.38,,1.58,1.64,,,81.59,0.03,,7.80,702.00,,0.75,10.42,6.89,,TIF1,SET,PROPCON,PF&REIT
2Q2560,20.12,,,15.42,,1.58,1.64,,,76.63,0.04,,7.85,706.50,,0.75,10.44,6.85,,TIF1,SET,PROPCON,PF&REIT
3Q2560,21.38,,,26.75,,2.72,2.82,,,125.09,0.03,,7.95,715.50,,0.76,10.47,6.76,,TIF1,SET,PROPCON,PF&REIT
4Q2560,19.30,,,15.60,,1.58,1.63,,,80.81,0.03,,0.00,738.00,,0.77,10.62,6.55,,TIF1,SET,PROPCON,PF&REIT
1Q2561,18.30,,,11.74,,1.19,1.23,,,64.13,0.03,,8.40,756.00,,0.79,10.64,7.62,,TIF1,SET,PROPCON,PF&REIT
2Q2561,19.34,,,14.85,,1.51,1.56,,,76.74,0.03,,8.45,760.50,,0.80,10.57,7.57,,TIF1,SET,PROPCON,PF&REIT
3Q2561,18.54,,,12.00,,1.22,1.26,,,64.73,0.03,,8.45,760.50,,0.80,10.60,7.57,,TIF1,SET,PROPCON,PF&REIT
4Q2561,18.88,,,15.85,,1.60,1.66,,,83.99,0.03,,8.40,756.00,,0.79,10.60,7.62,,TIF1,SET,PROPCON,PF&REIT
1Q2562,18.45,,,12.30,,1.24,1.28,,,66.71,0.03,,8.55,769.50,,0.80,10.64,6.46,,TIF1,SET,PROPCON,PF&REIT
2Q2562,18.16,,,15.08,,1.52,1.57,,,83.04,0.03,,8.80,792.00,,0.83,10.63,6.27,,TIF1,SET,PROPCON,PF&REIT
3Q2562,19.40,,,22.73,,2.28,2.35,,,117.20,0.03,,8.70,783.00,,0.82,10.66,6.34,,TIF1,SET,PROPCON,PF&REIT
4Q2562,19.02,,,14.85,,1.48,1.53,,,78.04,0.03,,8.85,796.50,,0.82,10.78,6.24,,TIF1,SET,PROPCON,PF&REIT
1Q2563,17.55,,,14.06,,1.40,1.45,,,80.09,0.03,,9.30,837.00,,0.86,10.80,6.24,,TIF1,SET,PROPCON,PF&REIT
2Q2563,17.74,,,13.28,,1.32,1.37,,,74.85,0.03,,9.15,823.50,,0.85,10.79,6.34,,TIF1,SET,PROPCON,PF&REIT
3Q2563,19.38,,,22.10,,2.19,2.26,,,114.02,0.03,,9.10,819.00,,0.84,10.81,6.37,,TIF1,SET,PROPCON,PF&REIT
4Q2563,18.92,,,15.32,,1.51,1.56,,,80.95,0.03,,7.85,706.50,,,,7.39,,TIF1,SET,PROPCON,PF&REIT
1Q2564,20.40,,,16.24,,1.60,1.65,,,79.59,0.03,,8.45,760.50,,0.77,10.93,6.98,,TIF1,SET,PROPCON,PF&REIT
2Q2564,19.77,,,15.55,,1.50,1.58,,,78.67,0.07,,8.40,756.00,,0.77,10.95,7.02,,TIF1,SET,PROPCON,PF&REIT
3Q2564,19.40,,,7.57,,0.73,0.77,,,39.00,0.03,,8.45,760.50,,0.77,10.97,6.98,,TIF1,SET,PROPCON,PF&REIT
4Q2564,18.13,,,14.46,,1.43,1.47,,,79.78,0.03,,8.40,756.00,,0.77,10.91,7.02,,TIF1,SET,PROPCON,PF&REIT
3Q2565,47.13,,,36.43,,3.60,3.71,,,77.30,0.03,,8.85,796.50,,0.81,10.92,6.58,,TIF1,SET,PROPCON,PF&REIT
1Q2566,15.72,,,10.73,,1.06,1.10,,,68.26,0.03,,8.90,801.00,,0.82,10.88,6.54,,TIF1,SET,PROPCON,PF&REIT
2Q2566,15.73,,,12.60,,1.25,1.29,,,80.06,0.03,,8.65,801.00,,0.82,10.86,6.54,,TIF1,SET,PROPCON,PF&REIT
