,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,1.27,335.68,,,,,,,,TITLE,mai,PROPCON,-
2Q2560,123.79,,,17.24,0.06,3.02,7.15,65.97,30.38,13.92,1.46,449.12,,,,,,,,TITLE,mai,PROPCON,-
3Q2560,108.85,16.67,,18.71,0.07,2.94,7.22,79.31,20.09,17.19,1.45,557.68,,,,,,,,TITLE,mai,PROPCON,-
4Q2560,68.58,-93.80,,4.94,0.00,0.61,1.24,61.60,35.24,7.20,0.85,664.64,3.58,"1,432.00",30.26,,0.00,0.00,8.72,TITLE,mai,PROPCON,-
1Q2561,85.67,591.24,,13.07,0.03,1.22,2.46,68.96,26.27,15.25,1.17,"1,158.93",6.10,"2,440.00",59.68,4.65,1.31,0.09,33.04,TITLE,mai,PROPCON,-
2Q2561,80.69,-33.33,-66.67,8.90,0.02,0.67,1.64,65.72,31.21,11.02,1.72,"1,510.39",6.60,"2,903.99",64.74,5.40,1.22,0.08,53.31,TITLE,mai,PROPCON,-
3Q2561,79.43,0.00,-71.43,7.49,0.02,0.49,1.37,67.81,29.54,9.43,1.91,"1,773.70",9.10,"4,003.99",87.79,7.35,1.24,0.06,91.12,TITLE,mai,PROPCON,-
4Q2561,78.33,,,-1.24,-0.01,-0.07,-0.22,52.84,42.39,-1.58,2.18,"1,908.54",7.85,"3,453.99",100.44,6.25,1.26,0.06,96.06,TITLE,mai,PROPCON,-
1Q2562,526.26,,766.67,114.74,0.26,7.31,18.86,91.75,6.85,21.80,1.08,"1,747.98",8.30,"3,651.99",129.45,6.63,1.25,0.33,24.26,TITLE,mai,PROPCON,-
2Q2562,357.58,-96.15,-50.00,64.40,0.01,4.94,9.35,88.29,10.86,18.01,0.71,"1,492.66",3.50,"2,309.99",17.75,3.46,1.01,0.53,11.01,TITLE,mai,PROPCON,-
3Q2562,225.15,500.00,200.00,39.27,0.06,3.39,5.38,84.97,14.20,17.44,0.47,"1,225.82",3.16,"2,085.60",11.20,2.91,1.08,0.59,8.26,TITLE,mai,PROPCON,-
4Q2562,185.23,-56.87,,15.91,0.03,1.41,2.11,-11.58,108.98,8.59,0.52,452.06,3.38,"2,230.80",10.21,2.97,1.14,0.55,7.95,TITLE,mai,PROPCON,-
1Q2563,73.10,,,2.50,,0.21,0.33,45.38,48.77,3.42,0.63,424.67,2.14,"1,412.40",6.59,2.03,1.05,0.24,10.00,TITLE,mai,PROPCON,-
2Q2563,2.44,,,-21.96,-0.03,-1.74,-2.93,"-1,112.52","1,112.52",-898.08,0.75,453.81,1.82,"1,320.64",10.76,1.72,1.16,0.28,28.99,TITLE,mai,PROPCON,-
3Q2563,8.82,33.33,,-16.75,-0.02,-1.31,-2.30,-203.07,277.88,-189.87,0.78,530.91,2.86,"2,075.29",57.80,2.80,1.02,0.18,-254.44,TITLE,mai,PROPCON,-
4Q2563,4.62,16.15,,-12.00,-0.02,-0.90,-1.68,-341.47,394.20,-259.66,0.96,,2.70,"1,959.19",N/A,2.71,1.00,0.19,-56.61,TITLE,mai,PROPCON,-
1Q2564,2.28,-436.67,,-61.69,-0.09,-4.44,-9.12,,976.27,"-2,705.79",1.15,,2.86,"2,075.29",N/A,2.92,0.98,0.00,-22.55,TITLE,mai,PROPCON,-
2Q2564,6.32,66.67,0.00,-24.06,-0.03,-1.71,-3.80,-268.56,321.35,-380.56,1.29,,2.44,"1,770.53",N/A,2.73,0.89,0.00,-19.61,TITLE,mai,PROPCON,-
3Q2564,5.02,33.33,0.00,-17.22,-0.02,-1.19,-2.81,-354.87,413.51,-343.06,1.41,,2.20,"1,596.38",N/A,2.55,0.86,0.00,-18.58,TITLE,mai,PROPCON,-
1Q2565,135.65,,,7.35,0.01,0.52,1.22,67.09,30.92,5.42,1.30,,2.62,"1,901.14",N/A,3.19,0.82,0.00,-25.77,TITLE,mai,PROPCON,-
2Q2565,117.20,-5.33,,6.96,0.01,0.51,1.15,61.76,35.03,5.94,1.21,,2.52,"1,915.65",N/A,3.17,0.83,0.00,-149.05,TITLE,mai,PROPCON,-
3Q2565,93.15,4.90,,7.30,0.01,0.54,1.19,57.83,39.01,7.84,1.20,,1.73,"1,255.33",N/A,2.05,0.84,0.00,69.97,TITLE,mai,PROPCON,-
