,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,285.49,43.75,-8.00,56.95,0.23,2.66,4.92,85.90,12.12,19.95,0.82,65.36,7.90,"1,959.80",8.25,1.79,4.41,5.29,7.79,TKS,SET,SERVICE,MEDIA
2Q2555,305.82,-13.04,-25.93,49.19,0.20,2.25,4.04,79.53,14.33,16.09,0.78,89.00,7.05,"1,748.94",7.45,1.43,4.92,5.92,8.97,TKS,SET,SERVICE,MEDIA
3Q2555,315.99,25.00,-19.35,62.04,0.25,2.80,4.93,83.17,15.48,19.63,0.74,86.73,6.50,"1,612.50",7.43,1.33,4.89,6.42,10.97,TKS,SET,SERVICE,MEDIA
4Q2555,327.43,-32.00,6.25,43.46,0.17,1.92,3.26,83.59,14.75,13.27,0.67,39.95,6.75,"1,674.52",8.35,1.28,5.26,6.19,7.27,TKS,SET,SERVICE,MEDIA
1Q2556,308.87,76.47,30.43,74.60,0.30,3.18,5.27,84.25,14.38,24.15,0.64,6.20,7.10,"1,761.34",9.99,1.56,4.56,4.11,8.33,TKS,SET,SERVICE,MEDIA
2Q2556,328.75,-60.00,-40.00,50.07,0.12,2.07,3.41,78.02,13.42,15.23,0.65,-29.13,6.35,"1,890.34",8.24,1.28,5.94,4.59,7.56,TKS,SET,SERVICE,MEDIA
3Q2556,452.72,133.33,12.00,84.45,0.28,3.43,5.72,83.13,16.45,18.65,0.68,-51.11,5.60,"1,667.07",7.24,1.14,4.90,5.21,5.25,TKS,SET,SERVICE,MEDIA
4Q2556,408.88,-67.86,-47.06,24.86,0.09,0.99,1.66,83.45,15.21,6.08,0.68,-58.27,6.10,"1,815.92",7.19,1.22,5.02,4.78,7.25,TKS,SET,SERVICE,MEDIA
1Q2557,469.16,277.78,13.33,110.13,0.34,4.27,6.96,87.62,11.39,23.47,0.59,-87.60,6.00,"1,786.15",8.40,1.31,4.58,7.58,5.82,TKS,SET,SERVICE,MEDIA
2Q2557,390.98,-34.18,86.49,74.49,0.22,2.86,4.52,74.23,15.06,19.05,0.57,-82.34,9.90,"3,241.86",12.03,1.95,5.60,4.59,8.27,TKS,SET,SERVICE,MEDIA
3Q2557,387.28,-12.32,-29.93,62.63,0.20,2.45,3.80,85.05,13.75,16.17,0.53,-92.89,11.10,"3,634.82",12.37,2.23,4.99,4.10,10.51,TKS,SET,SERVICE,MEDIA
4Q2557,364.78,-49.03,11.11,33.30,0.10,1.30,1.99,83.19,16.09,9.13,0.52,-123.80,8.60,"2,816.16",10.35,1.70,5.07,5.29,8.40,TKS,SET,SERVICE,MEDIA
1Q2558,393.95,160.00,-23.53,95.15,0.26,3.61,5.44,79.03,13.76,24.15,0.50,-126.11,8.25,"2,701.55",10.59,1.76,4.69,6.06,8.92,TKS,SET,SERVICE,MEDIA
2Q2558,302.71,-41.32,-31.83,53.46,0.15,2.04,3.06,81.22,17.87,17.66,0.51,-137.08,9.10,"3,277.88",12.34,1.82,5.51,5.49,10.19,TKS,SET,SERVICE,MEDIA
3Q2558,353.97,21.69,-5.38,66.87,0.19,2.65,3.95,84.63,14.18,18.89,0.48,-133.90,8.25,"2,971.71",12.15,1.76,4.69,6.06,9.27,TKS,SET,SERVICE,MEDIA
4Q2558,339.18,3.31,91.79,69.89,0.19,2.90,4.26,89.97,14.04,20.61,0.46,-114.16,7.70,"2,773.59",11.15,1.64,4.71,6.49,7.81,TKS,SET,SERVICE,MEDIA
1Q2559,386.99,30.35,-3.85,90.06,0.25,3.76,5.51,85.38,13.90,23.27,0.47,-119.81,7.75,"2,791.60",9.78,1.76,4.41,6.45,8.16,TKS,SET,SERVICE,MEDIA
2Q2559,338.85,-20.00,31.10,72.64,0.20,3.01,4.42,76.79,17.73,21.44,0.47,-129.03,8.40,"3,025.74",10.79,1.80,4.66,5.95,10.29,TKS,SET,SERVICE,MEDIA
3Q2559,402.93,25.00,34.66,89.03,0.25,3.74,5.49,78.85,15.21,22.10,0.47,-154.96,8.00,"2,881.65",9.62,1.80,4.46,6.25,7.47,TKS,SET,SERVICE,MEDIA
4Q2559,387.29,-6.23,22.23,84.86,0.23,3.60,5.04,84.20,13.50,21.91,0.34,-174.56,8.65,"3,115.79",9.69,1.90,4.55,5.78,7.68,TKS,SET,SERVICE,MEDIA
1Q2560,351.34,5.71,-0.87,89.27,0.25,3.84,5.04,81.04,17.11,25.41,0.29,-173.64,11.50,"4,142.38",12.31,2.40,4.79,5.65,9.06,TKS,SET,SERVICE,MEDIA
2Q2560,307.61,-18.42,1.09,73.88,0.20,3.20,4.19,77.24,20.17,24.02,0.33,-166.67,13.00,"4,682.69",13.94,2.58,5.04,5.00,12.21,TKS,SET,SERVICE,MEDIA
3Q2560,570.53,23.65,0.00,89.32,0.25,3.86,5.16,54.75,10.86,15.66,0.34,-157.37,16.30,"5,871.37",17.42,3.43,4.75,3.99,14.06,TKS,SET,SERVICE,MEDIA
4Q2560,164.22,-8.00,-1.89,83.13,0.23,3.57,4.64,179.05,32.67,50.62,0.26,-142.37,10.90,"3,926.25",11.64,2.24,4.86,5.96,9.81,TKS,SET,SERVICE,MEDIA
1Q2561,315.38,33.75,24.13,113.40,0.31,4.00,5.18,82.14,17.04,35.96,0.32,-123.49,10.40,"3,746.15",13.02,2.38,5.09,5.52,10.13,TKS,SET,SERVICE,MEDIA
2Q2561,807.88,116.76,229.81,273.28,0.67,7.01,10.23,59.82,12.90,33.83,0.59,-77.33,10.30,"4,328.13",12.03,1.70,6.06,5.58,7.23,TKS,SET,SERVICE,MEDIA
3Q2561,565.63,-76.67,-37.77,71.60,0.16,1.63,2.56,102.14,4.71,12.66,0.56,-91.77,11.70,"4,916.42",8.83,1.87,6.25,4.91,9.36,TKS,SET,SERVICE,MEDIA
4Q2561,604.12,,,-134.98,-0.34,-3.20,-4.95,63.15,28.76,-22.34,0.54,-23.68,8.00,"3,361.65",6.22,1.28,6.24,7.18,9.90,TKS,SET,SERVICE,MEDIA
1Q2562,659.98,,2.16,130.34,0.31,3.09,4.81,84.60,14.47,19.75,0.57,-23.44,8.10,"3,403.67",11.60,1.50,5.39,6.17,9.05,TKS,SET,SERVICE,MEDIA
2Q2562,596.75,0.22,-52.76,165.29,0.31,3.80,5.97,81.80,17.48,27.70,0.57,-23.70,7.95,"3,674.70",10.89,1.41,6.20,6.29,12.02,TKS,SET,SERVICE,MEDIA
3Q2562,627.28,-68.01,-35.24,51.75,0.10,1.19,1.89,83.48,16.06,8.25,0.61,9.09,7.70,"3,559.14",16.84,1.37,5.62,6.49,11.91,TKS,SET,SERVICE,MEDIA
4Q2562,629.77,9.17,,62.46,0.11,1.45,2.40,83.33,16.10,9.92,0.70,0.32,6.45,"2,981.36",15.73,1.17,5.53,7.75,7.21,TKS,SET,SERVICE,MEDIA
1Q2563,497.83,-14.69,-70.14,43.46,0.09,1.02,1.73,76.45,22.21,8.73,0.70,28.34,3.72,"1,719.48",,,,16.13,6.12,TKS,SET,SERVICE,MEDIA
2Q2563,446.32,-10.37,-73.30,39.09,0.08,0.92,1.59,77.15,22.94,8.76,0.76,32.86,4.92,"2,274.15",7.55,0.91,5.41,12.20,9.62,TKS,SET,SERVICE,MEDIA
3Q2563,476.05,80.54,50.70,70.77,0.15,1.69,2.94,77.23,20.49,14.87,0.72,28.73,5.35,"2,472.91",12.66,1.04,5.12,11.21,9.38,TKS,SET,SERVICE,MEDIA
4Q2563,487.42,9.02,50.49,77.79,0.17,1.86,3.14,79.94,20.29,15.96,0.65,23.13,6.10,"2,819.58",13.14,1.17,5.22,9.84,9.27,TKS,SET,SERVICE,MEDIA
1Q2564,474.61,38.39,144.13,107.16,0.23,2.56,4.14,78.83,20.29,22.58,0.59,4.31,9.50,"4,391.15",19.18,1.75,5.41,2.74,11.17,TKS,SET,SERVICE,MEDIA
2Q2564,492.77,7.36,192.40,116.78,0.25,2.76,4.38,78.56,20.81,23.70,0.57,-0.51,10.40,"4,807.16",16.49,1.83,5.68,2.50,10.40,TKS,SET,SERVICE,MEDIA
