,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,0.04,,,,,,,,,TLHPF,SET,PROPCON,PF&REIT
4Q2559,148.92,,,144.99,,7.81,8.17,,,97.36,0.05,,10.20,"1,754.40",,1.01,10.13,0.00,,TLHPF,SET,PROPCON,PF&REIT
4Q2560,148.90,,,141.50,,7.41,7.79,,,95.03,0.05,,0.00,"1,857.60",,1.03,10.50,7.65,,TLHPF,SET,PROPCON,PF&REIT
2Q2561,74.45,,,69.63,,3.62,3.81,,,93.53,0.05,,0.00,"1,926.40",,1.06,10.60,6.58,,TLHPF,SET,PROPCON,PF&REIT
3Q2561,37.25,,,34.80,,1.82,1.92,,,93.42,0.05,,0.00,"1,892.00",,1.03,10.64,6.70,,TLHPF,SET,PROPCON,PF&REIT
4Q2561,37.18,,,34.68,,1.81,1.90,,,93.27,0.05,,11.00,"1,892.00",,1.05,10.48,6.70,,TLHPF,SET,PROPCON,PF&REIT
1Q2562,37.34,,,35.01,,1.83,1.92,,,93.75,0.05,,11.60,"1,995.20",,1.09,10.68,6.38,,TLHPF,SET,PROPCON,PF&REIT
2Q2562,37.34,,,34.79,,1.81,1.91,,,93.17,0.05,,0.00,"1,978.00",,1.09,10.51,6.43,,TLHPF,SET,PROPCON,PF&REIT
3Q2562,37.24,,,30.81,,1.61,1.69,,,82.72,0.05,,11.40,"1,960.80",,1.06,10.71,6.49,,TLHPF,SET,PROPCON,PF&REIT
4Q2562,37.20,,,34.79,,1.82,1.90,,,93.54,0.04,,0.00,"1,892.00",,1.05,10.52,6.73,,TLHPF,SET,PROPCON,PF&REIT
1Q2563,37.31,,,34.96,,1.83,1.91,,,93.72,0.04,,8.55,"1,470.60",,,,8.65,,TLHPF,SET,PROPCON,PF&REIT
2Q2563,0.15,,,-2.21,,-0.12,-0.12,,,"-1,491.22",0.04,,0.00,"1,496.40",,0.82,10.56,8.51,,TLHPF,SET,PROPCON,PF&REIT
3Q2563,56.60,,,-20.90,,-1.11,-1.16,,,-36.93,0.04,,9.00,"1,548.00",,0.85,10.54,8.22,,TLHPF,SET,PROPCON,PF&REIT
4Q2563,35.84,,,32.19,,1.74,1.80,,,89.83,0.03,,8.70,"1,496.40",,0.83,10.42,8.51,,TLHPF,SET,PROPCON,PF&REIT
1Q2564,35.82,,,33.54,,1.83,1.87,,,93.64,0.02,,8.00,"1,376.00",,0.77,10.36,4.38,,TLHPF,SET,PROPCON,PF&REIT
2Q2564,35.83,,,33.47,,1.82,1.84,,,93.42,0.01,,7.60,"1,307.20",,0.73,10.45,4.61,,TLHPF,SET,PROPCON,PF&REIT
3Q2564,26.93,,,-12.54,,-0.68,-0.69,,,-46.55,0.01,,7.60,"1,307.20",,0.71,10.65,4.61,,TLHPF,SET,PROPCON,PF&REIT
4Q2564,44.78,,,42.34,,2.27,2.32,,,94.56,0.04,,7.50,"1,290.00",,0.72,10.47,4.67,,TLHPF,SET,PROPCON,PF&REIT
1Q2565,16.98,,,13.83,,0.74,0.77,,,81.46,0.03,,7.70,"1,324.40",,,,10.39,,TLHPF,SET,PROPCON,PF&REIT
2Q2565,5.38,,,2.98,,0.17,0.17,,,55.38,0.02,,7.85,"1,358.80",,0.78,10.10,10.13,,TLHPF,SET,PROPCON,PF&REIT
3Q2565,6.71,,,-40.64,,-2.32,-2.37,,,-605.84,0.02,,7.55,"1,315.80",,0.76,10.12,10.46,,TLHPF,SET,PROPCON,PF&REIT
