,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,2.26,73.39,,,,,,,,TM,mai,CONSUMP,-
2Q2559,270.21,,,12.70,0.08,2.38,9.12,65.66,34.24,4.70,3.62,94.20,,,,,,,,TM,mai,CONSUMP,-
3Q2559,138.88,-45.55,,9.98,0.04,1.67,4.24,67.63,32.25,7.18,0.85,136.64,3.70,"1,036.00",40.71,,0.00,0.00,13.34,TM,mai,CONSUMP,-
4Q2559,148.09,-86.59,,4.22,0.01,0.62,1.19,63.11,36.25,2.85,0.97,161.33,4.06,"1,136.80",31.73,3.23,1.26,0.00,13.31,TM,mai,CONSUMP,-
1Q2560,146.04,382.22,,7.90,0.03,1.14,2.19,64.97,34.89,5.41,0.88,278.25,3.66,"1,024.80",38.09,2.87,1.27,0.15,19.55,TM,mai,CONSUMP,-
2Q2560,145.53,10.14,-61.23,9.11,0.03,1.31,2.47,65.22,34.58,6.26,0.91,386.72,3.26,"1,004.08",36.89,2.75,1.18,0.16,22.38,TM,mai,CONSUMP,-
3Q2560,152.87,,,-0.86,-0.01,-0.12,-0.23,62.16,37.63,-0.56,0.79,383.03,3.20,985.60,31.59,2.65,1.21,0.16,26.95,TM,mai,CONSUMP,-
4Q2560,184.89,,966.84,19.22,0.06,2.80,5.05,72.41,27.57,10.40,0.82,395.62,2.60,800.80,39.31,2.16,1.21,0.19,17.24,TM,mai,CONSUMP,-
1Q2561,146.96,-52.30,5.53,9.17,0.03,1.26,2.32,64.77,35.10,6.24,0.87,400.38,2.48,763.84,21.59,1.96,1.27,3.27,16.72,TM,mai,CONSUMP,-
2Q2561,154.70,11.62,6.95,10.15,0.03,1.37,2.59,66.79,33.08,6.56,0.90,402.26,1.90,585.20,15.97,1.46,1.30,4.27,13.73,TM,mai,CONSUMP,-
3Q2561,165.37,80.35,,18.54,0.06,2.54,4.71,71.15,28.72,11.21,0.81,413.40,2.10,646.80,17.16,1.68,1.25,3.87,10.31,TM,mai,CONSUMP,-
4Q2561,177.61,-43.47,-45.71,10.44,0.03,1.43,2.56,67.80,32.10,5.88,0.76,402.10,2.00,616.00,10.79,1.53,1.31,4.06,11.09,TM,mai,CONSUMP,-
1Q2562,200.62,107.73,136.41,21.68,0.07,2.93,5.09,75.13,24.82,10.80,0.71,367.17,2.18,671.44,13.90,1.62,1.34,4.47,9.00,TM,mai,CONSUMP,-
2Q2562,158.43,-43.12,20.46,12.33,0.04,1.67,2.88,70.21,29.50,7.78,0.73,330.46,2.32,714.56,11.75,1.63,1.42,4.20,10.14,TM,mai,CONSUMP,-
3Q2562,180.48,28.70,-14.03,15.87,0.05,2.26,3.71,70.14,28.30,8.79,0.55,291.92,2.60,800.80,12.71,1.91,1.36,3.75,10.77,TM,mai,CONSUMP,-
4Q2562,150.15,-30.36,5.90,11.05,0.04,1.52,2.51,65.83,33.96,7.36,0.75,268.91,2.50,770.00,12.77,1.77,1.41,3.90,10.63,TM,mai,CONSUMP,-
1Q2563,164.71,13.71,-42.03,12.56,0.04,1.54,2.82,69.61,30.38,7.63,0.92,270.52,2.30,708.40,11.63,1.59,1.45,5.65,12.13,TM,mai,CONSUMP,-
2Q2563,144.47,-54.04,-53.16,5.78,0.02,0.68,1.29,68.43,31.40,4.00,0.88,288.83,2.38,733.04,14.15,1.75,1.36,5.46,13.17,TM,mai,CONSUMP,-
3Q2563,168.47,107.84,-24.36,12.00,0.04,1.47,2.63,73.00,26.88,7.12,0.70,312.32,2.30,708.40,15.65,1.67,1.38,5.65,11.98,TM,mai,CONSUMP,-
4Q2563,153.98,-11.91,-4.32,10.58,0.03,1.39,2.26,67.72,32.10,6.87,0.56,333.87,2.46,757.68,18.29,1.73,1.42,5.28,11.46,TM,mai,CONSUMP,-
1Q2564,147.97,-97.03,-97.50,0.32,0.00,0.04,0.07,64.25,35.33,0.21,0.55,318.95,3.06,942.48,22.95,2.11,1.45,3.27,18.04,TM,mai,CONSUMP,-
2Q2564,146.32,,,-0.98,-0.00,-0.13,-0.21,68.05,31.89,-0.67,0.64,298.33,3.94,"1,213.52",41.87,2.71,1.45,2.54,21.26,TM,mai,CONSUMP,-
3Q2564,227.16,,100.59,23.96,0.08,3.01,4.91,75.91,23.89,10.55,0.63,274.41,3.34,"1,028.72",45.89,2.47,1.35,2.99,16.33,TM,mai,CONSUMP,-
1Q2565,155.47,-75.62,"1,768.63",5.74,0.02,0.69,1.14,67.88,31.36,3.69,0.66,271.78,3.44,"1,059.52",34.74,2.37,1.45,2.47,19.08,TM,mai,CONSUMP,-
2Q2565,152.63,-33.53,,3.64,0.01,0.42,0.74,67.39,32.57,2.39,0.82,290.69,2.74,850.08,23.69,1.91,1.45,3.08,15.25,TM,mai,CONSUMP,-
3Q2565,166.26,,,-1.82,-0.00,-0.20,-0.38,67.17,32.58,-1.10,0.94,287.34,2.66,825.44,20.34,1.95,1.38,3.17,16.75,TM,mai,CONSUMP,-
