,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,141.33,,,4.12,0.02,0.60,1.76,85.51,14.35,2.91,1.94,87.28,,,,,,,,TMC,mai,INDUS,-
2Q2555,295.45,"1,300.00",,54.97,0.28,7.82,20.80,92.69,7.25,18.61,1.43,70.13,,,,,,,,TMC,mai,INDUS,-
3Q2555,288.27,-10.71,,50.73,0.25,7.21,16.00,96.14,3.81,17.60,1.04,68.98,,,,,,,,TMC,mai,INDUS,-
4Q2555,280.22,-72.00,,25.70,0.07,3.09,5.02,79.96,19.37,9.17,0.42,36.43,7.50,"2,175.00",18.44,0.00,0.00,0.00,10.33,TMC,mai,INDUS,-
1Q2556,170.07,-14.29,200.00,16.13,0.06,1.65,2.33,81.46,17.26,9.48,0.40,59.51,7.35,"2,131.50",15.73,3.12,2.35,2.86,9.23,TMC,mai,INDUS,-
2Q2556,268.45,-57.55,-90.90,8.66,0.03,0.85,1.25,86.90,12.21,3.22,0.55,110.04,5.95,"1,725.50",11.70,2.45,2.43,3.53,10.74,TMC,mai,INDUS,-
3Q2556,176.32,,,-6.53,-0.02,-0.57,-0.97,81.93,18.22,-3.70,0.84,157.83,4.58,"1,328.20",13.12,1.96,2.34,4.59,16.33,TMC,mai,INDUS,-
4Q2556,176.19,-69.73,,-11.59,-0.04,-0.94,-1.74,72.75,26.44,-6.58,0.87,240.23,3.90,"1,131.00",25.32,1.68,2.32,5.38,24.52,TMC,mai,INDUS,-
1Q2557,157.22,-109.21,,-22.67,-0.08,-1.88,-3.48,75.04,23.91,-14.42,0.85,253.57,3.70,"1,073.00",149.77,1.62,2.28,1.08,76.46,TMC,mai,INDUS,-
2Q2557,121.56,1.58,,-23.37,-0.08,-1.93,-3.76,61.02,36.30,-19.22,1.05,261.78,3.62,"1,049.80",N/A,1.64,2.20,1.10,-97.70,TMC,mai,INDUS,-
3Q2557,133.88,16.10,-193.21,-19.16,-0.07,-1.53,-3.22,70.23,29.89,-14.31,1.16,246.06,3.76,"1,090.40",N/A,1.81,2.08,1.06,-64.46,TMC,mai,INDUS,-
4Q2557,247.85,,,14.78,0.05,1.19,2.49,81.78,15.40,5.96,1.02,246.92,3.44,997.60,N/A,1.71,2.01,1.16,-735.23,TMC,mai,INDUS,-
1Q2558,142.54,,-75.78,-40.78,-0.14,-3.48,-7.01,69.99,28.85,-28.61,1.01,234.31,3.06,887.40,N/A,1.47,2.08,0.00,-70.85,TMC,mai,INDUS,-
2Q2558,160.04,40.62,-6.05,-24.21,-0.08,-2.10,-4.41,76.44,21.79,-15.13,1.19,231.88,2.32,672.80,N/A,1.20,1.94,0.00,-72.36,TMC,mai,INDUS,-
3Q2558,135.30,10.37,-13.29,-21.70,-0.07,-1.85,-4.12,79.98,19.12,-16.04,1.26,255.22,2.40,696.00,N/A,1.29,1.85,0.00,-56.13,TMC,mai,INDUS,-
4Q2558,132.80,,54.95,21.25,0.08,1.86,3.53,48.67,27.35,16.00,0.63,261.69,1.86,674.25,N/A,1.31,1.78,0.00,-69.64,TMC,mai,INDUS,-
1Q2559,71.97,,21.77,-38.33,-0.11,-3.42,-5.74,60.61,38.98,-53.26,0.73,300.06,2.30,833.75,N/A,1.21,1.90,0.00,-84.33,TMC,mai,INDUS,-
2Q2559,154.56,63.64,52.10,-17.47,-0.04,-1.58,-2.72,84.61,15.26,-11.30,0.72,320.06,3.60,"1,305.09",N/A,2.01,1.79,0.00,-176.93,TMC,mai,INDUS,-
3Q2559,80.08,-75.00,6.47,-23.09,-0.07,-2.14,-3.71,77.02,22.72,-28.83,0.75,330.14,1.88,684.47,N/A,1.08,1.75,0.00,-95.20,TMC,mai,INDUS,-
4Q2559,89.74,-514.29,,-157.80,-0.43,-15.82,-29.69,64.04,35.49,-175.84,1.05,316.32,1.94,706.31,N/A,1.16,1.68,0.00,-7.66,TMC,mai,INDUS,-
1Q2560,88.34,,,3.61,0.01,0.38,0.80,45.52,25.59,4.09,1.10,274.96,1.66,604.38,N/A,1.34,1.24,0.00,-9.92,TMC,mai,INDUS,-
2Q2560,111.75,,25.00,-11.26,-0.03,-1.19,-2.50,77.91,20.58,-10.08,1.11,284.73,1.61,586.18,N/A,1.29,1.25,0.00,-10.20,TMC,mai,INDUS,-
