,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,570.84,192.83,38.37,104.52,6.30,5.58,6.20,94.47,4.33,18.31,0.13,450.21,96.00,"1,440.00",7.30,0.95,100.91,6.25,5.25,TMD,SET,INDUS,PKG
2Q2555,485.38,-19.72,51.32,82.20,5.05,4.24,4.74,93.44,4.73,16.94,0.11,471.45,114.00,"1,710.00",7.65,1.06,107.32,5.26,5.50,TMD,SET,INDUS,PKG
3Q2555,547.03,20.30,94.87,103.22,6.08,5.20,5.78,90.97,4.61,18.87,0.11,398.98,163.00,"2,445.00",9.81,1.53,106.58,3.68,6.59,TMD,SET,INDUS,PKG
4Q2555,473.09,-45.07,55.35,53.94,3.34,2.61,2.88,90.17,7.93,11.40,0.10,331.77,172.50,"2,587.50",8.81,1.52,113.34,3.48,6.42,TMD,SET,INDUS,PKG
1Q2556,486.06,50.30,-20.27,80.19,5.02,3.76,4.16,93.48,5.45,16.50,0.12,306.72,223.00,"3,345.00",10.73,1.90,117.09,4.04,8.88,TMD,SET,INDUS,PKG
2Q2556,418.96,,,65.96,-4.10,3.16,3.53,91.23,6.40,15.74,0.12,264.07,22.40,"3,360.00",11.49,1.86,12.02,4.02,9.37,TMD,SET,INDUS,PKG
3Q2556,487.00,,-92.76,72.28,0.44,3.54,3.98,93.12,5.72,14.84,0.12,266.34,18.60,"2,790.00",9.97,1.71,10.91,4.84,8.35,TMD,SET,INDUS,PKG
4Q2556,503.94,13.64,-85.03,81.95,0.50,3.85,4.33,91.08,6.51,16.26,0.12,260.39,18.00,"2,700.00",10.61,1.59,11.32,5.00,7.29,TMD,SET,INDUS,PKG
1Q2557,482.75,-2.00,-90.24,79.96,0.49,3.61,4.06,92.97,5.84,16.56,0.12,253.20,17.50,"2,625.00",9.43,1.48,11.81,5.71,7.14,TMD,SET,INDUS,PKG
2Q2557,420.92,-30.61,,54.10,0.34,2.43,2.70,92.29,6.46,12.85,0.10,245.02,18.70,"2,805.00",10.15,1.52,12.29,5.35,7.70,TMD,SET,INDUS,PKG
3Q2557,501.13,32.35,2.27,71.16,0.45,3.16,3.50,92.97,5.79,14.20,0.11,261.53,18.00,"2,700.00",10.19,1.47,12.25,5.56,7.55,TMD,SET,INDUS,PKG
4Q2557,548.42,13.33,2.00,83.96,0.51,3.49,3.92,91.33,6.16,15.31,0.13,272.51,16.80,"2,520.00",9.50,1.32,12.69,5.95,7.08,TMD,SET,INDUS,PKG
1Q2558,549.88,9.80,14.29,93.56,0.56,3.64,4.14,92.98,5.81,17.01,0.14,272.81,17.20,"2,580.00",9.61,1.27,13.55,5.81,7.05,TMD,SET,INDUS,PKG
2Q2558,478.25,-17.86,35.29,74.00,0.46,2.87,3.26,91.97,6.64,15.47,0.14,244.51,18.40,"2,760.00",9.87,1.30,14.12,5.43,7.07,TMD,SET,INDUS,PKG
3Q2558,450.43,2.17,4.44,75.01,0.47,2.92,3.31,91.11,7.27,16.65,0.13,239.72,19.00,"2,850.00",9.61,1.40,13.59,5.26,7.13,TMD,SET,INDUS,PKG
