,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,69.95,-60.66,-31.81,10.24,0.10,2.68,3.00,85.76,13.22,14.63,0.13,197.03,5.45,545.00,7.16,1.62,3.36,5.69,5.42,TNDT,mai,SERVICE,-
2Q2555,83.27,93.31,41.23,19.57,0.20,5.05,5.66,91.80,7.53,23.51,0.12,197.59,4.88,488.00,6.84,1.41,3.46,6.35,4.81,TNDT,mai,SERVICE,-
3Q2555,92.95,21.38,14.29,24.36,0.24,6.16,6.91,92.10,7.31,26.21,0.12,211.75,6.05,605.00,7.89,1.75,3.45,5.12,5.64,TNDT,mai,SERVICE,-
4Q2555,89.95,-8.33,-15.38,22.16,0.22,5.31,5.97,97.38,2.00,24.64,0.13,195.44,9.10,910.00,11.37,2.53,3.60,3.41,9.14,TNDT,mai,SERVICE,-
1Q2556,74.02,-45.45,17.32,11.97,0.12,2.74,3.08,,,16.17,0.11,209.34,13.00,"1,300.00",17.03,3.40,3.82,2.38,12.88,TNDT,mai,SERVICE,-
2Q2556,85.20,66.83,1.25,20.05,0.20,4.54,5.06,78.39,19.07,23.53,0.12,179.30,11.60,"1,160.00",14.85,2.93,3.96,2.67,11.61,TNDT,mai,SERVICE,-
3Q2556,103.15,32.36,10.40,26.49,0.26,5.82,6.55,89.76,9.49,25.68,0.13,176.20,10.00,"1,000.00",12.73,2.53,3.95,3.10,9.75,TNDT,mai,SERVICE,-
4Q2556,112.21,4.32,25.65,27.24,0.28,5.59,6.35,84.48,13.38,24.27,0.14,175.23,9.90,990.00,12.27,2.40,4.12,3.13,9.86,TNDT,mai,SERVICE,-
1Q2557,105.68,-15.28,95.14,23.61,0.23,4.50,5.16,86.73,11.77,22.34,0.16,162.27,10.40,"1,040.00",12.07,2.37,4.39,3.37,9.14,TNDT,mai,SERVICE,-
2Q2557,116.00,9.83,28.47,25.80,0.26,4.77,5.50,88.34,9.39,22.24,0.15,166.48,13.00,"1,300.00",13.32,2.81,4.62,2.69,10.86,TNDT,mai,SERVICE,-
3Q2557,124.88,-15.62,-18.10,20.25,0.22,3.71,4.27,84.75,14.08,16.22,0.15,163.00,22.10,"2,210.00",21.19,4.77,4.63,1.58,19.47,TNDT,mai,SERVICE,-
4Q2557,138.01,-20.63,-37.69,16.03,0.17,2.80,3.29,90.23,8.29,11.62,0.20,175.86,15.40,"1,540.00",15.64,3.25,4.74,2.27,15.03,TNDT,mai,SERVICE,-
1Q2558,119.19,0.10,-26.37,15.94,0.17,2.63,3.17,87.63,10.27,13.37,0.21,206.05,16.50,"1,650.00",18.74,3.36,4.91,2.24,17.45,TNDT,mai,SERVICE,-
2Q2558,113.41,15.02,-22.89,18.34,0.20,2.98,3.62,86.77,10.28,16.17,0.22,228.02,14.90,"1,490.00",18.20,2.93,5.08,2.48,16.59,TNDT,mai,SERVICE,-
3Q2558,97.76,-28.02,-34.22,12.95,0.14,2.03,2.57,84.90,13.05,13.25,0.31,254.76,13.80,"1,380.00",18.40,2.76,5.01,2.68,16.79,TNDT,mai,SERVICE,-
4Q2558,101.14,-30.71,-42.58,9.41,0.10,1.31,1.85,78.43,18.13,9.30,0.51,235.65,11.80,"1,180.00",17.21,2.34,5.05,3.14,16.47,TNDT,mai,SERVICE,-
1Q2559,89.57,,,-2.61,-0.01,-0.32,-0.51,88.70,8.81,-2.91,0.64,226.37,10.30,"1,030.00",16.82,2.00,5.14,2.62,18.59,TNDT,mai,SERVICE,-
2Q2559,92.63,,-88.79,1.97,0.02,0.23,0.39,68.44,30.88,2.13,0.80,191.30,13.00,"1,300.00",30.55,2.53,5.14,2.08,27.41,TNDT,mai,SERVICE,-
3Q2559,77.57,,,-2.85,-0.02,-0.32,-0.57,80.24,18.04,-3.67,0.79,177.04,11.10,"1,110.00",43.72,2.22,5.01,2.43,29.78,TNDT,mai,SERVICE,-
4Q2559,85.55,,157.30,24.57,0.25,2.74,4.86,89.45,7.60,28.72,0.75,174.94,10.40,"1,040.00",117.65,2.10,4.96,2.60,22.48,TNDT,mai,SERVICE,-
1Q2560,67.50,-98.62,,-0.18,0.00,-0.02,-0.04,77.35,18.24,-0.27,0.77,166.80,10.00,"1,000.00",40.99,1.92,5.20,1.20,21.14,TNDT,mai,SERVICE,-
2Q2560,67.61,,,-1.48,-0.01,-0.16,-0.29,81.67,17.56,-2.19,0.87,169.24,9.00,900.00,34.36,1.73,5.20,1.33,21.68,TNDT,mai,SERVICE,-
3Q2560,95.75,,,12.29,0.13,1.26,2.42,82.63,15.71,12.84,0.96,156.85,8.40,840.00,37.17,1.66,5.06,1.43,16.77,TNDT,mai,SERVICE,-
4Q2560,89.94,-29.70,-64.50,8.43,0.09,0.80,1.63,84.35,13.87,9.37,1.10,152.67,7.65,765.00,20.28,1.47,5.19,1.57,18.71,TNDT,mai,SERVICE,-
1Q2561,72.16,,,-15.41,-0.15,-1.43,-3.00,61.35,36.38,-21.36,1.09,145.71,6.55,655.00,30.73,1.24,5.27,0.00,21.35,TNDT,mai,SERVICE,-
2Q2561,86.63,,,2.79,0.03,0.26,0.55,85.19,12.90,3.22,1.13,142.92,4.86,486.00,79.65,0.95,5.12,0.00,15.89,TNDT,mai,SERVICE,-
3Q2561,73.88,,,-2.16,-0.02,-0.20,-0.43,79.92,18.49,-2.92,1.18,151.66,5.05,505.00,48.52,0.98,5.15,0.00,20.86,TNDT,mai,SERVICE,-
4Q2561,83.08,"-4,665.39",,-75.21,-0.75,-7.06,-16.15,-8.84,106.42,-90.53,1.41,139.44,4.06,406.00,N/A,0.80,5.11,0.00,-36.70,TNDT,mai,SERVICE,-
1Q2562,87.56,,,9.03,0.10,0.87,2.09,82.60,16.41,10.31,1.40,131.63,4.26,426.00,N/A,0.98,4.36,0.00,407.18,TNDT,mai,SERVICE,-
2Q2562,83.37,,,-3.62,-0.03,-0.34,-0.83,77.41,21.26,-4.35,1.46,130.30,5.80,580.00,N/A,1.30,4.46,0.00,-374.15,TNDT,mai,SERVICE,-
3Q2562,84.68,,,3.26,0.04,0.31,0.75,84.43,15.10,3.85,1.39,119.53,4.06,406.00,N/A,0.92,4.42,0.00,140.55,TNDT,mai,SERVICE,-
4Q2562,86.56,205.25,,11.04,0.12,1.05,2.51,87.20,11.35,12.75,1.36,119.17,3.72,372.00,N/A,0.84,4.45,0.00,10.44,TNDT,mai,SERVICE,-
