,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,344.26,8.33,-23.53,46.55,0.26,5.27,6.78,85.13,13.19,13.52,0.34,-78.18,8.15,"1,467.00",8.50,2.17,3.75,5.89,4.72,TNH,mai,SERVICE,-
2Q2555,332.38,-46.15,-12.50,25.44,0.14,2.90,3.82,82.81,15.33,7.65,0.29,-76.64,7.90,"1,422.00",9.02,2.04,3.87,6.08,4.61,TNH,mai,SERVICE,-
3Q2555,317.75,35.71,-13.64,33.46,0.19,3.98,5.13,83.89,14.39,10.53,0.29,-94.33,8.10,"1,458.00",9.47,2.29,3.53,5.93,4.63,TNH,mai,SERVICE,-
4Q2555,357.90,21.05,-4.17,42.06,0.23,4.69,6.09,100.98,-2.92,11.75,0.31,-170.57,8.35,"1,503.00",10.08,2.24,3.72,5.75,5.46,TNH,mai,SERVICE,-
1Q2556,380.88,39.13,23.08,57.13,0.32,5.89,7.72,88.91,9.24,15.00,0.32,-251.65,12.50,"2,250.00",15.25,3.16,3.95,4.00,7.92,TNH,mai,SERVICE,-
2Q2556,371.20,-40.63,35.71,34.66,0.19,3.49,4.68,87.11,11.04,9.34,0.37,-362.80,12.80,"2,304.00",14.57,3.00,4.27,3.91,7.34,TNH,mai,SERVICE,-
3Q2556,349.64,10.53,10.53,37.81,0.21,3.87,5.16,89.38,8.83,10.82,0.31,-487.03,14.10,"2,538.00",15.17,3.56,3.96,3.55,8.65,TNH,mai,SERVICE,-
4Q2556,365.58,14.29,4.35,42.74,0.24,4.26,5.53,89.11,10.04,11.69,0.29,-328.98,12.50,"2,250.00",13.11,3.00,4.17,4.00,7.91,TNH,mai,SERVICE,-
1Q2557,390.38,25.00,-6.25,53.92,0.30,5.08,6.53,88.88,9.48,13.81,0.28,-297.99,13.80,"2,484.00",14.41,3.13,4.41,4.35,8.67,TNH,mai,SERVICE,-
2Q2557,396.26,-36.67,0.00,35.01,0.19,3.32,4.26,87.57,10.81,8.84,0.29,-244.22,11.40,"2,052.00",12.13,2.39,4.77,5.26,7.34,TNH,mai,SERVICE,-
3Q2557,413.64,63.16,47.62,54.75,0.31,5.29,6.74,88.64,9.94,13.24,0.26,-193.33,13.30,"2,394.00",14.12,3.05,4.36,4.51,7.95,TNH,mai,SERVICE,-
4Q2557,398.55,-35.48,-16.67,35.42,0.20,3.27,4.13,86.74,11.17,8.89,0.27,-183.29,17.90,"3,222.00",17.28,3.84,4.66,3.35,10.92,TNH,mai,SERVICE,-
1Q2558,430.02,60.00,6.67,57.50,0.32,5.01,6.36,88.41,10.10,13.37,0.27,-180.29,19.80,"3,564.00",19.90,4.07,4.86,3.03,11.85,TNH,mai,SERVICE,-
2Q2558,428.31,-37.50,5.26,36.15,0.20,3.13,4.03,87.12,11.23,8.44,0.31,-191.68,19.20,"3,456.00",18.92,3.71,5.18,3.13,11.50,TNH,mai,SERVICE,-
3Q2558,419.94,50.00,-3.23,54.19,0.30,4.79,6.10,89.02,9.56,12.90,0.25,-190.53,18.60,"3,348.00",18.21,3.89,4.78,3.23,10.95,TNH,mai,SERVICE,-
4Q2558,438.30,9.89,64.84,59.11,0.33,5.01,6.26,89.22,9.17,13.49,0.25,-193.67,18.40,"3,312.00",18.07,3.62,5.08,3.26,10.04,TNH,mai,SERVICE,-
1Q2559,472.16,36.50,40.63,80.26,0.45,6.27,7.91,89.85,8.63,17.00,0.27,-204.80,19.30,"3,474.00",16.79,3.57,5.41,3.21,9.76,TNH,mai,SERVICE,-
2Q2559,480.81,-28.82,60.17,58.40,0.32,4.43,5.68,87.75,10.87,12.15,0.29,-203.97,22.40,"4,032.00",17.55,3.82,5.86,2.77,10.38,TNH,mai,SERVICE,-
3Q2559,475.12,27.89,36.56,74.16,0.41,5.66,7.14,89.46,9.35,15.61,0.23,-202.23,35.75,"6,435.00",25.54,6.43,5.56,1.73,15.39,TNH,mai,SERVICE,-
4Q2559,487.78,-4.80,18.30,69.22,0.39,5.04,6.23,87.93,10.10,14.19,0.24,-193.98,44.25,"7,965.00",29.29,7.41,5.97,1.40,18.46,TNH,mai,SERVICE,-
1Q2560,505.61,20.51,4.44,83.78,0.47,5.61,7.05,89.94,8.78,16.57,0.27,-202.66,38.25,"6,885.00",24.41,6.00,6.37,1.70,15.90,TNH,mai,SERVICE,-
2Q2560,497.70,-36.17,-6.35,54.43,0.30,3.62,4.54,85.22,11.84,10.94,0.23,-179.96,37.25,"6,705.00",23.48,5.45,6.84,1.74,15.54,TNH,mai,SERVICE,-
3Q2560,465.11,20.00,-12.12,64.59,0.36,4.42,5.38,88.65,9.67,13.89,0.21,-181.03,34.00,"6,120.00",21.73,5.24,6.49,1.91,14.53,TNH,mai,SERVICE,-
4Q2560,521.30,33.33,23.08,87.78,0.48,5.67,6.88,89.33,8.62,16.84,0.22,-187.67,35.50,"6,390.00",23.49,5.18,6.85,1.83,14.48,TNH,mai,SERVICE,-
1Q2561,551.07,18.75,21.28,101.85,0.57,6.07,7.43,89.88,8.62,18.48,0.23,-174.23,38.00,"6,840.00",23.54,5.18,7.34,1.58,14.82,TNH,mai,SERVICE,-
2Q2561,553.80,-22.81,46.67,80.61,0.44,4.64,5.72,87.95,10.76,14.56,0.24,-191.48,37.25,"6,705.00",21.72,4.71,7.90,1.61,13.63,TNH,mai,SERVICE,-
3Q2561,526.08,9.09,33.33,86.41,0.48,4.94,6.01,89.36,9.53,16.42,0.20,-192.79,40.25,"7,245.00",21.64,5.19,7.75,1.49,14.22,TNH,mai,SERVICE,-
4Q2561,533.32,2.08,2.08,87.19,0.49,4.78,5.72,89.64,8.76,16.35,0.20,-193.61,39.75,"7,155.00",20.06,4.83,8.23,1.51,13.57,TNH,mai,SERVICE,-
1Q2562,564.16,16.33,0.00,101.94,0.57,5.25,6.29,90.06,8.40,18.07,0.20,-190.03,39.75,"7,155.00",20.09,4.56,8.71,1.51,12.65,TNH,mai,SERVICE,-
2Q2562,544.87,-40.35,-22.73,62.42,0.34,2.70,3.79,87.46,11.03,11.46,0.61,-185.67,37.00,"6,660.00",18.70,3.99,9.28,1.62,13.65,TNH,mai,SERVICE,-
3Q2562,525.42,35.29,-4.17,82.42,0.46,3.56,4.95,89.09,9.56,15.69,0.18,-187.49,36.75,"6,615.00",19.57,4.07,9.03,1.63,13.57,TNH,mai,SERVICE,-
4Q2562,550.63,-15.22,-20.41,70.74,0.39,3.42,4.06,88.92,10.00,12.85,0.20,-184.68,36.25,"6,525.00",19.54,3.82,9.49,1.66,13.83,TNH,mai,SERVICE,-
1Q2563,584.24,48.72,1.75,103.52,0.58,4.73,5.66,91.25,7.41,17.72,0.19,-190.65,33.00,"5,940.00",18.71,3.34,9.88,1.67,12.06,TNH,mai,SERVICE,-
2Q2563,559.65,-41.38,0.00,61.63,0.34,2.77,3.31,87.09,11.54,11.01,0.19,-185.13,31.75,"5,715.00",17.91,3.04,10.45,1.73,11.68,TNH,mai,SERVICE,-
3Q2563,432.64,-41.18,-56.52,35.97,0.20,1.64,1.93,87.72,10.39,8.31,0.17,-185.22,29.75,"5,355.00",16.82,2.90,10.24,1.85,13.10,TNH,mai,SERVICE,-
4Q2563,460.93,50.00,-23.08,55.22,0.30,2.49,2.90,89.97,9.01,11.98,0.16,-183.78,33.25,"5,985.00",22.02,3.18,10.44,1.65,14.86,TNH,mai,SERVICE,-
1Q2564,499.92,30.00,-32.76,70.32,0.39,3.07,3.58,89.57,9.33,14.07,0.17,-172.01,33.00,"5,940.00",23.17,3.08,10.73,1.36,17.06,TNH,mai,SERVICE,-
2Q2564,496.46,-30.77,-20.59,49.33,0.27,2.12,2.49,88.87,9.82,9.94,0.18,-177.65,31.50,"5,670.00",25.41,2.84,11.10,1.43,16.87,TNH,mai,SERVICE,-
3Q2564,461.24,14.07,53.99,54.58,0.31,2.34,2.74,89.24,9.99,11.83,0.16,-175.27,30.75,"5,535.00",26.25,2.82,10.92,1.46,14.96,TNH,mai,SERVICE,-
4Q2564,605.46,114.98,120.70,119.18,0.66,4.87,5.72,91.31,8.08,19.68,0.19,-178.18,31.50,"5,670.00",24.71,2.81,11.22,1.43,12.83,TNH,mai,SERVICE,-
2Q2565,"1,366.83",118.22,435.14,260.08,1.44,9.74,11.64,90.71,8.73,19.03,0.20,-138.20,34.25,"6,165.00",16.91,2.69,12.72,1.46,8.80,TNH,mai,SERVICE,-
3Q2565,632.78,-56.42,104.46,113.35,0.63,3.99,4.77,90.88,8.31,17.91,0.19,-148.90,36.50,"6,570.00",15.14,2.83,12.88,1.37,8.29,TNH,mai,SERVICE,-
4Q2565,605.03,-54.19,-56.43,51.92,0.29,1.77,2.11,83.90,15.27,8.58,0.20,-136.92,36.00,"6,525.00",13.25,2.68,13.51,1.38,8.06,TNH,mai,SERVICE,-
