,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,445.98,,300.00,76.81,0.16,3.95,5.08,77.03,12.37,17.22,0.32,692.77,3.26,"1,536.34",N/A,1.04,3.13,1.53,12.78,TOG,SET,CONSUMP,PERSON
2Q2555,389.93,-51.88,54.00,34.84,0.08,1.70,2.22,87.46,10.06,8.94,0.30,677.81,3.32,"1,564.62",N/A,1.01,3.29,1.51,11.29,TOG,SET,CONSUMP,PERSON
3Q2555,321.84,,-70.00,-8.81,-0.02,-0.43,-0.56,83.59,14.71,-2.74,0.33,663.42,3.72,"1,756.89",402.88,1.11,3.37,1.34,13.10,TOG,SET,CONSUMP,PERSON
4Q2555,414.17,,,63.55,0.13,3.10,4.07,71.35,9.95,15.35,0.29,"1,016.08",3.42,"1,615.21","2,052.83",1.05,3.24,1.46,5.87,TOG,SET,CONSUMP,PERSON
1Q2556,386.62,-69.23,-75.00,16.93,0.04,0.82,1.05,84.70,13.48,4.38,0.27,"1,085.06",3.74,"1,767.72",10.62,1.11,3.37,6.68,7.37,TOG,SET,CONSUMP,PERSON
2Q2556,420.31,127.50,18.18,45.09,0.09,2.21,2.78,87.18,11.07,10.73,0.25,"1,068.83",3.36,"1,588.11",14.91,0.97,3.46,7.44,6.33,TOG,SET,CONSUMP,PERSON
3Q2556,428.27,28.57,,55.27,0.12,2.74,3.41,84.73,10.72,12.90,0.25,"1,048.00",3.30,"1,561.84",13.38,0.97,3.40,7.56,4.84,TOG,SET,CONSUMP,PERSON
4Q2556,435.04,-29.91,-36.92,36.93,0.08,1.82,2.24,86.25,12.22,8.49,0.21,958.66,3.62,"1,713.29",9.47,1.05,3.44,6.89,5.61,TOG,SET,CONSUMP,PERSON
1Q2557,492.06,70.73,250.00,66.91,0.14,3.24,3.94,88.39,10.12,13.60,0.22,940.58,4.16,"1,973.16",12.80,1.19,3.52,6.73,5.36,TOG,SET,CONSUMP,PERSON
2Q2557,470.14,-14.29,31.87,54.43,0.12,2.56,3.18,87.66,10.99,11.58,0.26,891.06,5.00,"2,371.59",11.61,1.37,3.65,5.60,6.39,TOG,SET,CONSUMP,PERSON
3Q2557,437.22,-33.33,-31.62,37.82,0.08,1.76,2.25,85.22,12.77,8.65,0.29,867.18,6.25,"2,964.49",13.88,1.75,3.57,4.48,8.41,TOG,SET,CONSUMP,PERSON
4Q2557,463.03,12.50,9.76,44.12,0.09,2.02,2.60,83.35,14.70,9.53,0.28,829.75,5.65,"2,679.90",13.67,1.60,3.53,4.95,7.56,TOG,SET,CONSUMP,PERSON
1Q2558,476.46,0.00,-35.71,43.47,0.09,1.97,2.50,86.73,10.82,9.12,0.25,843.32,6.15,"2,917.06",14.35,1.70,3.62,5.69,8.66,TOG,SET,CONSUMP,PERSON
2Q2558,412.32,-2.41,-26.81,40.88,0.09,1.84,2.37,84.91,12.69,9.92,0.33,866.84,5.80,"2,751.04",15.30,1.56,3.71,6.03,8.83,TOG,SET,CONSUMP,PERSON
3Q2558,477.98,118.80,140.21,89.62,0.19,3.91,5.21,85.14,10.79,18.75,0.34,889.07,5.60,"2,656.18",15.97,1.57,3.57,6.25,7.30,TOG,SET,CONSUMP,PERSON
4Q2558,508.57,-42.76,22.22,55.66,0.11,2.43,3.14,86.94,10.99,10.95,0.25,936.39,5.70,"2,703.61",12.40,1.55,3.68,6.14,6.94,TOG,SET,CONSUMP,PERSON
1Q2559,533.22,45.45,77.78,75.30,0.16,3.36,4.10,86.29,11.86,14.12,0.19,878.86,6.85,"3,249.08",14.15,1.81,3.79,5.55,7.26,TOG,SET,CONSUMP,PERSON
2Q2559,452.16,-56.25,-20.30,32.85,0.07,1.46,1.81,83.69,13.90,7.27,0.29,810.61,8.05,"3,818.26",14.60,2.04,3.95,4.72,8.88,TOG,SET,CONSUMP,PERSON
3Q2559,439.21,51.77,-44.72,51.34,0.11,2.12,2.90,84.71,12.72,11.69,0.45,717.70,9.15,"4,340.01",17.12,2.46,3.72,4.15,11.94,TOG,SET,CONSUMP,PERSON
4Q2559,564.38,82.38,76.15,90.88,0.19,3.52,5.01,83.90,12.04,16.10,0.40,633.37,8.40,"3,984.27",18.52,2.25,3.73,4.52,9.93,TOG,SET,CONSUMP,PERSON
1Q2560,461.92,-49.02,-38.27,46.85,0.10,1.79,2.49,82.32,16.06,10.14,0.39,585.43,9.90,"4,695.75",18.76,2.53,3.91,4.24,12.41,TOG,SET,CONSUMP,PERSON
2Q2560,482.58,-38.01,-12.53,28.18,0.06,1.08,1.53,87.32,11.43,5.84,0.44,627.61,8.70,"4,126.57",18.59,2.17,4.01,4.83,11.52,TOG,SET,CONSUMP,PERSON
3Q2560,487.43,63.32,-5.87,47.55,0.10,1.88,2.67,83.47,14.04,9.76,0.39,696.70,8.15,"3,865.69",17.79,2.17,3.75,5.15,10.82,TOG,SET,CONSUMP,PERSON
4Q2560,480.33,30.00,-32.91,60.87,0.13,2.38,3.35,84.81,13.31,12.67,0.43,806.79,7.95,"3,770.83",17.66,2.11,3.77,5.28,11.42,TOG,SET,CONSUMP,PERSON
1Q2561,459.05,-69.23,-59.50,17.79,0.04,0.67,0.96,80.21,17.78,3.87,0.44,879.44,7.10,"3,367.66",18.36,1.82,3.90,4.93,11.15,TOG,SET,CONSUMP,PERSON
2Q2561,452.32,42.50,-6.91,28.14,0.06,1.07,1.55,82.31,15.28,6.22,0.46,906.62,4.82,"2,286.21",14.81,1.23,3.93,7.26,8.29,TOG,SET,CONSUMP,PERSON
3Q2561,452.17,-59.65,-77.00,13.07,0.02,0.51,0.74,80.51,15.53,2.89,0.46,941.78,4.80,"2,276.73",14.75,1.29,3.72,7.29,9.11,TOG,SET,CONSUMP,PERSON
4Q2561,530.62,716.83,44.52,87.03,0.19,3.41,4.85,85.21,12.05,16.40,0.39,953.14,4.36,"2,068.03",17.25,1.18,3.69,8.03,7.42,TOG,SET,CONSUMP,PERSON
1Q2562,561.11,-9.51,325.00,80.48,0.17,3.12,4.29,87.24,11.66,14.34,0.36,992.08,4.98,"2,362.10",16.18,1.29,3.87,5.62,6.59,TOG,SET,CONSUMP,PERSON
2Q2562,465.79,-82.35,-47.37,14.32,0.03,0.55,0.76,86.90,12.56,3.07,0.43,"1,033.15",5.70,"2,703.61",12.95,1.41,4.04,4.91,7.97,TOG,SET,CONSUMP,PERSON
3Q2562,467.02,66.67,117.39,24.75,0.05,0.95,1.36,86.66,12.41,5.30,0.43,"1,069.73",5.20,"2,466.45",12.65,1.35,3.85,5.38,7.50,TOG,SET,CONSUMP,PERSON
4Q2562,525.53,-42.84,-84.79,12.58,0.03,0.49,0.70,85.87,13.06,2.39,0.43,"1,041.54",5.85,"2,774.76",13.43,1.54,3.81,4.79,10.49,TOG,SET,CONSUMP,PERSON
1Q2563,456.72,181.04,-52.75,38.10,0.08,1.45,2.13,85.88,13.73,8.34,0.50,"1,059.44",3.24,"1,536.79",,,,7.72,8.38,TOG,SET,CONSUMP,PERSON
2Q2563,226.26,,,-53.20,-0.11,-2.00,-3.04,79.07,19.96,-23.51,0.54,"1,150.86",3.46,"1,641.14",18.29,0.92,3.74,7.23,11.66,TOG,SET,CONSUMP,PERSON
3Q2563,538.29,,-16.00,20.82,0.04,0.77,1.20,89.27,10.27,3.87,0.59,"1,114.47",3.32,"1,574.74",70.84,0.91,3.63,7.53,12.13,TOG,SET,CONSUMP,PERSON
4Q2563,628.05,216.67,365.36,63.06,0.13,2.26,3.55,89.19,9.98,10.04,0.56,"1,095.14",3.62,"1,717.03",93.82,0.98,3.68,6.91,9.34,TOG,SET,CONSUMP,PERSON
1Q2564,587.40,52.26,152.12,96.05,0.20,3.35,5.18,87.77,11.25,16.35,0.53,"1,047.70",4.68,"2,219.81",32.27,1.23,3.81,2.56,8.81,TOG,SET,CONSUMP,PERSON
2Q2564,585.48,-9.62,,86.81,0.18,2.98,4.53,87.57,10.91,14.83,0.51,966.31,6.85,"3,249.08",25.64,1.71,4.01,1.75,8.09,TOG,SET,CONSUMP,PERSON
3Q2564,554.08,-41.22,156.14,51.02,0.11,1.74,2.68,87.37,12.28,9.21,0.56,"1,005.79",8.95,"4,245.15",15.91,2.20,4.07,1.34,9.49,TOG,SET,CONSUMP,PERSON
4Q2564,691.75,49.40,20.84,76.24,0.16,2.62,3.97,88.07,8.82,11.02,0.48,"1,093.42",10.40,"4,932.91",16.61,2.62,3.97,1.15,10.85,TOG,SET,CONSUMP,PERSON
1Q2565,654.84,-0.30,-20.87,76.00,0.16,2.58,3.81,88.07,11.24,11.61,0.48,"1,126.66",9.65,"4,577.17",,,,5.80,10.52,TOG,SET,CONSUMP,PERSON
2Q2565,695.13,43.61,25.72,109.14,0.23,3.65,5.44,87.04,11.44,15.70,0.50,"1,061.89",7.70,"3,699.68",12.75,1.82,4.29,7.18,8.63,TOG,SET,CONSUMP,PERSON
3Q2565,762.53,5.94,126.59,115.63,0.24,3.86,5.79,88.22,11.17,15.16,0.50,"1,000.82",9.40,"4,600.88",14.73,2.33,4.17,5.77,9.35,TOG,SET,CONSUMP,PERSON
