,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"117,313.69",289.01,0.00,"7,211.96",3.54,4.25,8.14,99.33,0.48,6.15,1.00,"2,334.37",72.50,"147,902.02",9.96,1.86,38.96,4.55,8.09,TOP,SET,RESOURC,ENERG
2Q2555,"112,862.12",,,"-6,815.04",-3.38,-3.95,-7.86,98.96,0.62,-6.04,0.98,"2,108.59",57.50,"117,301.60",7.90,1.35,42.49,5.74,12.15,TOP,SET,RESOURC,ENERG
3Q2555,"106,532.38",,298.39,"10,209.29",4.94,6.09,11.91,99.26,0.43,9.58,0.93,"1,895.39",65.25,"133,111.82",28.30,1.76,37.12,5.06,8.85,TOP,SET,RESOURC,ENERG
4Q2555,"112,073.58",-80.97,3.30,"2,049.61",0.94,1.19,2.26,99.03,0.69,1.83,0.88,"1,768.32",67.50,"137,701.88",11.23,1.62,41.54,4.89,8.84,TOP,SET,RESOURC,ENERG
1Q2556,"105,926.06",127.66,-39.55,"4,529.67",2.14,2.39,4.92,98.50,0.54,4.28,1.23,"1,525.14",65.50,"133,621.83",10.85,1.54,42.42,4.12,11.32,TOP,SET,RESOURC,ENERG
2Q2556,"94,336.16",,77.22,"-1,503.54",-0.77,-0.73,-1.66,98.20,0.63,-1.59,1.30,"1,583.44",63.00,"128,521.76",13.59,1.41,44.54,4.29,9.09,TOP,SET,RESOURC,ENERG
3Q2556,"109,469.01",,-24.49,"7,710.29",3.73,3.71,8.51,98.62,0.50,7.04,1.28,"1,571.82",57.75,"117,811.61",7.96,1.39,41.56,4.68,9.24,TOP,SET,RESOURC,ENERG
4Q2556,"108,782.87",,,117.14,-0.01,0.06,0.12,98.43,0.81,0.11,1.20,"1,567.25",56.25,"114,751.57",9.30,1.26,44.50,4.80,9.76,TOP,SET,RESOURC,ENERG
1Q2557,"113,246.75",,-42.06,"2,588.24",1.24,1.21,2.69,98.66,0.44,2.29,1.23,"1,777.51",53.00,"108,121.48",10.40,1.19,44.51,4.34,9.91,TOP,SET,RESOURC,ENERG
2Q2557,"100,855.49",-16.94,,"2,169.26",1.03,1.05,2.23,99.64,0.57,2.15,1.04,"2,137.88",52.00,"106,081.45",12.39,1.14,45.81,4.42,7.70,TOP,SET,RESOURC,ENERG
3Q2557,"90,576.23",,,"-2,089.00",-1.07,-1.03,-2.20,96.79,0.65,-2.31,1.23,"2,062.64",51.50,"105,061.44",8.60,1.14,45.33,4.47,15.05,TOP,SET,RESOURC,ENERG
4Q2557,"89,714.61",-196.26,"-31,600.00","-6,372.71",-3.17,-3.18,-7.06,97.61,1.09,-7.10,1.22,"1,744.15",42.00,"85,681.17",35.13,0.96,43.71,5.48,29.93,TOP,SET,RESOURC,ENERG
