,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,271.91,53.88,-7.42,20.23,3.37,2.15,2.71,88.86,8.94,7.44,0.26,-87.81,81.00,486.00,6.21,0.66,122.70,4.69,4.94,TOPP,SET,INDUS,PKG
2Q2555,282.73,40.50,19.69,28.40,4.73,2.97,3.74,87.49,9.25,10.05,0.25,-140.44,0.00,501.00,6.53,0.66,126.07,4.55,4.87,TOPP,SET,INDUS,PKG
3Q2555,283.00,-32.51,-2.11,19.15,3.20,2.01,2.48,87.82,9.23,6.77,0.21,-115.07,102.00,612.00,7.52,0.80,127.01,3.73,5.16,TOPP,SET,INDUS,PKG
4Q2555,283.07,6.02,54.68,20.35,3.39,2.12,2.57,87.03,10.08,7.19,0.21,-91.11,110.00,660.00,8.16,0.84,130.20,3.45,5.35,TOPP,SET,INDUS,PKG
1Q2556,311.09,6.75,7.31,21.70,3.62,2.21,2.67,88.08,9.34,6.97,0.20,-53.40,0.00,672.00,7.63,0.84,133.59,3.75,5.22,TOPP,SET,INDUS,PKG
2Q2556,320.79,35.97,3.86,29.50,4.92,2.94,3.56,87.44,9.74,9.20,0.22,-27.55,0.00,750.00,8.37,0.91,137.61,3.36,5.66,TOPP,SET,INDUS,PKG
3Q2556,346.93,-6.20,44.35,27.67,4.61,2.69,3.28,86.96,9.90,7.98,0.22,-16.29,112.50,675.00,7.44,0.81,138.33,3.73,4.79,TOPP,SET,INDUS,PKG
4Q2556,304.36,-32.14,-7.60,18.78,3.13,1.81,2.16,88.22,9.09,6.17,0.18,14.27,0.00,714.00,7.20,0.83,142.94,3.53,4.86,TOPP,SET,INDUS,PKG
1Q2557,333.38,2.24,-11.51,19.20,3.20,1.82,2.16,88.32,9.55,5.76,0.19,29.11,0.00,708.00,7.25,0.81,146.57,3.90,4.99,TOPP,SET,INDUS,PKG
2Q2557,343.95,50.09,-2.32,28.82,4.80,2.68,3.20,88.14,9.54,8.38,0.20,48.20,117.00,702.00,7.38,0.78,150.35,3.93,4.95,TOPP,SET,INDUS,PKG
3Q2557,339.85,1.47,5.67,29.24,4.87,2.69,3.20,94.39,5.39,8.60,0.18,55.70,131.00,786.00,8.32,0.87,149.98,3.51,5.21,TOPP,SET,INDUS,PKG
4Q2557,344.88,-28.41,11.47,20.93,3.49,1.89,2.23,90.97,7.37,6.07,0.18,41.17,0.00,873.00,9.09,0.94,154.85,3.16,5.49,TOPP,SET,INDUS,PKG
1Q2558,358.56,8.56,18.37,22.73,3.79,2.01,2.36,89.05,8.60,6.34,0.17,39.85,150.00,900.00,9.17,0.95,158.34,3.07,5.22,TOPP,SET,INDUS,PKG
2Q2558,366.65,24.80,-1.58,28.36,4.73,2.46,2.91,91.60,7.26,7.74,0.20,19.76,0.00,876.00,8.61,0.90,162.13,3.15,5.13,TOPP,SET,INDUS,PKG
3Q2558,358.43,-4.43,-7.30,27.11,4.52,2.30,2.74,91.22,7.21,7.56,0.18,14.26,0.00,846.00,8.35,0.87,162.29,3.26,4.95,TOPP,SET,INDUS,PKG
4Q2558,373.37,-33.14,-13.43,18.12,3.02,1.49,1.79,90.85,8.11,4.85,0.21,-24.43,0.00,897.00,9.05,0.89,167.61,3.08,5.22,TOPP,SET,INDUS,PKG
1Q2559,363.31,52.29,21.44,27.62,4.60,2.22,2.66,90.81,8.04,7.60,0.19,-43.50,0.00,900.00,9.34,0.88,170.61,3.10,4.97,TOPP,SET,INDUS,PKG
2Q2559,382.25,11.54,8.53,30.77,5.13,2.46,2.92,90.43,8.83,8.05,0.19,-26.91,0.00,"1,020.00",10.08,0.97,175.22,2.74,5.74,TOPP,SET,INDUS,PKG
3Q2559,397.89,4.96,19.19,32.31,5.39,2.58,3.03,90.62,6.81,8.12,0.17,-10.94,0.00,"1,038.00",10.02,0.98,175.69,2.69,5.25,TOPP,SET,INDUS,PKG
4Q2559,362.54,-42.19,3.06,18.68,3.11,1.48,1.71,92.34,7.46,5.15,0.14,44.75,0.00,972.00,8.93,0.90,180.14,2.87,4.87,TOPP,SET,INDUS,PKG
1Q2560,406.97,93.22,30.76,36.09,6.01,2.74,3.22,90.79,8.21,8.87,0.21,26.11,0.00,"1,140.00",10.42,1.03,184.19,2.71,5.73,TOPP,SET,INDUS,PKG
2Q2560,405.20,-12.59,2.48,31.55,5.26,2.31,2.77,91.83,7.50,7.79,0.19,-7.92,0.00,"1,320.00",11.20,1.16,189.45,2.34,6.36,TOPP,SET,INDUS,PKG
3Q2560,392.69,-8.80,-10.96,28.77,4.79,2.10,2.50,91.02,7.85,7.33,0.18,-30.81,0.00,"1,320.00",11.13,1.16,189.55,2.34,6.63,TOPP,SET,INDUS,PKG
4Q2560,381.87,-23.96,17.12,21.88,3.65,1.56,1.86,89.76,9.06,5.73,0.20,-71.58,225.00,"1,350.00",11.73,1.16,194.35,2.29,6.97,TOPP,SET,INDUS,PKG
1Q2561,398.99,25.26,-24.08,27.40,4.57,1.91,2.29,90.31,8.64,6.87,0.20,-68.31,0.00,"1,344.00",11.36,1.14,197.21,2.60,7.47,TOPP,SET,INDUS,PKG
2Q2561,402.61,-14.07,-25.36,23.54,3.92,1.62,1.95,89.23,8.85,5.85,0.20,-54.76,0.00,"1,422.00",12.98,1.18,201.41,2.46,7.81,TOPP,SET,INDUS,PKG
3Q2561,415.04,-5.73,-22.85,22.20,3.70,1.54,1.83,90.19,8.32,5.35,0.17,-26.55,0.00,"1,200.00",11.81,1.00,200.12,2.92,6.78,TOPP,SET,INDUS,PKG
4Q2561,456.73,-2.26,-0.83,21.69,3.62,1.52,1.76,91.35,8.46,4.75,0.15,22.73,0.00,"1,176.00",12.38,0.96,203.35,2.97,6.13,TOPP,SET,INDUS,PKG
1Q2562,407.39,-6.48,-25.96,20.29,3.38,1.41,1.61,90.79,7.91,4.98,0.14,59.23,0.00,"1,134.00",11.96,0.91,207.39,2.47,6.06,TOPP,SET,INDUS,PKG
2Q2562,396.25,53.45,32.22,31.16,5.19,2.12,2.46,89.87,8.69,7.86,0.18,56.11,0.00,"1,026.00",11.70,0.81,211.45,2.73,5.80,TOPP,SET,INDUS,PKG
3Q2562,415.51,23.24,72.86,38.34,6.39,2.58,2.98,90.54,8.01,9.23,0.12,60.97,176.00,"1,056.00",11.08,0.83,211.55,2.65,4.91,TOPP,SET,INDUS,PKG
4Q2562,380.35,-38.03,9.59,23.77,3.96,1.60,1.80,89.53,9.30,6.25,0.13,55.13,180.00,"1,080.00",9.69,0.83,217.97,2.59,5.42,TOPP,SET,INDUS,PKG
1Q2563,428.79,63.09,91.12,38.77,6.46,2.46,2.87,91.86,7.25,9.04,0.21,48.63,165.00,990.00,,,,3.33,3.89,TOPP,SET,INDUS,PKG
2Q2563,413.34,25.88,56.78,48.81,8.13,2.92,3.54,91.67,7.60,11.81,0.22,88.69,0.00,"1,032.00",7.82,0.75,229.02,3.20,4.00,TOPP,SET,INDUS,PKG
3Q2563,392.23,-42.65,-27.04,27.99,4.67,1.66,2.00,92.30,7.04,7.14,0.20,87.79,0.00,"1,146.00",7.66,0.83,230.54,2.88,4.81,TOPP,SET,INDUS,PKG
4Q2563,365.81,-45.18,-35.45,15.35,2.56,0.90,1.08,89.95,9.09,4.19,0.20,73.13,0.00,"1,134.00",8.14,0.80,235.45,2.91,5.00,TOPP,SET,INDUS,PKG
1Q2564,400.22,104.44,-19.09,31.37,5.23,1.85,2.21,91.63,7.52,7.84,0.19,72.80,200.00,"1,200.00",9.17,0.84,237.27,3.17,5.52,TOPP,SET,INDUS,PKG
2Q2564,389.46,-42.35,-62.95,18.09,3.01,1.07,1.29,90.97,7.74,4.64,0.22,68.91,0.00,"1,260.00",10.11,0.86,243.09,3.01,6.49,TOPP,SET,INDUS,PKG
3Q2564,405.07,9.60,-29.19,19.82,3.30,1.17,1.41,91.24,7.27,4.89,0.19,94.82,0.00,"1,230.00",12.86,0.85,240.63,3.09,6.41,TOPP,SET,INDUS,PKG
4Q2564,408.24,-42.06,-25.17,11.48,1.91,0.68,0.81,91.14,7.52,2.81,0.19,113.35,160.50,963.00,10.86,0.65,245.29,3.94,5.65,TOPP,SET,INDUS,PKG
1Q2565,427.90,78.22,-34.76,20.47,3.41,1.19,1.42,92.04,6.79,4.78,0.20,132.57,0.00,999.00,,,,2.43,6.11,TOPP,SET,INDUS,PKG
2Q2565,460.63,45.07,64.17,29.69,4.95,1.71,2.04,91.68,6.97,6.45,0.20,146.59,0.00,954.00,12.26,0.63,251.59,2.55,4.66,TOPP,SET,INDUS,PKG
3Q2565,424.13,-35.81,-3.85,19.06,3.18,1.09,1.30,91.51,7.16,4.49,0.18,140.34,0.00,963.00,10.74,0.63,253.48,2.52,4.65,TOPP,SET,INDUS,PKG
