,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,368.94,144.35,45.39,35.33,2.91,3.46,5.62,92.26,7.57,9.58,0.69,-572.64,64.00,777.60,11.63,1.27,50.26,7.03,8.14,TPA,SET,INDUS,PETRO
2Q2555,432.48,-5.69,291.75,33.27,2.74,3.02,5.24,86.88,6.88,7.69,0.78,-578.41,63.00,765.45,9.83,1.18,53.17,7.14,6.95,TPA,SET,INDUS,PETRO
3Q2555,391.29,-29.62,19.88,23.51,1.93,2.19,3.77,89.45,7.79,6.01,0.66,-540.83,77.75,944.66,9.20,1.51,51.41,5.79,7.76,TPA,SET,INDUS,PETRO
4Q2555,388.96,-43.52,-8.40,13.26,1.09,1.25,2.10,86.55,10.76,3.41,0.70,-583.13,0.00,"1,075.28",10.09,1.72,51.34,5.08,8.82,TPA,SET,INDUS,PETRO
1Q2556,401.55,-87.16,-95.19,16.67,0.14,1.51,2.58,89.48,7.71,4.15,0.72,-596.30,99.25,"1,205.89",11.44,1.89,52.40,7.05,11.64,TPA,SET,INDUS,PETRO
2Q2556,350.46,0.00,-94.89,17.16,0.14,1.60,2.72,88.01,8.53,4.90,0.67,-582.26,8.20,996.30,11.49,1.52,5.38,8.54,12.22,TPA,SET,INDUS,PETRO
3Q2556,343.80,-42.86,-95.85,9.50,0.08,0.94,1.55,88.81,8.77,2.76,0.62,-580.01,7.80,947.70,13.42,1.55,5.02,8.97,13.77,TPA,SET,INDUS,PETRO
4Q2556,285.87,,,-9.92,-0.08,-1.00,-1.61,96.97,12.06,-3.47,0.62,-590.48,6.95,844.42,14.92,1.36,5.10,10.07,18.10,TPA,SET,INDUS,PETRO
1Q2557,306.11,,-35.71,10.48,0.09,1.05,1.70,85.67,9.78,3.42,0.62,-535.79,6.90,838.35,25.09,1.38,5.02,3.62,21.20,TPA,SET,INDUS,PETRO
2Q2557,324.09,11.11,-28.57,12.71,0.10,1.27,2.08,82.05,10.28,3.92,0.64,-490.74,6.75,820.13,30.12,1.32,5.10,3.70,23.79,TPA,SET,INDUS,PETRO
3Q2557,308.79,-60.00,-50.00,4.46,0.04,0.45,0.74,85.48,9.97,1.44,0.60,-445.24,6.50,789.75,34.68,1.31,4.96,3.85,26.08,TPA,SET,INDUS,PETRO
4Q2557,306.36,-25.00,,3.77,0.03,0.40,0.62,99.31,8.86,1.23,0.53,-422.24,6.10,741.15,41.81,1.22,4.99,4.10,16.80,TPA,SET,INDUS,PETRO
1Q2558,271.61,242.27,14.09,12.48,0.10,1.34,2.02,90.19,9.74,4.59,0.50,-384.03,6.25,759.38,24.17,1.24,5.02,3.20,15.44,TPA,SET,INDUS,PETRO
2Q2558,309.62,72.69,77.32,21.48,0.18,2.29,3.46,86.51,10.22,6.94,0.52,-348.48,5.65,686.48,20.54,1.10,5.13,3.54,12.49,TPA,SET,INDUS,PETRO
3Q2558,299.48,7.15,375.00,23.28,0.19,2.49,3.68,85.89,11.24,7.77,0.44,-313.36,0.00,674.33,15.99,1.09,5.10,3.60,8.42,TPA,SET,INDUS,PETRO
4Q2558,249.87,-78.19,38.13,4.91,0.04,0.53,0.76,89.71,16.53,1.97,0.43,-256.50,7.00,850.50,13.94,1.32,5.30,2.86,9.57,TPA,SET,INDUS,PETRO
1Q2559,230.63,329.71,73.42,21.64,0.18,2.33,3.29,86.70,13.07,9.38,0.39,-229.45,7.10,862.65,13.88,1.33,5.33,5.63,8.31,TPA,SET,INDUS,PETRO
2Q2559,237.25,7.54,7.99,23.27,0.19,2.55,3.54,85.47,14.10,9.81,0.39,-198.24,6.80,826.20,11.59,1.23,5.51,5.88,8.08,TPA,SET,INDUS,PETRO
3Q2559,298.40,-10.69,-9.99,20.78,0.17,2.22,3.18,85.99,11.42,6.96,0.47,-216.84,6.25,759.38,10.39,1.18,5.30,6.40,7.80,TPA,SET,INDUS,PETRO
4Q2559,267.78,-82.31,-26.98,3.68,0.03,0.38,0.55,89.50,12.63,1.37,0.48,-255.74,6.80,826.20,11.70,1.24,5.47,5.88,8.48,TPA,SET,INDUS,PETRO
