,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2556,,,,,,,,,,,0.80,,,,,,,,,TPCH,mai,RESOURC,-
3Q2557,193.10,,,40.14,0.08,2.87,5.60,,14.95,20.79,1.08,,,,,,,,,TPCH,mai,RESOURC,-
4Q2557,68.67,-87.36,,9.37,0.01,0.40,0.69,,22.85,13.65,0.58,,,,,,,,,TPCH,mai,RESOURC,-
1Q2558,61.88,-66.53,,4.82,0.00,0.16,0.25,,22.63,7.80,0.46,,19.80,"7,920.00",277.91,0.00,0.00,0.00,75.34,TPCH,mai,RESOURC,-
2Q2558,67.58,310.36,,10.37,0.01,0.35,0.51,,20.71,15.34,0.46,,20.50,"8,224.60",445.86,4.77,4.31,0.00,66.85,TPCH,mai,RESOURC,-
3Q2558,61.11,-4.97,-83.50,8.96,0.01,0.29,0.43,,17.96,14.65,0.46,,16.20,"6,499.44",434.17,3.75,4.32,0.00,93.23,TPCH,mai,RESOURC,-
4Q2558,131.94,551.29,749.90,44.23,0.09,1.39,2.09,,6.35,33.53,0.54,,17.00,"6,820.40",428.60,3.92,4.33,0.00,63.07,TPCH,mai,RESOURC,-
1Q2559,137.19,-9.14,"2,207.40",40.77,0.08,1.22,1.89,,10.00,29.72,0.56,,16.90,"6,780.28",145.46,3.83,4.42,0.00,45.64,TPCH,mai,RESOURC,-
2Q2559,154.12,60.35,801.66,59.91,0.13,1.69,2.70,,11.55,38.87,0.63,,16.80,"6,740.16",88.05,3.74,4.49,0.00,34.30,TPCH,mai,RESOURC,-
3Q2559,182.87,-1.28,836.72,65.88,0.12,1.65,2.87,,12.54,36.02,0.84,,18.70,"7,502.44",61.92,4.04,4.63,0.00,30.44,TPCH,mai,RESOURC,-
4Q2559,214.19,41.67,103.76,93.41,0.17,2.13,3.91,,6.65,43.61,0.83,,18.10,"7,261.72",43.90,3.81,4.75,0.00,24.89,TPCH,mai,RESOURC,-
1Q2560,240.26,-8.91,104.28,89.05,0.16,1.94,3.60,,7.35,37.06,0.88,,19.20,"7,703.04",38.29,3.90,4.92,0.16,23.13,TPCH,mai,RESOURC,-
2Q2560,244.33,-36.54,-19.16,65.10,0.10,1.35,2.55,,16.18,26.64,0.90,,18.40,"7,382.08",31.57,3.62,5.08,0.16,21.77,TPCH,mai,RESOURC,-
3Q2560,297.86,-35.36,-47.07,57.60,0.07,1.16,2.19,,1.85,19.34,0.90,,16.90,"6,780.28",30.24,3.28,5.16,0.18,19.66,TPCH,mai,RESOURC,-
4Q2560,324.59,195.24,10.31,114.54,0.19,2.25,4.23,,6.81,35.29,0.87,,14.40,"5,777.28",28.76,2.76,5.22,0.21,16.30,TPCH,mai,RESOURC,-
1Q2561,346.30,5.02,27.18,119.60,0.20,2.27,4.24,,6.20,34.53,0.88,,10.90,"4,373.08",21.01,2.01,5.41,0.52,12.43,TPCH,mai,RESOURC,-
2Q2561,398.11,12.22,124.91,143.51,0.23,2.65,4.88,,6.59,36.05,0.81,,8.95,"3,590.74",15.92,1.59,5.61,0.63,9.19,TPCH,mai,RESOURC,-
3Q2561,403.60,-0.18,247.33,149.20,0.23,2.72,4.85,,7.20,36.97,0.77,,10.30,"4,132.36",15.01,1.78,5.78,0.55,8.60,TPCH,mai,RESOURC,-
4Q2561,421.94,-0.82,16.67,148.45,0.23,2.57,4.62,,7.83,35.18,0.82,,9.00,"3,610.80",10.59,1.50,6.01,0.63,7.81,TPCH,mai,RESOURC,-
1Q2562,395.02,-6.05,4.38,134.65,0.21,2.17,4.04,,6.97,34.09,0.90,,10.00,"4,012.00",11.34,1.60,6.24,0.62,8.40,TPCH,mai,RESOURC,-
2Q2562,415.97,12.49,4.63,149.95,0.24,2.24,4.35,,6.73,36.05,0.98,,12.80,"5,135.36",14.37,1.98,6.45,0.49,10.19,TPCH,mai,RESOURC,-
3Q2562,428.79,1.79,6.69,157.39,0.24,2.17,4.43,,7.09,36.70,1.09,,13.30,"5,335.96",14.72,2.00,6.63,0.47,10.92,TPCH,mai,RESOURC,-
4Q2562,415.74,-15.54,-9.14,133.22,0.20,1.73,3.64,,8.79,32.04,1.11,,12.50,"5,015.00",13.64,1.84,6.78,0.50,11.11,TPCH,mai,RESOURC,-
1Q2563,397.79,4.47,1.03,135.27,0.21,1.68,3.59,,7.55,34.01,1.16,,8.05,"3,229.66",8.98,1.15,6.98,2.57,9.28,TPCH,mai,RESOURC,-
2Q2563,442.03,8.40,-2.64,144.18,0.23,1.72,3.74,,7.54,32.62,1.19,,11.50,"4,613.80",12.80,1.60,7.19,1.80,11.28,TPCH,mai,RESOURC,-
3Q2563,475.83,-34.22,-37.09,106.14,0.15,1.25,2.71,,5.26,22.31,1.16,,11.10,"4,453.32",12.44,1.52,7.30,1.86,11.32,TPCH,mai,RESOURC,-
4Q2563,473.63,-81.71,-86.37,39.89,0.03,0.46,1.00,,7.08,8.42,1.14,,12.30,"4,934.76",15.33,1.67,7.37,1.68,12.94,TPCH,mai,RESOURC,-
1Q2564,567.19,324.40,-44.64,85.13,0.12,0.97,2.11,,6.51,15.01,1.21,,12.80,"5,135.36",20.46,1.73,7.40,1.55,13.18,TPCH,mai,RESOURC,-
2Q2564,645.00,2.00,-47.91,87.21,0.12,0.99,2.17,,5.08,13.52,1.19,,11.90,"4,774.28",22.45,1.58,7.51,1.66,12.62,TPCH,mai,RESOURC,-
3Q2564,661.48,6.95,-15.31,96.97,0.13,1.02,2.38,,5.00,14.66,1.49,,10.90,"4,373.08",26.01,1.45,7.52,1.82,11.38,TPCH,mai,RESOURC,-
4Q2564,604.22,,,17.80,-0.03,0.18,0.45,,5.00,2.95,1.54,,12.10,"4,854.52",30.57,1.58,7.65,1.64,12.47,TPCH,mai,RESOURC,-
1Q2565,661.96,,-22.05,70.62,0.09,0.75,1.87,,4.78,10.67,1.45,,10.90,"4,373.08",32.30,1.52,7.19,3.63,11.53,TPCH,mai,RESOURC,-
2Q2565,618.71,,,16.38,-0.00,0.18,0.43,,5.03,2.65,1.41,,8.10,"3,269.78",26.17,1.12,7.29,4.86,10.96,TPCH,mai,RESOURC,-
3Q2565,781.59,,101.20,143.76,0.26,1.57,3.76,,4.84,18.39,1.38,,7.65,"3,069.18",40.97,1.06,7.23,5.18,10.05,TPCH,mai,RESOURC,-
