,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,1.18,"-1,029.45",,,,,,,,TPIPP,SET,RESOURC,ENERG
1Q2560,"1,169.10",,,698.49,0.12,2.88,4.26,95.69,4.10,59.75,0.24,"-1,830.26",,,,,,,,TPIPP,SET,RESOURC,ENERG
2Q2560,"1,251.50",-32.48,,706.36,0.08,2.43,2.89,13.56,3.97,56.44,0.14,"-2,401.65",7.15,"60,060.00",31.84,,0.00,0.00,15.60,TPIPP,SET,RESOURC,ENERG
3Q2560,"1,166.88",-15.19,,593.35,0.07,2.15,2.45,178.91,6.62,50.85,0.13,"-2,472.09",7.60,"63,840.00",30.50,2.62,2.90,0.00,14.17,TPIPP,SET,RESOURC,ENERG
4Q2560,"1,326.76",4.48,,593.32,0.07,2.16,2.45,-58.41,5.86,44.72,0.14,"-3,699.65",8.15,"68,460.00",28.50,2.84,2.87,0.00,23.22,TPIPP,SET,RESOURC,ENERG
1Q2561,"1,409.87",28.57,-23.08,753.85,0.09,2.73,3.07,90.17,5.60,53.47,0.11,"-2,989.06",6.80,"57,120.00",22.04,2.36,2.88,4.41,18.76,TPIPP,SET,RESOURC,ENERG
2Q2561,"1,968.46",27.43,45.18,965.55,0.11,3.50,3.88,92.66,2.82,49.05,0.11,"-2,545.52",5.50,"46,200.00",17.45,1.85,2.97,5.45,14.02,TPIPP,SET,RESOURC,ENERG
3Q2561,"2,129.32",4.03,78.07,"1,005.28",0.12,3.61,4.05,94.77,4.16,47.21,0.13,"-2,336.32",6.65,"55,860.00",19.22,2.26,2.95,4.51,14.70,TPIPP,SET,RESOURC,ENERG
4Q2561,"2,311.91",-2.77,65.71,974.27,0.12,3.27,3.90,91.75,7.02,42.14,0.26,"-1,550.91",5.65,"47,460.00",14.30,1.90,2.97,5.31,12.27,TPIPP,SET,RESOURC,ENERG
1Q2562,"2,456.71",0.86,30.00,982.86,0.12,3.09,3.85,93.90,4.99,40.01,0.23,"-1,210.65",6.10,"51,240.00",13.85,2.05,2.98,6.56,12.08,TPIPP,SET,RESOURC,ENERG
2Q2562,"2,645.64",27.35,29.92,"1,250.92",0.15,3.87,4.77,92.10,5.30,47.28,0.23,-851.51,6.10,"51,240.00",13.04,1.97,3.10,6.56,11.11,TPIPP,SET,RESOURC,ENERG
3Q2562,"2,716.28",-12.08,9.80,"1,098.49",0.13,3.15,4.13,94.78,4.13,40.44,0.39,-624.41,4.78,"40,152.00",9.53,1.52,3.15,8.37,8.79,TPIPP,SET,RESOURC,ENERG
4Q2562,"2,916.87",15.27,30.17,"1,274.54",0.15,3.40,4.74,94.12,4.56,43.70,0.40,-588.92,4.40,"36,960.00",8.58,1.38,3.18,9.09,8.28,TPIPP,SET,RESOURC,ENERG
1Q2563,"2,577.85",-23.84,-1.71,967.13,0.12,2.53,3.50,94.06,4.28,37.52,0.38,-469.91,3.06,"25,704.00",,,,13.07,6.17,TPIPP,SET,RESOURC,ENERG
2Q2563,"2,921.25",21.74,-6.04,"1,171.67",0.14,3.01,4.21,91.24,4.41,40.11,0.42,-380.75,4.02,"33,768.00",7.36,1.20,3.34,9.95,7.82,TPIPP,SET,RESOURC,ENERG
3Q2563,"3,071.94",2.31,9.34,"1,206.34",0.14,2.94,4.36,94.49,3.53,39.27,0.54,-214.94,4.14,"34,776.00",7.71,1.26,3.28,9.66,8.37,TPIPP,SET,RESOURC,ENERG
4Q2563,"2,830.11",-3.53,-8.49,"1,160.69",0.14,2.68,4.09,92.84,5.36,41.01,0.51,-13.17,4.28,"35,952.00",7.78,1.29,3.31,9.35,8.47,TPIPP,SET,RESOURC,ENERG
1Q2564,"2,725.21",-8.81,9.57,"1,061.01",0.13,2.41,3.60,91.26,6.20,38.93,0.48,66.31,4.38,"36,792.00",8.17,1.27,3.44,6.16,8.27,TPIPP,SET,RESOURC,ENERG
2Q2564,"2,980.62",12.70,1.43,"1,188.07",0.14,2.60,3.97,91.91,6.55,39.86,0.58,134.91,4.42,"37,128.00",8.07,1.24,3.57,6.11,9.06,TPIPP,SET,RESOURC,ENERG
3Q2564,"2,943.11",-21.13,-21.80,942.97,0.11,2.01,3.16,93.09,5.13,32.04,0.57,241.85,4.24,"35,616.00",7.72,1.19,3.56,6.37,9.13,TPIPP,SET,RESOURC,ENERG
4Q2564,"2,709.32",6.25,-13.88,999.27,0.12,2.10,3.29,92.43,4.88,36.88,0.57,369.32,4.16,"34,944.00",8.03,1.17,3.55,6.49,9.52,TPIPP,SET,RESOURC,ENERG
1Q2565,"2,894.62",-14.29,-19.05,854.58,0.10,1.74,2.73,93.24,3.54,29.52,0.57,454.76,3.90,"32,760.00",,,,6.41,9.63,TPIPP,SET,RESOURC,ENERG
2Q2565,"2,678.40",0.00,-28.17,855.71,0.10,1.73,2.71,91.31,4.57,31.95,0.57,567.94,3.56,"30,240.00",7.59,0.95,3.77,6.94,9.91,TPIPP,SET,RESOURC,ENERG
3Q2565,"2,409.26",-37.25,-42.86,538.51,0.06,1.04,1.72,91.43,5.41,22.35,0.74,524.65,3.50,"29,568.00",8.10,0.94,3.75,7.10,11.73,TPIPP,SET,RESOURC,ENERG
