,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,0.46,,,,,,,,,TPRIME,SET,PROPCON,PF&REIT
1Q2560,206.85,,,86.29,,1.07,1.56,,,41.71,0.44,,13.10,"7,172.25",,1.29,10.11,0.58,,TPRIME,SET,PROPCON,PF&REIT
2Q2560,214.00,,,74.38,,0.93,1.34,,,34.76,0.44,,12.00,"6,570.00",,1.18,10.13,0.63,,TPRIME,SET,PROPCON,PF&REIT
3Q2560,202.98,,,298.74,,3.70,5.30,,,147.18,0.43,,12.20,"6,679.50",,1.21,10.09,0.62,,TPRIME,SET,PROPCON,PF&REIT
4Q2560,207.50,,,207.97,,2.51,3.59,,,100.23,0.43,,11.80,"6,460.50",,1.17,10.06,0.64,,TPRIME,SET,PROPCON,PF&REIT
1Q2561,223.98,,,142.14,,1.69,2.41,,,63.46,0.43,,11.90,"6,515.25",,1.14,10.43,3.13,,TPRIME,SET,PROPCON,PF&REIT
2Q2561,233.97,,,229.49,,2.70,3.84,,,98.08,0.41,,11.80,"6,460.50",,1.10,10.70,3.15,,TPRIME,SET,PROPCON,PF&REIT
3Q2561,238.20,,,206.21,,2.40,3.38,,,86.57,0.41,,0.00,"7,500.75",,1.27,10.82,2.71,,TPRIME,SET,PROPCON,PF&REIT
4Q2561,236.05,,,111.40,,1.28,1.81,,,47.19,0.42,,12.60,"6,898.50",,1.12,11.22,2.95,,TPRIME,SET,PROPCON,PF&REIT
1Q2562,244.72,,,203.74,,2.32,3.28,,,83.26,0.41,,14.20,"7,774.50",,1.26,11.25,3.32,,TPRIME,SET,PROPCON,PF&REIT
2Q2562,243.00,,,199.89,,2.25,3.16,,,82.26,0.40,,15.80,"8,650.50",,1.38,11.45,2.98,,TPRIME,SET,PROPCON,PF&REIT
3Q2562,250.56,,,148.72,,1.67,2.33,,,59.35,0.39,,16.00,"8,760.00",,1.38,11.63,2.94,,TPRIME,SET,PROPCON,PF&REIT
4Q2562,242.60,,,117.26,,1.31,1.83,,,48.34,0.40,,0.00,"8,705.25",,1.36,11.70,2.96,,TPRIME,SET,PROPCON,PF&REIT
1Q2563,244.97,,,366.71,,3.99,5.60,,,149.70,0.41,,14.40,"7,884.00",,,,3.77,,TPRIME,SET,PROPCON,PF&REIT
2Q2563,216.52,,,155.80,,1.65,2.33,,,71.95,0.41,,0.00,"7,938.75",,1.19,12.18,3.75,,TPRIME,SET,PROPCON,PF&REIT
3Q2563,232.39,,,189.75,,2.01,2.80,,,81.65,0.39,,12.60,"6,898.50",,1.03,12.28,4.31,,TPRIME,SET,PROPCON,PF&REIT
4Q2563,230.15,,,135.93,,1.44,1.99,,,59.06,0.39,,12.60,"6,898.50",,,12.43,4.31,,TPRIME,SET,PROPCON,PF&REIT
1Q2564,222.94,,,62.16,,0.65,0.91,,,27.88,0.41,,10.80,"5,913.00",,,12.49,5.51,,TPRIME,SET,PROPCON,PF&REIT
2Q2564,211.94,,,93.36,,0.98,1.37,,,44.05,0.41,,9.95,"5,447.63",,0.80,12.40,5.98,,TPRIME,SET,PROPCON,PF&REIT
3Q2564,183.37,,,75.45,,0.79,1.11,,,41.14,0.40,,8.90,"4,872.75",,0.72,12.41,6.69,,TPRIME,SET,PROPCON,PF&REIT
4Q2564,193.07,,,85.23,,0.90,1.26,,,44.15,0.40,,8.80,"4,818.00",,0.71,12.39,6.76,,TPRIME,SET,PROPCON,PF&REIT
1Q2565,193.65,,,64.16,,0.67,0.95,,,33.13,0.41,,8.30,"4,544.25",,,,5.27,,TPRIME,SET,PROPCON,PF&REIT
2Q2565,192.60,,,91.06,,0.96,1.35,,,47.28,0.41,,7.90,"4,325.25",,0.64,12.33,5.53,,TPRIME,SET,PROPCON,PF&REIT
3Q2565,189.64,,,83.77,,0.88,1.24,,,44.17,0.40,,8.05,"4,462.13",,0.66,12.34,5.36,,TPRIME,SET,PROPCON,PF&REIT
