,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,1.06,-42.92,,,,,,,,TPS,mai,TECH,-
3Q2562,463.76,,,37.72,0.19,9.37,20.85,77.08,22.48,8.13,1.39,-43.01,,,,,,,,TPS,mai,TECH,-
4Q2562,178.50,-77.57,,11.20,0.04,2.12,4.02,80.25,19.34,6.28,0.66,-63.55,2.02,565.60,9.29,,0.00,0.00,4.88,TPS,mai,TECH,-
1Q2563,158.70,-5.44,,11.66,0.04,1.82,3.03,78.20,21.39,7.35,0.66,-76.00,1.82,509.60,10.42,1.34,1.36,10.99,4.40,TPS,mai,TECH,-
2Q2563,184.35,50.00,,15.58,0.06,2.45,4.21,78.50,20.76,8.45,0.77,-103.97,1.90,532.00,10.30,1.36,1.40,10.53,6.98,TPS,mai,TECH,-
3Q2563,180.09,-40.00,-80.91,10.83,0.04,1.71,3.04,77.81,21.79,6.01,0.79,-172.14,2.84,795.20,14.72,2.27,1.25,7.04,13.42,TPS,mai,TECH,-
4Q2563,214.82,50.00,27.66,15.80,0.05,2.50,4.26,80.87,18.30,7.36,0.62,-165.71,2.32,649.60,13.18,1.80,1.29,8.62,9.55,TPS,mai,TECH,-
1Q2564,128.24,-81.48,-75.00,2.67,0.01,0.44,0.70,71.14,27.21,2.08,0.59,-165.70,3.26,912.80,16.93,2.42,1.35,1.23,14.46,TPS,mai,TECH,-
2Q2564,119.35,300.00,-33.33,10.59,0.04,1.72,2.77,70.92,28.12,8.87,0.63,-173.16,2.28,766.08,17.00,2.01,1.13,1.46,13.93,TPS,mai,TECH,-
3Q2564,144.41,-25.00,-16.67,9.15,0.03,1.39,2.36,72.97,26.09,6.34,0.76,-158.77,2.70,907.20,22.39,2.39,1.13,1.23,17.40,TPS,mai,TECH,-
1Q2565,202.63,33.33,300.00,12.87,0.04,1.77,3.17,77.05,21.78,6.35,0.82,-106.33,3.52,"1,182.72",30.53,2.92,1.21,2.27,25.36,TPS,mai,TECH,-
2Q2565,181.91,0.00,0.00,12.08,0.04,1.60,2.93,75.46,22.89,6.64,0.83,-32.70,2.70,927.36,18.56,2.21,1.25,2.90,17.78,TPS,mai,TECH,-
3Q2565,271.42,125.00,200.00,29.62,0.09,3.74,7.06,82.71,16.32,10.91,0.94,-7.81,3.24,"1,142.40",22.16,2.82,1.20,2.35,15.35,TPS,mai,TECH,-
