,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,68.73,9.00,97.68,-23.97,-0.01,-10.83,530.37,73.55,25.06,-34.88,36.05,,0.10,210.78,N/A,13.89,0.01,0.00,-10.49,TRITN,SET,PROPCON,CONS
2Q2555,64.39,-1.47,,-24.66,-0.01,-10.06,-58.10,40.24,54.86,-38.29,2.49,,0.09,189.71,N/A,5.00,0.02,0.00,-8.90,TRITN,SET,PROPCON,CONS
3Q2555,74.78,,,17.77,0.01,6.59,20.21,77.48,19.60,23.77,1.73,,0.10,291.20,N/A,3.33,0.04,0.00,43.22,TRITN,SET,PROPCON,CONS
4Q2555,71.83,40.00,,34.01,0.01,13.12,29.83,89.68,12.61,47.35,0.94,,0.50,"1,456.00",N/A,13.86,0.04,0.00,33.09,TRITN,SET,PROPCON,CONS
1Q2556,74.53,-71.43,,11.36,0.00,3.84,6.53,73.00,24.76,15.24,0.56,,0.87,"2,534.94",519.24,18.36,0.05,0.00,34.99,TRITN,SET,PROPCON,CONS
2Q2556,76.01,0.00,,15.80,0.00,4.47,6.84,64.46,31.08,20.79,0.51,,0.62,"2,060.70",55.32,9.25,0.08,0.00,19.27,TRITN,SET,PROPCON,CONS
3Q2556,80.07,-13.75,-65.50,11.57,0.00,2.36,3.27,73.16,26.88,14.45,0.32,,0.40,"1,415.92",18.58,5.65,0.08,0.00,13.30,TRITN,SET,PROPCON,CONS
4Q2556,87.85,93.62,-52.29,26.86,0.01,4.26,5.37,72.72,16.31,30.57,0.21,,0.33,"1,427.33",20.43,3.05,0.13,0.00,15.48,TRITN,SET,PROPCON,CONS
1Q2557,62.42,,,-17.84,-0.00,-2.48,-2.91,53.18,44.24,-28.57,0.14,,0.31,"1,756.16",27.58,3.24,0.13,0.00,28.01,TRITN,SET,PROPCON,CONS
2Q2557,62.18,66.67,,-6.19,-0.00,-0.80,-0.90,45.18,46.42,-9.95,0.13,,0.31,"1,756.29",50.27,2.53,0.12,0.00,40.06,TRITN,SET,PROPCON,CONS
3Q2557,63.28,-100.00,,-8.36,-0.00,-1.05,-1.22,60.64,37.03,-13.21,0.19,,0.29,"1,657.36",122.51,2.41,0.12,0.00,89.24,TRITN,SET,PROPCON,CONS
4Q2557,67.21,-300.00,,-45.98,-0.01,-5.45,-6.47,60.46,36.11,-68.42,0.19,,0.33,"2,026.24",N/A,2.93,0.12,0.00,-64.55,TRITN,SET,PROPCON,CONS
1Q2558,57.59,75.00,33.33,-12.18,-0.00,-1.04,-1.47,42.64,49.58,-21.16,0.59,,0.39,"2,394.65",N/A,3.23,0.12,0.00,-375.68,TRITN,SET,PROPCON,CONS
2Q2558,292.65,,,37.99,0.00,2.66,4.01,73.50,14.34,12.98,0.43,,0.43,"2,641.96",N/A,3.62,0.12,0.00,39.92,TRITN,SET,PROPCON,CONS
