,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,211.18,,,-38.45,-0.14,-1.96,-3.68,61.98,35.51,-18.21,0.93,616.13,6.00,"1,679.39",8.42,1.58,3.80,6.66,10.61,TRT,mai,RESOURC,-
2Q2555,498.04,,17.65,55.10,0.20,2.31,5.41,83.27,15.29,11.06,1.76,700.97,5.75,"1,609.42",12.19,1.57,3.66,6.95,10.70,TRT,mai,RESOURC,-
3Q2555,647.29,-65.00,-76.67,20.25,0.07,0.78,1.98,87.91,11.21,3.13,1.33,694.80,5.95,"1,665.40",11.74,1.65,3.61,6.72,14.42,TRT,mai,RESOURC,-
4Q2555,591.26,,,-6.67,-0.02,-0.27,-0.65,81.16,17.41,-1.13,1.46,674.21,5.60,"1,567.43",19.62,1.52,3.68,7.14,21.15,TRT,mai,RESOURC,-
1Q2556,458.54,,,36.81,0.13,1.44,3.49,78.09,20.63,8.03,1.39,677.44,6.20,"1,735.37",58.71,1.69,3.66,0.18,13.60,TRT,mai,RESOURC,-
2Q2556,755.94,-29.80,-54.63,31.26,0.09,1.23,2.85,85.91,13.73,4.13,1.26,614.39,5.65,"1,739.57",16.70,1.61,3.50,0.18,14.40,TRT,mai,RESOURC,-
3Q2556,572.32,,,-6.12,-0.02,-0.24,-0.56,80.87,18.57,-1.07,1.35,623.89,5.45,"1,677.99",20.71,1.51,3.60,0.19,17.36,TRT,mai,RESOURC,-
4Q2556,748.15,,,115.11,0.38,4.53,10.22,87.19,12.10,15.39,1.18,614.41,4.98,"1,533.28",27.65,1.44,3.47,0.20,7.38,TRT,mai,RESOURC,-
1Q2557,418.17,-98.18,-94.66,1.80,0.01,0.07,0.15,76.64,22.80,0.43,1.12,573.46,5.65,"1,739.57",9.80,1.47,3.84,5.31,8.88,TRT,mai,RESOURC,-
2Q2557,409.99,,,-20.02,-0.06,-0.80,-1.75,74.70,23.85,-4.88,1.23,608.88,5.60,"1,724.17",12.02,1.45,3.85,5.36,12.56,TRT,mai,RESOURC,-
