,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,805.64,,69.65,128.77,0.25,4.04,4.76,85.30,6.46,15.98,0.22,-198.24,7.15,"3,586.36",18.90,1.37,5.20,3.50,9.97,TRU,SET,INDUS,AUTO
2Q2555,799.20,-14.93,44.31,110.98,0.22,3.22,4.01,86.13,8.91,13.89,0.27,-245.79,9.70,"4,865.42",20.21,1.78,5.46,2.58,12.10,TRU,SET,INDUS,AUTO
3Q2555,933.11,42.77,62.66,158.17,0.31,4.47,5.58,88.10,7.39,16.95,0.22,-297.22,11.30,"5,667.96",20.64,2.08,5.42,2.21,11.64,TRU,SET,INDUS,AUTO
4Q2555,"1,164.35",13.25,,173.60,0.35,4.67,5.78,89.12,6.20,14.91,0.25,-376.41,11.70,"5,868.60",17.47,2.04,5.74,2.14,7.67,TRU,SET,INDUS,AUTO
1Q2556,998.21,1.54,39.66,177.01,0.36,4.52,5.57,87.33,7.79,17.73,0.22,-349.63,13.30,"6,671.14",11.78,2.19,6.08,4.51,7.96,TRU,SET,INDUS,AUTO
2Q2556,831.97,-56.88,-29.20,79.84,0.15,2.07,2.53,85.02,9.39,9.60,0.23,-363.54,10.20,"5,116.21",8.29,1.58,6.44,5.88,6.55,TRU,SET,INDUS,AUTO
3Q2556,797.31,-5.32,-53.05,75.01,0.15,1.97,2.43,86.20,9.02,9.41,0.24,-351.56,7.60,"3,812.08",6.52,1.27,5.99,7.89,5.51,TRU,SET,INDUS,AUTO
4Q2556,691.55,-55.48,-81.54,32.89,0.06,0.88,1.05,79.04,14.09,4.76,0.15,-248.90,6.75,"3,323.52",6.75,1.10,6.14,8.89,6.28,TRU,SET,INDUS,AUTO
1Q2557,633.82,64.63,-70.08,55.81,0.11,1.52,1.75,83.33,10.72,8.81,0.16,-218.68,7.00,"3,446.61",9.74,1.13,6.20,2.86,8.74,TRU,SET,INDUS,AUTO
2Q2557,541.11,-87.60,-91.39,19.13,0.01,0.52,0.60,78.98,14.37,3.54,0.14,-149.66,5.55,"3,279.20",14.19,1.06,5.26,3.00,10.18,TRU,SET,INDUS,AUTO
3Q2557,592.43,434.19,-51.44,45.62,0.07,1.27,1.45,82.18,12.84,7.70,0.14,-95.18,5.45,"3,220.12",18.52,1.06,5.12,3.06,10.68,TRU,SET,INDUS,AUTO
4Q2557,647.81,-0.65,8.36,38.92,0.07,1.07,1.22,80.96,10.26,6.01,0.13,-94.65,4.72,"2,788.80",19.09,0.91,5.19,3.53,8.50,TRU,SET,INDUS,AUTO
1Q2558,579.21,-22.26,-48.83,32.59,0.05,0.89,1.01,83.22,12.34,5.63,0.13,-77.37,4.80,"2,836.07",18.61,0.91,5.26,3.13,9.33,TRU,SET,INDUS,AUTO
2Q2558,508.65,-15.05,250.49,29.06,0.05,0.80,0.91,81.70,13.82,5.71,0.13,-81.14,4.58,"2,706.08",20.47,0.86,5.31,3.28,8.92,TRU,SET,INDUS,AUTO
3Q2558,523.11,71.64,12.62,47.97,0.08,1.34,1.50,82.63,13.52,9.17,0.12,-74.65,4.02,"2,375.20",16.82,0.77,5.21,3.73,7.58,TRU,SET,INDUS,AUTO
4Q2558,515.14,-11.78,0.00,39.34,0.07,1.09,1.21,83.14,13.92,7.64,0.12,-71.63,3.94,"2,327.94",16.20,0.74,5.29,3.81,7.61,TRU,SET,INDUS,AUTO
1Q2559,478.58,-71.43,-63.25,13.04,0.02,0.36,0.40,81.87,14.68,2.73,0.12,-73.89,4.02,"2,375.20",16.36,0.75,5.36,3.73,8.27,TRU,SET,INDUS,AUTO
2Q2559,404.48,40.10,-39.39,15.71,0.03,0.44,0.49,77.72,17.80,3.89,0.11,-64.57,4.34,"2,564.28",20.34,0.81,5.35,3.46,9.48,TRU,SET,INDUS,AUTO
3Q2559,439.74,-25.73,-73.77,13.36,0.02,0.38,0.42,87.23,15.86,3.04,0.12,-70.18,3.76,"2,221.58",19.48,0.72,5.23,3.99,10.00,TRU,SET,INDUS,AUTO
4Q2559,491.78,207.54,-8.57,38.26,0.06,1.07,1.19,85.25,12.61,7.78,0.11,-60.40,4.04,"2,387.02",29.74,0.77,5.26,3.71,10.50,TRU,SET,INDUS,AUTO
1Q2560,522.37,-41.63,86.80,23.31,0.04,0.64,0.72,85.96,12.94,4.46,0.12,-52.43,4.06,"2,398.84",30.57,0.76,5.33,2.22,10.54,TRU,SET,INDUS,AUTO
2Q2560,450.52,,,-6.42,-0.02,-0.18,-0.20,81.19,15.31,-1.43,0.13,-57.72,4.56,"2,694.26",30.80,0.85,5.37,1.97,12.66,TRU,SET,INDUS,AUTO
3Q2560,574.90,,97.41,23.67,0.04,0.65,0.74,86.13,12.92,4.12,0.14,-65.22,4.56,"2,694.26",41.57,0.87,5.27,1.97,12.02,TRU,SET,INDUS,AUTO
4Q2560,550.28,93.35,24.11,48.74,0.08,1.33,1.51,85.42,11.66,8.86,0.12,-76.74,4.80,"2,836.07",38.37,0.91,5.30,1.88,13.34,TRU,SET,INDUS,AUTO
1Q2561,554.47,-25.09,59.26,37.12,0.06,0.99,1.14,85.56,12.96,6.69,0.16,-97.81,4.84,"2,859.70",34.45,0.90,5.36,2.89,13.15,TRU,SET,INDUS,AUTO
2Q2561,681.48,59.18,,58.60,0.09,1.55,1.79,88.02,10.77,8.60,0.16,-134.44,4.48,"2,646.99",27.54,0.83,5.42,3.13,9.89,TRU,SET,INDUS,AUTO
3Q2561,695.53,9.83,153.21,62.65,0.10,1.64,1.91,87.54,10.79,9.01,0.17,-186.39,5.00,"2,954.23",18.53,0.93,5.38,2.80,9.51,TRU,SET,INDUS,AUTO
4Q2561,643.21,-52.99,-38.44,30.16,0.05,0.77,0.91,83.65,13.71,4.69,0.17,-188.32,4.70,"2,776.98",13.92,0.86,5.48,2.98,9.67,TRU,SET,INDUS,AUTO
1Q2562,668.86,84.05,51.26,56.90,0.09,1.44,1.69,87.72,10.05,8.51,0.17,-193.30,5.00,"2,954.23",16.28,0.90,5.53,5.00,9.92,TRU,SET,INDUS,AUTO
2Q2562,582.03,-40.81,-43.75,27.75,0.05,0.72,0.83,85.64,12.18,4.77,0.16,-174.02,4.86,"2,871.52",14.27,0.86,5.62,5.14,10.71,TRU,SET,INDUS,AUTO
3Q2562,836.55,516.82,215.88,197.34,0.33,5.04,5.88,65.60,10.81,23.59,0.17,-99.39,0.00,"2,670.63",15.54,0.83,5.42,5.53,6.79,TRU,SET,INDUS,AUTO
4Q2562,545.83,-98.79,-91.90,1.98,0.00,0.05,0.06,84.15,11.84,0.36,0.15,-76.91,4.16,"2,457.92",7.99,0.73,5.73,6.01,6.80,TRU,SET,INDUS,AUTO
1Q2563,503.13,,,-8.64,-0.02,-0.22,-0.25,85.40,13.17,-1.72,0.14,-25.33,3.82,"2,257.04",,,,3.14,7.37,TRU,SET,INDUS,AUTO
2Q2563,231.19,-941.21,,-97.56,-0.16,-2.60,-2.91,70.03,25.93,-42.20,0.10,49.37,3.84,"2,268.85",10.46,0.67,5.72,3.13,10.22,TRU,SET,INDUS,AUTO
3Q2563,398.69,,-90.15,19.11,0.03,0.52,0.58,76.64,13.56,4.79,0.13,63.63,3.48,"2,056.15",21.63,0.64,5.44,3.45,37.52,TRU,SET,INDUS,AUTO
4Q2563,450.64,,,-3.60,-0.01,-0.10,-0.11,84.78,15.67,-0.80,0.13,60.91,3.74,"2,209.77",N/A,0.68,5.47,3.21,45.37,TRU,SET,INDUS,AUTO
1Q2564,493.40,,,30.70,0.05,0.82,0.93,86.66,11.45,6.22,0.13,26.02,4.06,"2,398.84",N/A,0.74,5.46,1.48,27.22,TRU,SET,INDUS,AUTO
2Q2564,456.56,-67.27,,10.00,0.02,0.27,0.30,85.57,13.05,2.19,0.14,-60.60,4.50,"2,658.81",N/A,0.82,5.51,1.33,14.16,TRU,SET,INDUS,AUTO
3Q2564,463.52,24.47,-34.44,12.95,0.02,0.34,0.39,85.42,12.54,2.79,0.14,-90.82,4.92,"2,927.63",54.00,0.91,5.47,1.21,15.44,TRU,SET,INDUS,AUTO
4Q2564,605.83,87.13,,26.07,0.04,0.68,0.78,83.77,13.74,4.30,0.15,-116.93,4.86,"2,893.87",58.97,0.89,5.48,1.23,12.90,TRU,SET,INDUS,AUTO
1Q2565,679.81,202.34,130.50,72.99,0.12,1.85,2.16,86.73,10.93,10.74,0.18,-140.78,4.80,"2,858.15",,,,2.08,11.04,TRU,SET,INDUS,AUTO
2Q2565,740.14,41.67,897.65,103.18,0.17,2.54,2.99,85.88,11.18,13.94,0.18,-154.81,5.55,"3,338.37",27.88,0.99,5.65,1.79,9.14,TRU,SET,INDUS,AUTO
3Q2565,815.05,29.41,937.25,132.15,0.22,3.17,3.72,87.91,9.24,16.21,0.17,-187.99,6.55,"4,020.68",18.99,1.17,5.71,1.48,7.93,TRU,SET,INDUS,AUTO
