,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"4,154.93",61.54,,-25.74,-0.05,-0.37,-1.49,94.91,4.55,-0.62,3.03,858.09,4.86,"2,649.52",21.21,1.53,3.17,0.57,35.58,TRUBB,SET,AGRO,AGRI
2Q2555,"4,170.59",20.84,,-28.52,-0.04,-0.42,-1.69,95.27,4.11,-0.68,2.93,827.11,3.06,"2,085.25",N/A,1.23,2.50,0.73,39.41,TRUBB,SET,AGRO,AGRI
3Q2555,"4,120.14",-381.10,13.45,-119.83,-0.19,-1.77,-7.46,95.20,3.94,-2.91,3.52,795.64,3.36,"2,289.68",N/A,1.38,2.44,0.66,54.23,TRUBB,SET,AGRO,AGRI
4Q2555,"4,131.16",21.23,-15.38,-102.19,-0.15,-1.42,-6.84,94.30,4.57,-2.47,4.13,800.70,3.28,"2,235.17",N/A,1.45,2.26,0.68,67.09,TRUBB,SET,AGRO,AGRI
1Q2556,"4,065.30",,,41.54,0.06,0.57,2.82,93.36,4.27,1.02,3.74,833.16,2.90,"1,976.22",N/A,1.38,2.11,0.00,39.35,TRUBB,SET,AGRO,AGRI
2Q2556,"2,945.86",,-280.29,-103.86,-0.15,-1.52,-7.16,94.97,5.22,-3.53,3.67,832.25,2.42,"1,649.12",N/A,1.10,2.20,0.00,60.07,TRUBB,SET,AGRO,AGRI
3Q2556,"3,074.85",20.28,36.98,-83.32,-0.12,-1.26,-6.20,93.70,5.29,-2.71,4.23,776.53,2.06,"1,403.79",N/A,1.01,2.03,0.00,55.63,TRUBB,SET,AGRO,AGRI
4Q2556,"3,526.58",85.45,88.36,-9.77,-0.02,-0.14,-0.73,94.40,4.55,-0.28,3.98,710.44,1.89,"1,287.95",N/A,1.00,1.89,0.00,31.48,TRUBB,SET,AGRO,AGRI
1Q2557,"3,401.61",,42.70,58.53,0.09,0.87,4.13,92.84,5.08,1.72,3.58,662.34,1.96,"1,335.65",N/A,0.97,2.03,0.00,25.29,TRUBB,SET,AGRO,AGRI
2Q2557,"2,362.68",,-3.15,-108.20,-0.16,-1.63,-7.63,93.34,6.04,-4.58,3.77,681.43,2.22,"1,512.83",N/A,1.05,2.11,0.00,29.62,TRUBB,SET,AGRO,AGRI
3Q2557,"2,802.19",-0.53,-30.08,-106.03,-0.16,-1.60,-7.92,92.29,7.52,-3.78,4.17,617.47,1.98,"1,349.33",N/A,1.04,1.90,0.00,29.69,TRUBB,SET,AGRO,AGRI
4Q2557,"2,974.27",,,31.67,0.04,0.46,2.10,91.00,7.06,1.06,3.06,549.35,1.69,"1,151.70",N/A,0.97,1.74,0.00,29.75,TRUBB,SET,AGRO,AGRI
1Q2558,"2,079.36",-77.77,-88.42,15.21,0.01,0.22,0.87,90.94,8.07,0.73,2.96,540.17,1.63,"1,110.81",N/A,0.69,2.36,0.00,43.44,TRUBB,SET,AGRO,AGRI
2Q2558,"2,215.38",127.60,,27.08,0.02,0.39,1.53,89.21,7.36,1.22,2.83,467.96,1.86,"1,267.55",N/A,0.78,2.37,0.00,18.89,TRUBB,SET,AGRO,AGRI
3Q2558,"2,543.76",,85.42,-14.65,-0.02,-0.21,-0.83,94.36,7.07,-0.58,3.05,489.05,1.56,"1,063.11",N/A,0.65,2.39,0.00,14.47,TRUBB,SET,AGRO,AGRI
4Q2558,"2,151.77",-435.19,,-62.83,-0.12,-0.92,-3.67,88.18,8.36,-2.92,2.93,509.54,1.35,920.00,28.78,0.58,2.34,0.00,14.76,TRUBB,SET,AGRO,AGRI
1Q2559,"1,916.65",91.79,,15.72,-0.01,0.24,0.93,89.78,8.53,0.82,2.77,476.40,1.63,"1,110.81",N/A,0.74,2.21,0.00,14.95,TRUBB,SET,AGRO,AGRI
2Q2559,"1,934.68",-773.70,,-70.23,-0.09,-1.16,-4.25,88.55,10.28,-3.63,2.55,423.52,1.61,"1,097.18",N/A,0.73,2.22,0.00,18.01,TRUBB,SET,AGRO,AGRI
3Q2559,"1,788.42",-4.27,-300.26,-57.52,-0.09,-0.98,-3.63,92.06,7.45,-3.22,2.85,398.74,1.42,967.70,N/A,0.67,2.12,0.00,22.61,TRUBB,SET,AGRO,AGRI
