,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,48.60,-112.75,,-30.89,-0.02,-8.20,-10.36,69.75,30.12,-63.57,0.32,130.11,0.44,567.17,37.93,2.00,0.23,0.00,49.89,TSF,mai,SERVICE,-
2Q2555,59.11,43.32,,-13.22,-0.01,-3.51,-4.53,47.83,51.78,-22.37,0.26,114.23,0.38,515.13,N/A,1.90,0.21,0.00,-52.97,TSF,mai,SERVICE,-
3Q2555,53.06,91.06,,-8.86,-0.00,-2.23,-3.06,80.16,16.21,-16.70,0.49,64.31,0.46,624.41,N/A,2.24,0.21,0.00,-31.14,TSF,mai,SERVICE,-
4Q2555,86.27,"-1,172.73",-37.25,-25.83,-0.01,-5.88,-9.46,74.87,17.16,-29.94,0.74,-41.42,3.80,"5,192.34",N/A,18.97,0.20,0.00,-360.10,TSF,mai,SERVICE,-
1Q2556,137.63,,,9.80,0.01,2.19,3.68,87.24,12.50,7.12,0.63,,2.84,"3,977.15",N/A,15.81,0.18,0.00,133.40,TSF,mai,SERVICE,-
2Q2556,61.29,,-367.48,-97.92,-0.06,-15.56,-19.00,73.60,25.68,-159.76,0.08,,1.34,"3,170.14",N/A,11.67,0.19,0.00,-53.82,TSF,mai,SERVICE,-
3Q2556,100.03,-35.83,"-7,000.00",-141.60,-0.08,-18.37,-20.51,46.24,50.98,-141.55,0.17,,0.68,"1,621.07",N/A,2.14,0.32,0.00,-8.44,TSF,mai,SERVICE,-
4Q2556,117.96,52.37,-165.71,-90.66,-0.04,-13.14,-15.65,79.48,19.55,-76.86,0.22,,0.51,"1,229.27",N/A,1.98,0.26,0.00,-4.93,TSF,mai,SERVICE,-
1Q2557,70.92,-13.98,,-112.97,-0.04,-14.42,-17.61,38.32,59.60,-159.28,0.22,,0.58,"1,866.35",N/A,3.48,0.22,0.00,-4.46,TSF,mai,SERVICE,-
2Q2557,90.36,33.68,51.10,-94.41,-0.03,-10.91,-13.51,59.14,38.41,-104.48,0.26,-148.61,0.66,"2,123.78",N/A,2.85,0.23,0.00,-5.87,TSF,mai,SERVICE,-
3Q2557,85.00,-6.61,61.61,-98.48,-0.03,-12.07,-15.87,62.62,39.45,-115.85,0.38,-288.56,0.60,"1,974.94",N/A,3.03,0.20,0.00,-6.89,TSF,mai,SERVICE,-
4Q2557,115.70,-83.46,-47.85,-177.35,-0.06,-23.67,-35.33,45.54,49.92,-153.29,0.65,-291.49,0.46,"1,521.91",N/A,2.58,0.18,0.00,-310.28,TSF,mai,SERVICE,-
1Q2558,105.78,59.27,47.17,-95.22,-0.02,-9.40,-13.19,55.07,40.49,-90.02,0.30,-370.85,0.43,"2,291.94",N/A,5.52,0.13,0.00,16.38,TSF,mai,SERVICE,-
2Q2558,99.82,-247.77,-177.03,-405.26,-0.08,-31.41,-43.11,49.40,54.54,-406.00,0.46,,0.26,"1,662.95",N/A,1.62,0.19,0.00,-11.40,TSF,mai,SERVICE,-
