,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"7,572.80",,,1.54,,0.01,0.01,,2.20,0.02,0.59,,1.37,"11,191.21",N/A,0.76,1.79,0.00,56.39,TSTH,SET,INDUS,STEEL
2Q2555,"7,155.33",37.50,-114.32,-400.09,-0.05,-1.72,-2.68,,2.92,-5.59,0.53,,0.91,"7,433.58",N/A,0.51,1.79,0.00,84.14,TSTH,SET,INDUS,STEEL
3Q2555,"5,081.27",-120.00,-37.50,-945.83,-0.11,-4.25,-6.64,,3.56,-18.61,0.60,,0.83,"6,780.08",N/A,0.48,1.75,0.00,76.01,TSTH,SET,INDUS,STEEL
4Q2555,"6,533.69",72.73,-66.20,-241.21,-0.03,-1.07,-1.77,,3.10,-3.69,0.70,,0.88,"7,188.52",N/A,0.54,1.63,0.00,839.52,TSTH,SET,INDUS,STEEL
1Q2556,"5,906.37",,,-201.39,,-0.88,-1.50,,3.06,-3.41,0.72,,0.79,"6,453.33",N/A,0.49,1.61,0.00,-66.73,TSTH,SET,INDUS,STEEL
2Q2556,"6,489.00",-100.00,-20.00,-301.29,-0.06,-1.33,-2.29,,2.95,-4.64,0.72,,0.80,"6,535.01",N/A,0.51,1.58,0.00,-172.96,TSTH,SET,INDUS,STEEL
3Q2556,"6,353.00",,,-488.96,,-2.22,-3.83,,3.07,-7.70,0.73,,1.10,"8,985.64",N/A,0.71,1.55,0.00,38.95,TSTH,SET,INDUS,STEEL
4Q2556,"6,461.78",-733.33,"-1,566.67","-3,563.67",-0.50,-17.90,-33.14,,3.16,-55.15,1.02,,1.04,"8,495.52",N/A,0.70,1.49,0.00,-5.35,TSTH,SET,INDUS,STEEL
1Q2557,"5,961.86",98.00,,-111.45,-0.01,-0.63,-1.25,,2.55,-1.87,0.95,,0.78,"6,371.64",N/A,0.73,1.07,0.00,-4.63,TSTH,SET,INDUS,STEEL
2Q2557,"6,693.49",,,111.85,0.01,0.66,1.25,,2.86,1.67,0.87,,0.71,"5,799.83",N/A,0.67,1.05,0.00,-4.74,TSTH,SET,INDUS,STEEL
3Q2557,"6,008.58",-95.73,,3.61,0.00,0.02,0.04,,3.21,0.06,0.82,,0.72,"6,063.51",N/A,0.67,1.07,0.00,-5.27,TSTH,SET,INDUS,STEEL
4Q2557,"6,776.17","4,434.88",,26.77,0.02,0.16,0.30,,3.57,0.40,0.80,,0.73,"6,147.72",N/A,0.68,1.07,0.00,11.98,TSTH,SET,INDUS,STEEL
1Q2558,"6,005.85",-89.74,,18.31,0.00,0.11,0.20,96.68,3.18,0.30,0.77,,0.88,"7,410.96",240.68,0.82,1.07,0.00,12.15,TSTH,SET,INDUS,STEEL
2Q2558,"5,450.47",,,-88.15,-0.01,-0.56,-0.98,96.42,3.45,-1.62,0.71,,0.95,"8,000.46",49.89,0.88,1.07,0.00,16.85,TSTH,SET,INDUS,STEEL
3Q2558,"4,980.35",-111.59,,-183.02,-0.02,-1.24,-2.07,96.23,3.72,-3.67,0.61,,0.75,"6,316.16",N/A,0.71,1.06,0.00,19.80,TSTH,SET,INDUS,STEEL
4Q2558,"4,958.59",,,-358.18,,-2.58,-4.17,95.30,4.26,-7.22,0.62,,0.73,"6,147.72",N/A,0.70,1.04,0.00,29.39,TSTH,SET,INDUS,STEEL
1Q2559,"4,421.01",,-50.00,10.51,0.00,0.08,0.13,95.73,4.14,0.24,0.63,,0.78,"6,568.80",N/A,0.78,1.00,0.00,34.29,TSTH,SET,INDUS,STEEL
2Q2559,"4,216.61",800.00,,47.05,0.01,0.35,0.56,95.56,4.05,1.12,0.58,,0.59,"4,968.71",N/A,0.59,1.00,0.00,20.85,TSTH,SET,INDUS,STEEL
3Q2559,"3,963.02",,7.96,-35.07,-0.02,-0.27,-0.42,93.37,4.19,-0.88,0.46,,0.49,"4,126.56",N/A,0.49,1.01,0.00,12.71,TSTH,SET,INDUS,STEEL
4Q2559,"4,271.63",,53.85,131.70,0.03,1.05,1.55,94.58,4.94,3.08,0.51,,0.65,"5,474.00",N/A,0.65,1.00,0.00,9.81,TSTH,SET,INDUS,STEEL
1Q2560,"4,616.06",0.00,"2,900.00",216.82,0.03,1.67,2.50,95.15,4.41,4.70,0.48,,0.67,"5,642.43",36.59,0.66,1.02,0.00,7.81,TSTH,SET,INDUS,STEEL
