,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"8,907.35",0.00,-33.33,"1,037.68",0.02,0.14,1.97,,,11.65,12.38,,1.77,"77,045.87",19.22,1.48,1.20,1.69,,TTB,SET,FINCIAL,BANK
2Q2555,"8,936.71",50.00,50.00,"1,270.33",0.03,0.18,2.38,,,14.21,11.70,,1.52,"66,195.88",16.78,1.24,1.22,1.97,,TTB,SET,FINCIAL,BANK
3Q2555,"9,431.59",33.33,100.00,"1,444.81",0.04,0.22,2.67,,,15.32,11.15,,1.82,"79,260.86",19.75,1.49,1.22,1.65,,TTB,SET,FINCIAL,BANK
4Q2555,"9,971.98",,,"-2,121.98",-0.05,-0.31,-3.92,,,-21.28,12.27,,1.86,"81,002.85",17.24,1.48,1.25,1.61,,TTB,SET,FINCIAL,BANK
1Q2556,"9,952.79",,108.50,"1,819.30",0.04,0.25,3.22,,,18.28,11.44,,2.54,"110,616.80",68.91,2.06,1.23,1.30,,TTB,SET,FINCIAL,BANK
2Q2556,"10,217.25",-86.09,-80.67,255.39,0.01,0.04,0.44,,,2.50,11.26,,2.24,"97,678.16",40.87,1.65,1.36,1.47,,TTB,SET,FINCIAL,BANK
3Q2556,"10,549.18",639.66,7.25,"1,873.02",0.04,0.26,3.18,,,17.76,11.34,,2.58,"112,504.31",81.60,1.94,1.33,1.28,,TTB,SET,FINCIAL,BANK
4Q2556,"11,717.35",-3.96,,"1,800.12",0.04,0.24,2.96,,,15.36,11.38,,2.06,"89,829.02",49.57,1.50,1.37,1.60,,TTB,SET,FINCIAL,BANK
1Q2557,"10,420.37",-10.92,-11.99,"1,605.59",0.04,0.21,2.56,,,15.41,11.23,,2.46,"107,271.55",18.70,1.74,1.42,1.63,,TTB,SET,FINCIAL,BANK
2Q2557,"10,819.87",60.76,917.24,"2,578.79",0.06,0.33,4.04,,,23.83,11.45,,2.42,"105,702.61",19.14,1.67,1.45,1.65,,TTB,SET,FINCIAL,BANK
