,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,106.02,,,15.24,,1.37,1.44,,,14.37,0.06,,7.50,781.72,,0.71,10.63,15.07,,TU-PF,SET,PROPCON,PF&REIT
4Q2556,65.94,,,-380.84,,-37.09,-46.75,,,-577.59,0.59,,3.90,406.50,,0.40,9.67,3.46,,TU-PF,SET,PROPCON,PF&REIT
4Q2557,55.24,,,-64.24,,-6.75,-10.91,,,-116.31,0.65,,2.20,229.31,,0.37,5.96,0.00,,TU-PF,SET,PROPCON,PF&REIT
4Q2558,63.78,,,-73.34,,-8.28,-14.10,,,-114.98,0.76,,1.85,192.83,,0.35,5.34,0.00,,TU-PF,SET,PROPCON,PF&REIT
4Q2559,86.88,,,-200.53,,-24.86,-52.35,,,-230.81,1.69,,1.96,204.29,,0.42,4.63,0.00,,TU-PF,SET,PROPCON,PF&REIT
4Q2560,78.58,,,-57.08,,-7.80,-22.45,,,-72.63,2.11,,2.14,223.05,,0.57,3.77,0.00,,TU-PF,SET,PROPCON,PF&REIT
3Q2561,65.88,,,-3.78,,-0.54,-1.69,,,-5.74,2.16,,0.00,177.19,,0.78,2.18,0.00,,TU-PF,SET,PROPCON,PF&REIT
4Q2561,24.86,,,-18.59,,-2.70,-8.74,,,-74.77,2.33,,1.69,176.15,,0.79,2.12,0.00,,TU-PF,SET,PROPCON,PF&REIT
1Q2562,25.24,,,6.42,,0.95,3.11,,,25.44,2.23,,0.00,136.54,,0.67,1.95,0.00,,TU-PF,SET,PROPCON,PF&REIT
2Q2562,24.42,,,1.35,,0.20,0.64,,,5.54,2.27,,1.69,176.15,,0.84,2.01,0.00,,TU-PF,SET,PROPCON,PF&REIT
3Q2562,24.57,,,-2.55,,-0.37,-1.22,,,-10.39,2.27,,1.79,186.57,,0.88,2.02,0.00,,TU-PF,SET,PROPCON,PF&REIT
4Q2562,27.05,,,-26.08,,-3.92,-13.37,,,-96.42,2.57,,1.75,182.40,,0.88,1.99,0.00,,TU-PF,SET,PROPCON,PF&REIT
1Q2563,25.96,,,7.38,,1.14,3.97,,,28.41,2.41,,0.00,119.86,,,,0.00,,TU-PF,SET,PROPCON,PF&REIT
2Q2563,16.66,,,0.78,,0.12,0.41,,,4.65,2.45,,0.00,104.23,,0.55,1.81,0.00,,TU-PF,SET,PROPCON,PF&REIT
3Q2563,19.83,,,1.91,,0.29,1.00,,,9.65,2.42,,0.00,89.64,,0.47,1.82,0.00,,TU-PF,SET,PROPCON,PF&REIT
4Q2563,29.07,,,-5.99,,-0.92,-3.17,,,-20.60,2.45,,0.00,151.13,,0.79,1.84,0.00,,TU-PF,SET,PROPCON,PF&REIT
1Q2564,20.81,,,4.57,,0.71,2.42,,,21.95,2.35,,1.20,125.08,,0.67,1.78,0.00,,TU-PF,SET,PROPCON,PF&REIT
2Q2564,18.30,,,2.51,,0.40,1.31,,,13.74,2.27,,1.48,154.26,,0.81,1.82,0.00,,TU-PF,SET,PROPCON,PF&REIT
3Q2564,15.99,,,-0.16,,-0.03,-0.08,,,-0.99,2.29,,0.00,138.63,,0.72,1.85,0.00,,TU-PF,SET,PROPCON,PF&REIT
4Q2564,17.64,,,-47.01,,-7.70,-27.73,,,-266.46,3.01,,0.00,124.03,,0.64,1.85,0.00,,TU-PF,SET,PROPCON,PF&REIT
1Q2565,19.69,,,4.01,,0.69,2.71,,,20.37,2.88,,0.00,109.44,,,,0.00,,TU-PF,SET,PROPCON,PF&REIT
2Q2565,19.66,,,3.52,,0.60,2.32,,,17.93,2.83,,0.90,113.61,,0.76,1.43,0.00,,TU-PF,SET,PROPCON,PF&REIT
3Q2565,21.55,,,0.71,,0.12,0.46,,,3.31,2.85,,0.82,86.51,,0.56,1.47,0.00,,TU-PF,SET,PROPCON,PF&REIT
