,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"5,735.28",533.33,-25.49,314.12,0.38,3.30,5.26,97.23,2.42,5.48,0.42,"2,390.12",20.00,"15,706.78",21.66,2.78,7.28,4.46,16.15,TVO,SET,AGRO,FOOD
2Q2555,"7,150.18",84.21,133.33,564.51,0.70,5.91,8.82,96.28,3.17,7.90,0.56,"1,988.91",21.80,"17,627.72",27.77,2.93,7.66,3.97,14.19,TVO,SET,AGRO,FOOD
3Q2555,"7,180.65",21.43,"1,114.29",699.42,0.85,6.37,10.51,97.11,2.26,9.74,0.74,"2,114.47",24.10,"19,487.52",20.44,3.01,8.02,3.59,10.70,TVO,SET,AGRO,FOOD
4Q2555,"7,363.03",-65.88,383.33,247.84,0.29,2.10,3.64,97.75,2.60,3.37,0.74,"2,340.15",24.10,"19,487.52",12.25,2.99,8.07,3.59,9.85,TVO,SET,AGRO,FOOD
1Q2556,"6,736.28",-72.41,-78.95,75.74,0.08,0.68,1.08,97.77,2.14,1.12,0.45,"2,288.25",23.80,"19,244.94",10.84,2.85,8.36,7.56,9.93,TVO,SET,AGRO,FOOD
2Q2556,"5,761.16",250.00,-60.00,237.71,0.28,2.39,3.52,96.81,2.40,4.13,0.49,"2,708.78",18.40,"14,878.44",9.66,2.16,8.52,9.78,9.86,TVO,SET,AGRO,FOOD
3Q2556,"6,166.95",-3.57,-68.24,226.96,0.27,2.35,3.53,97.72,2.12,3.68,0.51,"2,629.90",18.10,"14,635.86",12.03,2.32,7.80,9.94,14.16,TVO,SET,AGRO,FOOD
4Q2556,"7,190.37",105.98,91.77,452.42,0.56,4.40,6.81,96.99,2.59,6.29,0.59,"2,456.71",18.50,"14,959.30",19.98,2.38,7.76,9.73,12.92,TVO,SET,AGRO,FOOD
1Q2557,"6,707.61",15.08,700.00,528.33,0.64,4.87,7.40,96.49,3.39,7.88,0.46,"2,404.81",22.70,"18,355.47",19.14,2.73,8.32,4.41,11.09,TVO,SET,AGRO,FOOD
2Q2557,"6,340.96",-4.95,117.25,498.08,0.61,4.60,6.76,96.20,3.45,7.85,0.48,"2,111.44",22.50,"18,193.75",12.88,2.51,8.96,4.44,9.17,TVO,SET,AGRO,FOOD
