,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,0.54,-14.05,,,,,,,,TVT,mai,SERVICE,-
1Q2558,68.74,,,5.14,0.01,1.28,2.00,69.89,29.98,7.48,0.58,-34.45,,,,,,,,TVT,mai,SERVICE,-
2Q2558,122.88,76.66,,10.71,0.02,1.77,2.35,80.65,19.02,8.72,0.23,-54.56,2.68,"2,144.00",53.17,0.00,0.00,0.00,22.43,TVT,mai,SERVICE,-
3Q2558,157.53,-25.83,,9.05,0.01,1.09,1.38,86.78,12.72,5.75,0.31,-80.29,2.14,"1,712.00",34.73,2.63,0.81,0.00,18.91,TVT,mai,SERVICE,-
4Q2558,179.94,197.95,,25.35,0.03,2.94,3.76,84.81,13.61,14.09,0.25,-200.81,1.99,"1,592.00",38.40,2.41,0.83,0.00,22.03,TVT,mai,SERVICE,-
1Q2559,139.39,-6.84,263.71,24.94,0.03,2.91,3.56,82.15,16.17,17.89,0.20,-230.88,2.16,"1,728.00",34.38,2.51,0.86,4.63,18.25,TVT,mai,SERVICE,-
2Q2559,138.52,-42.57,18.23,14.32,0.02,1.71,2.11,82.25,16.44,10.34,0.27,-260.54,2.02,"1,616.00",23.07,2.27,0.89,4.95,16.55,TVT,mai,SERVICE,-
3Q2559,164.90,16.93,86.38,13.79,0.02,1.68,2.11,83.12,15.91,8.37,0.24,-242.32,1.91,"1,528.00",20.74,2.36,0.81,5.24,14.15,TVT,mai,SERVICE,-
4Q2559,73.40,,,-5.82,-0.01,-0.73,-0.88,59.28,36.79,-7.93,0.16,-156.73,1.97,"1,576.00",19.94,2.39,0.82,5.08,21.78,TVT,mai,SERVICE,-
1Q2560,76.32,68.42,,-3.16,-0.00,-0.41,-0.48,66.61,32.68,-4.14,0.19,-95.67,1.78,"1,424.00",29.44,2.17,0.82,2.53,34.68,TVT,mai,SERVICE,-
2Q2560,117.77,80.00,,-1.14,-0.00,-0.15,-0.18,76.17,22.83,-0.96,0.20,-12.68,1.49,"1,192.00",56.62,1.83,0.82,3.02,51.48,TVT,mai,SERVICE,-
3Q2560,176.98,,60.54,22.23,0.03,2.97,3.54,86.76,12.95,12.56,0.18,24.58,1.52,"1,216.00",196.12,1.97,0.77,2.96,35.77,TVT,mai,SERVICE,-
4Q2560,61.40,,38.95,-1.07,-0.01,-0.14,-0.17,60.00,37.89,-1.74,0.13,50.41,1.36,"1,088.00",74.01,1.70,0.80,3.31,29.85,TVT,mai,SERVICE,-
1Q2561,86.89,,,3.15,0.00,0.43,0.49,69.59,30.02,3.62,0.15,71.76,1.31,"1,048.00",54.06,1.64,0.80,0.00,25.31,TVT,mai,SERVICE,-
2Q2561,131.13,9.36,,6.15,0.00,0.82,0.95,78.95,20.41,4.69,0.17,49.18,0.99,792.03,31.67,1.24,0.80,0.00,16.91,TVT,mai,SERVICE,-
3Q2561,144.73,210.81,-58.93,11.41,0.01,1.46,1.75,80.55,19.30,7.88,0.22,50.03,1.05,840.03,28.91,1.30,0.81,0.00,24.51,TVT,mai,SERVICE,-
4Q2561,163.37,30.43,,13.83,0.02,1.77,2.07,82.61,16.31,8.47,0.13,14.73,0.71,568.02,32.99,0.87,0.82,0.00,10.40,TVT,mai,SERVICE,-
1Q2562,93.72,,,-4.22,-0.00,-0.56,-0.63,71.53,28.12,-4.51,0.12,-12.38,1.00,800.03,25.73,1.19,0.84,8.00,16.88,TVT,mai,SERVICE,-
2Q2562,86.37,,220.27,11.01,0.01,1.50,1.71,63.15,35.94,12.75,0.16,2.28,0.93,744.03,30.95,1.12,0.83,8.60,14.21,TVT,mai,SERVICE,-
3Q2562,102.47,-95.57,-95.43,0.23,0.00,0.03,0.04,76.52,23.05,0.22,0.22,21.04,0.75,600.02,18.82,0.98,0.77,10.67,12.32,TVT,mai,SERVICE,-
4Q2562,113.95,,,-3.01,-0.00,-0.40,-0.49,74.00,25.85,-2.64,0.23,40.19,0.60,480.02,22.53,0.78,0.77,13.33,17.22,TVT,mai,SERVICE,-
1Q2563,86.95,,,0.98,0.00,0.13,0.16,73.12,24.43,1.13,0.17,74.47,0.33,264.01,34.28,0.43,0.77,0.00,7.49,TVT,mai,SERVICE,-
2Q2563,58.17,,,-8.60,-0.01,-1.23,-1.42,64.72,34.84,-14.79,0.14,76.88,0.61,488.02,37.61,0.80,0.77,0.00,26.99,TVT,mai,SERVICE,-
3Q2563,76.74,,969.84,5.30,0.01,0.76,0.87,75.47,23.75,6.91,0.17,72.47,0.66,528.02,N/A,0.87,0.75,0.00,29.52,TVT,mai,SERVICE,-
4Q2563,73.51,,-473.33,-2.15,-0.00,-0.30,-0.35,75.30,26.90,-2.93,0.16,75.93,0.62,496.02,N/A,0.82,0.76,0.00,30.94,TVT,mai,SERVICE,-
1Q2564,88.07,,260.66,5.22,0.01,0.73,0.85,76.51,22.46,5.93,0.17,23.23,0.75,600.02,N/A,0.99,0.76,0.00,29.84,TVT,mai,SERVICE,-
2Q2564,69.81,-37.12,,3.27,0.00,0.46,0.53,68.01,29.48,4.68,0.16,-4.62,0.75,600.02,"5,189.61",0.98,0.77,0.00,19.29,TVT,mai,SERVICE,-
3Q2564,48.11,,,-6.78,-0.01,-0.95,-1.10,53.20,47.90,-14.10,0.18,5.94,1.25,"1,000.04",84.23,1.62,0.77,0.00,52.63,TVT,mai,SERVICE,-
1Q2565,90.02,21.95,,-4.43,-0.01,-0.62,-0.72,71.61,27.80,-4.92,0.14,18.62,1.22,976.04,44.30,1.55,0.79,2.46,65.35,TVT,mai,SERVICE,-
2Q2565,86.78,,-83.13,0.03,0.00,0.00,0.00,66.54,29.24,0.03,0.13,59.39,0.92,744.03,64.76,1.19,0.78,3.23,89.41,TVT,mai,SERVICE,-
3Q2565,80.23,354.29,,2.49,0.00,0.36,0.41,72.16,27.32,3.10,0.14,74.59,0.79,648.02,74.27,1.08,0.75,3.70,84.89,TVT,mai,SERVICE,-
