,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,0.18,218.96,,,,,,,,TWPC,SET,AGRO,AGRI
1Q2559,"1,546.16",,,181.36,0.18,3.07,3.62,86.38,12.35,11.73,0.17,266.92,7.40,"6,515.11",16.08,1.37,5.39,3.65,15.37,TWPC,SET,AGRO,AGRI
2Q2559,"1,354.50",-34.36,,121.19,0.12,2.04,2.41,86.54,11.93,8.95,0.18,283.76,7.75,"6,823.26",16.86,1.39,5.57,3.48,11.28,TWPC,SET,AGRO,AGRI
3Q2559,"1,558.61",72.90,,207.15,0.21,3.49,4.11,85.34,12.12,13.29,0.18,271.55,7.85,"6,911.30",12.83,1.45,5.42,3.44,7.85,TWPC,SET,AGRO,AGRI
4Q2559,"1,846.23",16.45,,235.87,0.24,3.81,4.52,82.64,13.98,12.78,0.20,235.44,9.35,"8,231.94",13.60,1.69,5.54,2.89,8.38,TWPC,SET,AGRO,AGRI
1Q2560,"1,438.60",-37.38,-17.24,148.84,0.15,2.32,2.75,83.22,15.38,10.35,0.17,232.75,11.70,"10,300.92",15.40,2.02,5.79,2.56,10.52,TWPC,SET,AGRO,AGRI
2Q2560,"1,467.09",-22.47,-2.25,121.41,0.12,1.91,2.23,84.18,14.59,8.28,0.17,216.07,9.45,"8,319.98",12.98,1.59,5.94,3.17,8.41,TWPC,SET,AGRO,AGRI
3Q2560,"1,511.67",4.16,-41.11,121.79,0.12,1.92,2.24,83.29,14.37,8.06,0.16,192.20,10.20,"8,980.29",14.06,1.75,5.83,2.94,9.38,TWPC,SET,AGRO,AGRI
4Q2560,"2,054.57",33.56,-32.46,149.04,0.16,2.21,2.61,79.62,13.90,7.25,0.20,194.03,9.35,"8,231.94",14.63,1.57,5.94,3.21,10.07,TWPC,SET,AGRO,AGRI
1Q2561,"1,837.48",-62.01,-59.03,54.71,0.06,0.77,0.92,86.15,13.06,2.98,0.19,216.63,12.50,"11,005.26",22.33,2.06,6.07,2.56,15.02,TWPC,SET,AGRO,AGRI
2Q2561,"1,595.94",-15.05,-55.11,52.02,0.05,0.75,0.89,83.06,14.33,3.26,0.18,245.42,9.30,"8,187.91",19.80,1.51,6.16,3.44,12.25,TWPC,SET,AGRO,AGRI
3Q2561,"1,726.65",-82.15,-92.31,4.68,0.01,0.07,0.08,86.11,13.63,0.27,0.20,266.04,8.80,"7,747.70",21.77,1.49,5.90,3.64,13.91,TWPC,SET,AGRO,AGRI
4Q2561,"2,168.76",934.00,-40.44,102.89,0.10,1.48,1.77,86.95,12.10,4.74,0.21,287.65,8.30,"7,307.49",28.59,1.41,5.90,3.86,14.01,TWPC,SET,AGRO,AGRI
1Q2562,"1,896.30",4.44,63.75,104.59,0.10,1.41,1.76,84.59,13.97,5.52,0.30,295.36,8.30,"7,307.49",37.12,1.38,6.02,3.86,13.54,TWPC,SET,AGRO,AGRI
2Q2562,"1,768.66",,,-39.41,-0.04,-0.50,-0.69,83.64,15.89,-2.23,0.46,285.81,7.55,"6,647.18",28.65,1.23,6.16,4.24,15.21,TWPC,SET,AGRO,AGRI
3Q2562,"1,840.98",49.61,,-10.00,-0.02,-0.13,-0.19,84.93,14.37,-0.54,0.46,283.84,5.60,"4,930.36",33.64,0.97,5.79,5.71,11.75,TWPC,SET,AGRO,AGRI
4Q2562,"1,917.88",,-60.56,38.70,0.04,0.50,0.73,81.53,15.74,2.02,0.49,285.46,4.18,"3,680.16",30.56,0.73,5.73,7.66,10.25,TWPC,SET,AGRO,AGRI
1Q2563,"1,600.61",139.91,-9.41,88.12,0.09,1.08,1.64,80.03,16.83,5.51,0.55,311.94,2.80,"2,465.18",,,,4.79,8.43,TWPC,SET,AGRO,AGRI
2Q2563,"1,711.60",,68.91,-15.09,-0.01,-0.18,-0.28,83.01,16.76,-0.88,0.52,324.78,3.88,"3,416.03",57.37,0.67,5.79,3.45,9.24,TWPC,SET,AGRO,AGRI
3Q2563,"1,767.68",-250.83,-116.45,-48.51,-0.05,-0.61,-0.92,84.34,14.37,-2.74,0.50,336.08,3.34,"2,940.61",33.99,0.59,5.64,4.01,8.00,TWPC,SET,AGRO,AGRI
4Q2563,"2,101.88",,-73.64,10.40,0.01,0.13,0.20,84.88,14.42,0.49,0.56,332.90,3.86,"3,398.42",53.62,0.69,5.59,3.47,9.56,TWPC,SET,AGRO,AGRI
1Q2564,"2,186.38","1,321.06",56.11,148.72,0.15,1.78,2.81,83.18,14.59,6.80,0.59,303.41,4.86,"4,278.85",111.82,0.87,5.56,2.76,10.52,TWPC,SET,AGRO,AGRI
2Q2564,"2,229.44",-40.91,,89.08,0.09,1.06,1.65,84.48,14.81,4.00,0.53,299.71,5.50,"4,842.32",57.53,0.96,5.74,2.44,8.98,TWPC,SET,AGRO,AGRI
3Q2564,"2,275.19",-48.47,,37.23,0.04,0.45,0.68,83.93,15.73,1.64,0.51,297.22,5.60,"4,930.36",28.78,0.98,5.72,2.39,7.80,TWPC,SET,AGRO,AGRI
1Q2565,"2,488.08",328.38,30.44,178.47,0.19,2.06,3.19,84.46,14.60,7.17,0.59,348.06,6.80,"5,986.86",,,,3.18,7.75,TWPC,SET,AGRO,AGRI
2Q2565,"2,744.43",-72.37,-39.01,44.01,0.05,0.50,0.78,84.36,15.23,1.60,0.53,328.89,6.30,"5,590.67",15.45,1.05,6.03,3.40,7.75,TWPC,SET,AGRO,AGRI
3Q2565,"2,632.98",3.23,22.18,40.04,0.05,0.48,0.71,87.12,11.75,1.52,0.47,327.38,5.35,"4,754.27",14.30,0.91,5.90,4.00,7.14,TWPC,SET,AGRO,AGRI
