,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,193.46,,0.00,37.47,0.22,6.38,8.54,76.83,10.34,19.37,0.43,198.08,10.30,"1,776.75",22.15,4.26,2.42,1.11,15.71,UAC,SET,INDUS,PETRO
2Q2555,206.19,-31.82,-21.05,35.01,0.15,5.51,7.47,99.66,10.72,16.98,0.29,131.82,9.55,"1,894.48",22.26,4.16,2.30,1.04,16.95,UAC,SET,INDUS,PETRO
3Q2555,230.37,0.00,36.36,29.80,0.15,4.26,6.05,89.85,9.54,12.94,0.55,144.47,11.30,"2,241.63",24.26,4.73,2.39,0.88,18.57,UAC,SET,INDUS,PETRO
4Q2555,190.70,,-360.00,13.42,-0.23,1.49,2.34,85.09,12.77,7.03,0.59,128.06,7.75,"3,382.48",32.20,6.72,1.27,0.58,25.10,UAC,SET,INDUS,PETRO
1Q2556,248.83,,-63.64,35.79,0.08,3.19,4.75,87.04,12.00,14.38,0.41,51.80,14.00,"6,450.49",55.02,10.14,1.46,0.08,47.00,UAC,SET,INDUS,PETRO
2Q2556,247.74,-61.09,-79.25,25.67,0.03,1.90,2.93,88.81,11.39,10.36,0.67,53.41,7.90,"4,370.22",37.87,5.07,1.56,0.12,36.12,UAC,SET,INDUS,PETRO
3Q2556,286.99,144.23,-49.31,42.06,0.08,2.86,4.61,88.95,9.52,14.66,0.55,45.25,8.85,"4,895.80",46.36,5.55,1.60,0.10,35.91,UAC,SET,INDUS,PETRO
4Q2556,206.60,-35.13,,27.34,0.05,1.77,2.87,83.01,14.12,13.23,0.69,19.80,8.05,"4,461.24",38.06,4.79,1.68,0.11,31.33,UAC,SET,INDUS,PETRO
1Q2557,282.22,-42.52,-64.56,14.68,0.03,0.85,1.51,86.33,11.31,5.20,0.87,99.24,8.25,"4,572.19",34.85,4.77,1.73,1.94,34.21,UAC,SET,INDUS,PETRO
2Q2557,292.75,-58.91,-62.58,3.86,0.01,0.21,0.41,88.61,10.02,1.32,0.95,111.55,8.95,"4,960.29",44.73,5.09,1.76,1.79,40.74,UAC,SET,INDUS,PETRO
3Q2557,257.11,157.51,-60.54,18.81,0.03,1.09,2.05,86.80,12.17,7.31,0.83,138.13,9.25,"5,126.55",57.11,5.76,1.61,1.73,45.45,UAC,SET,INDUS,PETRO
4Q2557,179.49,0.00,-39.17,13.71,0.03,0.79,1.45,79.45,17.42,7.64,0.84,141.85,7.55,"4,184.38",62.21,4.60,1.64,2.12,37.75,UAC,SET,INDUS,PETRO
1Q2558,250.10,-92.00,-91.53,2.45,0.00,0.13,0.25,83.52,13.63,0.98,1.08,102.15,8.55,"4,738.60",88.33,5.13,1.67,0.08,47.68,UAC,SET,INDUS,PETRO
2Q2558,523.99,"1,466.67",222.75,23.06,0.04,0.92,2.34,90.71,9.19,4.40,1.97,33.10,7.65,"4,771.87",121.51,5.15,1.49,0.08,43.58,UAC,SET,INDUS,PETRO
3Q2558,344.36,-1.76,23.13,20.08,0.04,0.68,1.95,79.24,18.94,5.83,1.73,41.91,6.15,"3,836.21",64.00,4.05,1.52,0.10,33.09,UAC,SET,INDUS,PETRO
4Q2558,346.72,109.10,157.47,48.41,0.08,1.72,4.45,84.07,14.51,13.96,1.46,72.92,5.60,"3,538.49",56.89,3.49,1.63,0.11,23.11,UAC,SET,INDUS,PETRO
1Q2559,293.95,-61.16,"1,150.00",21.07,0.03,0.73,1.73,80.79,17.59,7.17,1.25,78.96,5.45,"3,638.45",37.76,3.42,1.68,1.83,20.04,UAC,SET,INDUS,PETRO
2Q2559,380.10,200.00,139.36,58.09,0.09,1.84,4.38,83.91,14.37,15.28,1.50,77.27,6.45,"4,306.05",36.87,3.36,1.92,1.55,19.84,UAC,SET,INDUS,PETRO
3Q2559,305.12,,,-37.65,-0.05,-1.18,-2.89,79.83,17.69,-12.34,1.39,85.62,6.65,"4,439.58",29.30,3.48,1.91,1.50,24.57,UAC,SET,INDUS,PETRO
4Q2559,370.75,59.14,,-17.10,-0.02,-0.57,-1.34,74.45,23.78,-4.61,1.35,69.63,6.00,"4,005.63",43.20,3.23,1.86,1.67,29.88,UAC,SET,INDUS,PETRO
1Q2560,365.80,,23.50,23.26,0.04,0.77,1.82,84.42,12.83,6.36,1.36,75.36,5.45,"3,638.45",122.75,2.97,1.83,0.92,26.11,UAC,SET,INDUS,PETRO
2Q2560,414.54,69.91,-30.06,41.53,0.06,1.36,3.21,85.56,12.44,10.02,1.36,105.04,5.50,"3,671.83",112.57,2.94,1.87,0.91,27.36,UAC,SET,INDUS,PETRO
3Q2560,421.09,-52.34,,16.16,0.03,0.52,1.24,87.45,11.60,3.84,1.36,66.96,5.05,"3,371.41",215.42,2.68,1.89,0.99,19.84,UAC,SET,INDUS,PETRO
4Q2560,455.17,-33.33,,14.23,0.02,0.46,1.08,86.72,11.66,3.13,1.40,40.95,4.96,"3,311.32",47.10,2.59,1.91,1.01,17.32,UAC,SET,INDUS,PETRO
1Q2561,"1,286.94",600.00,277.87,90.89,0.14,2.65,6.71,95.48,3.96,7.06,1.65,-12.06,4.60,"3,070.98",30.59,2.41,1.91,2.61,13.75,UAC,SET,INDUS,PETRO
2Q2561,384.14,-85.71,-68.23,15.51,0.02,0.41,1.13,83.48,13.89,4.04,1.83,-15.84,4.54,"3,030.93",18.03,2.22,2.04,2.64,15.23,UAC,SET,INDUS,PETRO
3Q2561,518.56,200.00,100.00,36.65,0.06,0.87,2.70,85.19,11.36,7.07,2.38,-0.12,4.52,"3,017.58",21.37,2.32,1.95,2.65,16.22,UAC,SET,INDUS,PETRO
4Q2561,419.27,,,-6.54,-0.01,-0.15,-0.49,80.93,14.10,-1.56,2.09,275.02,3.98,"2,657.07",16.49,1.99,2.00,3.02,14.73,UAC,SET,INDUS,PETRO
1Q2562,"1,341.11",,-28.57,67.33,0.10,1.87,5.03,95.13,4.01,5.02,1.31,284.67,3.06,"2,042.87",14.64,1.61,1.90,5.23,11.65,UAC,SET,INDUS,PETRO
