,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,188.98,0.00,66.67,19.08,0.10,4.27,6.65,79.70,18.60,10.10,0.61,110.26,0.00,798.00,12.14,2.88,1.46,5.48,8.48,UBIS,mai,INDUS,-
2Q2555,188.84,0.00,0.00,18.49,0.10,4.02,6.41,79.07,18.74,9.79,0.58,120.65,0.00,874.00,12.02,2.95,1.56,5.00,9.65,UBIS,mai,INDUS,-
3Q2555,178.43,-10.00,0.00,17.31,0.09,3.92,6.16,78.62,19.58,9.70,0.56,117.46,5.15,978.50,13.54,3.49,1.48,4.47,10.67,UBIS,mai,INDUS,-
4Q2555,205.57,11.11,0.00,19.73,0.10,4.36,6.78,77.83,21.25,9.60,0.55,118.09,5.25,997.50,13.76,3.55,1.48,4.38,10.76,UBIS,mai,INDUS,-
1Q2556,181.30,-10.00,-10.00,17.95,0.09,3.71,5.73,76.85,20.80,9.90,0.54,131.89,7.00,"1,330.00",17.78,4.42,1.58,3.00,14.13,UBIS,mai,INDUS,-
2Q2556,186.67,7.81,-2.97,24.70,0.10,4.96,7.54,80.76,18.29,13.23,0.50,128.11,6.30,"1,436.40",19.48,4.41,1.43,2.78,14.35,UBIS,mai,INDUS,-
3Q2556,175.03,14.75,23.71,25.39,0.11,5.17,7.64,77.38,20.52,14.50,0.46,131.43,5.45,"1,242.60",15.54,3.76,1.45,3.21,11.97,UBIS,mai,INDUS,-
4Q2556,183.39,-24.94,-16.43,18.85,0.08,3.68,5.47,72.38,24.71,10.28,0.51,132.19,5.75,"1,311.00",14.90,3.93,1.46,3.04,12.76,UBIS,mai,INDUS,-
1Q2557,171.52,-40.17,-44.44,11.91,0.05,2.16,3.31,72.88,26.13,6.95,0.55,125.93,5.80,"1,322.40",15.19,3.73,1.55,5.17,13.88,UBIS,mai,INDUS,-
2Q2557,211.01,170.20,39.24,29.99,0.14,5.16,8.38,78.68,19.70,14.21,0.70,115.65,4.96,"1,130.88",13.99,3.10,1.60,6.05,11.79,UBIS,mai,INDUS,-
