,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,553.22,63.64,,-5.70,-0.04,-0.17,-0.55,86.66,11.76,-1.03,2.15,"1,745.07",13.10,"2,010.25",33.21,1.93,6.78,1.53,21.37,UMS,mai,RESOURC,-
2Q2555,"1,038.10",-750.00,"-3,300.00",-52.18,-0.34,-1.54,-5.26,88.27,12.30,-5.03,2.68,"1,462.79",13.10,"2,010.25",N/A,1.94,6.74,1.53,41.76,UMS,mai,RESOURC,-
3Q2555,"1,014.30",-58.82,,-83.69,-0.54,-2.50,-9.20,85.24,14.62,-8.25,2.67,"1,210.58",11.10,"1,703.34",N/A,1.79,6.20,1.80,211.37,UMS,mai,RESOURC,-
4Q2555,829.64,-77.78,-772.73,-146.69,-0.96,-4.95,-18.47,85.57,14.03,-17.68,2.81,"1,078.10",11.50,"1,764.72",N/A,2.03,5.65,1.74,-35.66,UMS,mai,RESOURC,-
1Q2556,505.86,,,3.68,0.02,0.14,0.51,80.82,18.69,0.73,2.25,878.67,11.90,"1,826.10",N/A,2.53,4.70,0.00,-32.62,UMS,mai,RESOURC,-
2Q2556,408.45,,58.82,-22.33,-0.14,-0.95,-3.13,81.38,18.82,-5.47,2.36,851.30,10.80,"1,657.30",N/A,2.29,4.72,0.00,-36.44,UMS,mai,RESOURC,-
3Q2556,417.77,"-1,107.14",-212.96,-259.80,-1.69,-11.32,-45.40,80.47,19.35,-62.19,4.04,873.22,7.50,"1,150.91",N/A,1.64,4.58,0.00,-9.86,UMS,mai,RESOURC,-
4Q2556,603.96,62.13,33.33,-97.29,-0.64,-4.33,-24.72,77.26,22.32,-16.11,5.55,784.64,7.05,"1,081.85",N/A,2.45,2.88,0.00,-12.52,UMS,mai,RESOURC,-
1Q2557,446.55,58.81,,-40.45,-0.26,-1.96,-12.46,76.83,21.58,-9.06,5.13,682.47,6.50,997.45,N/A,2.89,2.25,0.00,-8.52,UMS,mai,RESOURC,-
2Q2557,248.67,2.05,-84.44,-39.62,-0.26,-2.25,-13.92,64.15,35.75,-15.93,5.28,551.11,6.65,"1,020.47",N/A,3.35,1.98,0.00,-7.48,UMS,mai,RESOURC,-
3Q2557,237.95,85.22,97.74,-6.29,-0.04,-0.41,-2.40,72.89,26.68,-2.64,4.44,474.41,5.85,897.71,N/A,3.39,1.73,0.00,-42.05,UMS,mai,RESOURC,-
4Q2557,108.25,-764.55,48.44,-50.92,-0.33,-3.77,-21.84,58.86,46.11,-47.04,5.24,466.71,5.65,867.02,N/A,4.17,1.35,0.00,-263.59,UMS,mai,RESOURC,-
1Q2558,189.69,78.90,73.59,-10.68,-0.07,-0.82,-5.58,79.09,20.42,-5.63,6.44,484.88,7.65,"1,173.92",N/A,6.32,1.21,0.00,123.45,UMS,mai,RESOURC,-
2Q2558,169.82,-159.04,30.15,-27.24,-0.18,-2.15,-16.89,80.25,19.51,-16.04,7.35,550.11,10.20,"1,565.23",N/A,8.95,1.14,0.00,96.31,UMS,mai,RESOURC,-
3Q2558,121.59,-113.89,-910.74,-59.64,-0.39,-4.97,-50.60,42.98,51.23,-49.05,12.22,550.61,7.35,"1,127.89",N/A,7.64,0.96,0.00,-62.83,UMS,mai,RESOURC,-
4Q2558,104.10,-362.26,-440.42,-273.67,-1.78,-27.24,566.88,85.06,15.60,-262.89,-5.58,524.00,6.95,"1,066.51",N/A,12.11,0.57,0.00,-7.70,UMS,mai,RESOURC,-
1Q2559,121.37,96.07,-0.53,-17.93,-0.07,-1.95,96.42,75.46,23.90,-14.77,5.76,380.01,2.74,"1,379.27",N/A,0.00,-1.20,0.00,-7.20,UMS,mai,RESOURC,-
2Q2559,80.59,85.71,94.46,-11.29,-0.01,-1.18,-7.96,69.81,28.42,-14.01,5.75,229.92,2.28,"1,147.72",N/A,7.79,0.29,0.00,-6.46,UMS,mai,RESOURC,-
3Q2559,101.12,0.00,97.41,-8.24,-0.01,-0.92,-6.24,78.95,20.03,-8.15,5.83,-539.57,2.40,"1,208.12",N/A,8.88,0.27,0.00,-8.29,UMS,mai,RESOURC,-
4Q2559,182.09,-300.00,97.76,-20.18,-0.04,-2.19,-17.05,89.36,11.26,-11.08,7.90,-501.94,2.68,"1,349.07",N/A,10.55,0.25,0.00,99.91,UMS,mai,RESOURC,-
1Q2560,181.71,25.00,57.14,-16.62,-0.03,-1.67,-16.55,86.39,13.06,-9.15,10.07,-959.13,2.34,"1,177.92",N/A,10.83,0.22,0.00,112.08,UMS,mai,RESOURC,-
2Q2560,160.14,0.00,-200.00,-14.43,-0.03,-1.48,-16.99,86.36,13.27,-9.01,10.96,"-1,698.88",2.02,"1,016.84",N/A,11.04,0.18,0.00,115.75,UMS,mai,RESOURC,-
3Q2560,63.59,-133.33,-600.00,-35.83,-0.07,-4.27,-59.92,77.41,22.12,-56.34,16.86,"-1,908.54",1.99,"1,001.74",N/A,12.89,0.15,0.00,-120.52,UMS,mai,RESOURC,-
4Q2560,45.26,28.57,-25.00,-24.12,-0.05,-3.26,-81.04,42.78,55.71,-53.28,40.58,"-2,524.87",1.70,855.75,N/A,20.44,0.08,0.00,-80.07,UMS,mai,RESOURC,-
1Q2561,58.39,40.00,0.00,-16.92,-0.03,-2.30,-184.24,58.28,41.30,-28.98,"1,017.71","-2,756.94",1.21,609.10,N/A,34.52,0.04,0.00,-61.62,UMS,mai,RESOURC,-
2Q2561,93.77,0.00,0.00,-11.60,-0.03,-1.58,228.50,92.30,7.59,-12.38,-68.10,"-3,293.05",0.00,402.71,N/A,556.46,0.00,0.00,-44.07,UMS,mai,RESOURC,-
3Q2561,51.94,33.33,71.43,-11.36,-0.02,-1.58,68.59,86.44,12.20,-21.87,-32.89,"-3,774.80",0.76,382.57,N/A,0.00,-0.02,0.00,-209.80,UMS,mai,RESOURC,-
4Q2561,48.23,-150.00,0.00,-24.10,-0.05,-3.10,-58.65,51.96,43.64,-49.98,7.10,"-4,074.77",0.00,347.34,N/A,0.00,-0.04,0.00,284.07,UMS,mai,RESOURC,-
1Q2562,37.78,60.00,33.33,-11.44,-0.02,-1.50,-11.59,64.61,27.74,-30.28,6.26,"-4,034.12",0.55,387.61,N/A,3.71,0.15,0.00,126.56,UMS,mai,RESOURC,-
2Q2562,32.92,50.00,66.67,-9.20,-0.01,-1.38,-10.41,74.19,33.63,-27.95,6.87,"-2,475.30",0.50,352.37,N/A,3.79,0.13,0.00,74.63,UMS,mai,RESOURC,-
3Q2562,26.27,-100.00,0.00,-11.56,-0.02,-1.77,-14.82,56.89,42.98,-44.02,7.94,"-1,124.53",0.39,274.85,N/A,3.28,0.12,0.00,58.37,UMS,mai,RESOURC,-
4Q2562,30.10,50.00,80.00,-9.57,-0.01,-1.49,-14.19,57.95,38.16,-31.80,9.27,-39.28,0.27,190.28,N/A,2.63,0.10,0.00,39.52,UMS,mai,RESOURC,-
1Q2563,27.48,-100.00,0.00,-13.46,-0.02,-2.09,-24.06,59.50,39.18,-48.98,12.13,-106.83,0.13,91.62,N/A,1.46,0.09,0.00,41.68,UMS,mai,RESOURC,-
2Q2563,33.17,0.00,-100.00,-14.06,-0.02,-2.20,-33.36,73.81,25.81,-42.41,17.07,-171.12,0.33,232.56,N/A,4.73,0.07,0.00,81.09,UMS,mai,RESOURC,-
3Q2563,34.39,0.00,0.00,-14.36,-0.02,-2.27,-51.39,68.04,31.51,-41.77,29.40,-244.32,0.00,211.42,N/A,6.02,0.05,0.00,117.12,UMS,mai,RESOURC,-
4Q2563,26.71,0.00,-100.00,-14.77,-0.02,-2.01,-11.99,61.14,38.37,-55.28,2.70,-304.23,0.33,232.56,N/A,11.20,0.03,0.00,789.28,UMS,mai,RESOURC,-
1Q2564,28.02,37.75,37.75,-14.26,-0.01,-1.98,-6.53,59.37,39.50,-50.89,1.87,-248.66,0.65,744.38,N/A,3.30,0.20,0.00,-576.35,UMS,mai,RESOURC,-
2Q2564,54.84,0.48,38.05,-14.18,-0.01,-2.30,-6.94,71.37,28.16,-25.85,2.17,-169.05,1.20,"1,374.24",N/A,6.50,0.18,0.00,-447.35,UMS,mai,RESOURC,-
3Q2564,47.57,14.04,46.75,-12.21,-0.01,-1.94,-6.39,76.95,22.62,-25.67,2.41,-126.34,1.57,"1,797.96",N/A,9.12,0.17,0.00,-510.38,UMS,mai,RESOURC,-
1Q2565,85.24,71.83,75.90,-3.86,-0.00,-0.55,-2.17,83.86,15.80,-4.53,3.57,-98.00,0.00,"1,271.17",N/A,7.31,0.15,0.00,446.53,UMS,mai,RESOURC,-
2Q2565,73.49,,,11.29,0.01,1.41,6.43,81.09,17.91,15.36,3.58,-132.53,2.50,"2,977.52",N/A,17.51,0.15,0.00,114.31,UMS,mai,RESOURC,-
3Q2565,99.54,,3.76,-12.30,-0.01,-1.51,-7.02,86.88,12.55,-12.36,3.72,-223.24,1.99,"2,336.21",N/A,12.88,0.16,0.00,80.53,UMS,mai,RESOURC,-
