,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,366.22,40.91,29.17,98.97,0.31,7.79,8.86,91.42,6.07,27.03,0.14,296.60,9.30,"3,013.66",7.77,2.82,3.30,11.83,4.63,UPOIC,SET,AGRO,AGRI
2Q2555,363.80,0.00,-34.04,100.48,0.31,7.72,8.84,91.71,6.06,27.62,0.15,324.97,9.95,"3,224.30",7.86,2.76,3.60,11.06,5.70,UPOIC,SET,AGRO,AGRI
3Q2555,498.17,-38.71,-29.63,62.41,0.19,5.09,5.74,91.13,5.53,12.53,0.10,321.77,11.60,"3,758.98",10.50,3.40,3.41,9.48,7.15,UPOIC,SET,AGRO,AGRI
4Q2555,377.88,5.26,-9.09,64.67,0.20,5.51,6.13,83.24,7.32,17.11,0.13,410.09,11.30,"3,661.76",11.01,3.42,3.30,9.73,7.11,UPOIC,SET,AGRO,AGRI
1Q2556,392.25,70.00,9.68,108.63,0.34,8.85,9.92,88.33,6.61,27.69,0.12,380.01,11.70,"3,791.39",11.61,3.65,3.20,7.69,6.83,UPOIC,SET,AGRO,AGRI
2Q2556,330.03,-50.00,-45.16,58.14,0.17,4.61,5.13,89.01,7.25,17.62,0.11,369.36,11.00,"3,564.55",10.60,3.09,3.56,8.18,7.38,UPOIC,SET,AGRO,AGRI
3Q2556,357.33,-17.65,-26.32,44.66,0.14,3.69,4.05,91.32,6.25,12.50,0.08,362.24,10.00,"3,240.50",11.03,2.91,3.43,9.00,7.04,UPOIC,SET,AGRO,AGRI
4Q2556,318.02,-78.06,-84.64,9.16,0.03,0.68,0.83,91.35,7.28,2.88,0.36,317.46,9.95,"3,224.30",11.68,2.95,3.37,9.05,9.29,UPOIC,SET,AGRO,AGRI
1Q2557,205.26,258.07,-67.65,34.10,0.11,2.29,3.05,87.66,9.71,16.61,0.30,343.55,10.30,"3,337.72",15.13,3.03,3.40,5.83,12.85,UPOIC,SET,AGRO,AGRI
2Q2557,538.79,409.09,229.41,183.03,0.56,11.86,15.74,91.56,5.73,33.97,0.35,303.33,9.85,"3,191.89",21.85,2.81,3.51,6.09,7.94,UPOIC,SET,AGRO,AGRI
3Q2557,272.98,-91.07,-64.29,17.46,0.05,1.13,1.46,89.44,7.46,6.40,0.24,359.22,10.40,"3,370.12",12.44,2.83,3.67,5.77,8.89,UPOIC,SET,AGRO,AGRI
4Q2557,204.43,,,-46.36,-0.14,-3.04,-3.98,76.70,12.52,-22.68,0.39,490.54,9.95,"3,224.30",13.23,2.67,3.72,6.03,10.27,UPOIC,SET,AGRO,AGRI
1Q2558,377.30,50.04,,-22.66,-0.07,-1.46,-2.04,91.41,6.50,-6.01,0.41,473.08,9.40,"3,046.07",16.18,2.71,3.47,3.19,12.75,UPOIC,SET,AGRO,AGRI
2Q2558,278.63,,-78.58,39.45,0.12,2.46,3.60,87.77,7.72,14.16,0.52,683.91,7.75,"2,511.39",19.10,2.28,3.40,3.87,29.24,UPOIC,SET,AGRO,AGRI
3Q2558,319.29,,,-12.38,-0.04,-0.75,-1.14,90.11,8.35,-3.88,0.51,621.14,6.30,"2,041.52",N/A,1.87,3.37,4.76,39.17,UPOIC,SET,AGRO,AGRI
4Q2558,313.88,-47.25,61.71,-16.36,-0.05,-1.02,-1.53,95.64,3.05,-5.21,0.49,555.37,4.66,"1,510.07",N/A,1.40,3.33,6.44,21.70,UPOIC,SET,AGRO,AGRI
1Q2559,296.87,,,46.63,0.14,2.87,4.20,92.76,5.69,15.71,0.44,493.55,5.95,"1,928.10",N/A,1.81,3.28,1.68,13.02,UPOIC,SET,AGRO,AGRI
2Q2559,275.06,-21.43,-8.29,33.14,0.11,2.02,2.86,91.21,5.87,12.05,0.40,361.28,5.95,"1,928.10",33.62,1.67,3.57,1.68,14.46,UPOIC,SET,AGRO,AGRI
3Q2559,222.44,,27.97,-7.26,-0.03,-0.46,-0.63,90.61,7.87,-3.26,0.32,309.12,6.05,"1,960.50",38.42,1.69,3.57,1.65,13.59,UPOIC,SET,AGRO,AGRI
4Q2559,177.96,96.22,98.15,-0.32,-0.00,-0.02,-0.03,86.49,7.77,-0.18,0.35,342.56,7.15,"2,316.96",41.26,2.01,3.55,1.40,14.31,UPOIC,SET,AGRO,AGRI
1Q2560,142.24,"-5,487.88",,-17.93,-0.06,-1.16,-1.57,87.29,11.40,-12.60,0.35,481.15,6.75,"2,187.34",30.30,1.90,3.55,2.22,23.32,UPOIC,SET,AGRO,AGRI
